Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score,Average AUC,AUC STD,Max AUC,Min AUC
RBF1,53.0,84.0,68.5,8.18,80.0,60.0,0.76,0.07,0.85,0.62
RBF2,53.0,99.0,76.0,6.99,85.0,65.0,0.9,0.09,0.99,0.67
RBF3,78.0,97.0,87.5,7.17,95.0,75.0,0.97,0.03,0.99,0.9
RBF4,53.0,83.0,68.0,12.29,85.0,40.0,0.72,0.12,0.88,0.49
RBF5,53.0,100.0,76.5,7.47,85.0,65.0,0.93,0.06,0.99,0.79
RBF6,78.0,100.0,89.0,6.15,95.0,80.0,0.99,0.01,1.0,0.96
RBF7,54.0,92.0,73.0,7.15,85.0,60.0,0.84,0.03,0.89,0.79
RBF8,54.0,99.0,76.5,10.29,90.0,60.0,0.97,0.02,1.0,0.93
RBF9,100.0,85.0,92.5,4.86,100.0,85.0,1.0,0.0,1.0,1.0
RBF10,53.0,93.0,73.0,9.19,85.0,55.0,0.83,0.06,0.9,0.7
RBF11,78.0,96.0,87.0,5.87,95.0,80.0,0.95,0.03,0.98,0.89
RBF12,68.0,100.0,84.0,3.16,85.0,75.0,0.83,0.02,0.87,0.81
RBF13,53.0,70.0,61.5,8.83,75.0,45.0,0.68,0.11,0.82,0.45
RBF14,78.0,69.0,73.5,6.69,85.0,65.0,0.78,0.05,0.83,0.69
RBF15,68.0,99.0,83.5,3.37,85.0,75.0,0.86,0.02,0.89,0.83
RBF16,54.0,79.0,66.5,6.69,80.0,55.0,0.77,0.03,0.82,0.74
RBF17,100.0,19.0,59.5,2.84,65.0,55.0,0.89,0.03,0.93,0.82
RBF18,99.0,77.0,88.0,4.22,95.0,80.0,0.99,0.02,1.0,0.95
RBF19,78.0,71.0,74.5,4.97,80.0,65.0,0.78,0.02,0.81,0.73
RBF20,68.0,44.0,56.0,3.16,60.0,50.0,0.66,0.02,0.68,0.61
RBF21,68.0,51.0,59.5,4.97,70.0,50.0,0.67,0.01,0.69,0.65
RBF22,78.0,60.0,69.0,6.15,80.0,60.0,0.75,0.05,0.81,0.69
RBF23,68.0,60.0,64.0,5.68,75.0,55.0,0.71,0.02,0.75,0.67
