Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score,Average AUC,AUC STD,Max AUC,Min AUC
RBF1,46.0,80.0,63.0,4.83,70.0,55.0,0.64,0.05,0.71,0.58
RBF2,46.0,96.0,71.0,6.15,80.0,60.0,0.79,0.11,0.93,0.6
RBF3,52.0,90.0,71.0,5.16,80.0,65.0,0.87,0.07,0.93,0.71
RBF4,46.0,58.0,52.0,9.78,65.0,40.0,0.53,0.09,0.67,0.4
RBF5,46.0,96.0,71.0,5.68,80.0,60.0,0.77,0.13,0.91,0.52
RBF6,52.0,100.0,76.0,5.16,85.0,70.0,0.89,0.13,1.0,0.62
RBF7,86.0,58.0,72.0,8.88,85.0,55.0,0.72,0.06,0.83,0.65
RBF8,86.0,96.0,91.0,7.75,100.0,75.0,0.99,0.02,1.0,0.92
RBF9,100.0,73.0,86.5,4.12,90.0,80.0,0.99,0.01,1.0,0.98
RBF10,46.0,81.0,63.5,6.26,75.0,55.0,0.69,0.05,0.78,0.6
RBF11,52.0,91.0,71.5,5.3,80.0,65.0,0.85,0.07,0.93,0.73
RBF12,52.0,92.0,72.0,4.22,80.0,65.0,0.8,0.03,0.84,0.76
RBF13,46.0,64.0,55.0,4.08,60.0,50.0,0.53,0.06,0.64,0.45
RBF14,52.0,56.0,54.0,7.38,65.0,45.0,0.56,0.1,0.7,0.43
RBF15,52.0,91.0,71.5,5.8,80.0,65.0,0.77,0.05,0.83,0.68
RBF16,86.0,30.0,58.0,7.89,65.0,40.0,0.55,0.05,0.64,0.48
RBF17,100.0,11.0,55.5,3.69,60.0,50.0,0.78,0.05,0.9,0.72
RBF18,75.0,76.0,75.5,4.38,85.0,70.0,0.84,0.05,0.92,0.77
RBF19,52.0,70.0,61.0,5.68,70.0,50.0,0.68,0.06,0.75,0.58
RBF20,52.0,48.0,50.0,3.33,55.0,45.0,0.48,0.04,0.55,0.42
RBF21,52.0,52.0,52.0,6.32,65.0,45.0,0.52,0.03,0.57,0.47
RBF22,52.0,57.0,54.5,5.5,65.0,50.0,0.56,0.07,0.67,0.43
RBF23,52.0,65.0,58.5,5.3,65.0,50.0,0.57,0.03,0.62,0.52
RBF24,52.0,54.0,53.0,4.22,60.0,45.0,0.55,0.03,0.58,0.51
RBF25,100.0,15.0,57.5,2.64,60.0,55.0,0.68,0.04,0.75,0.64
