Model,Average Test Score Mean,Average Test Score Std,Average AUC,Model,Average Test Score Mean,Average Test Score Std,Average AUC,Model,Average Test Score Mean,Average Test Score Std,Average AUC
QP10_QP5,87.48,5.12,0.967,QP10_QP5,85.32,4.77,0.976,QP10_QP5,61.0,6.49,0.531
QP15_QP5,95.74,2.47,0.9890000000000001,QP15_QP5,97.81,1.59,0.9960000000000001,QP15_QP5,88.67,3.5,0.9099999999999999
QP15_QP10,80.09,5.67,0.907,QP15_QP10,84.93,3.25,0.898,QP15_QP10,52.0,1.53,0.42699999999999994
QP20_QP5,97.56,1.55,0.993,QP20_QP5,98.07,1.51,0.998,QP20_QP5,87.17,2.36,0.9349999999999999
QP20_QP10,90.94,1.8,0.953,QP20_QP10,87.37,3.36,0.9279999999999999,QP20_QP10,80.5,3.43,0.8400000000000001
QP20_QP16,80.55,4.64,0.943,QP20_QP16,82.18,3.77,0.9359999999999999,QP20_QP16,52.83,1.12,0.414
QP25_QP5,98.3,1.43,0.998,QP25_QP5,97.31,2.1,0.999,QP25_QP5,95.33,2.7,0.985
QP25_QP10,92.85,1.99,0.9709999999999999,QP25_QP10,90.07,3.46,0.9629999999999999,QP25_QP10,93.17,4.12,0.96
QP25_QP16,88.07,3.43,0.9629999999999999,QP25_QP16,90.63,4.56,0.978,QP25_QP16,78.83,4.24,0.8160000000000001
QP25_QP20,88.63,3.65,0.9480000000000001,QP25_QP20,93.65,2.71,0.983,QP25_QP20,72.67,2.75,0.732
QP25_QP24,86.68,3.61,0.943,QP25_QP24,89.83,2.69,0.95,QP25_QP24,59.33,1.79,0.545
QP30_QP5,98.39,1.1,0.998,QP30_QP5,98.05,1.26,0.994,QP30_QP5,100.0,0.0,1.0
QP30_QP10,94.94,1.64,0.99,QP30_QP10,91.07,2.92,0.986,QP30_QP10,99.67,0.7,0.998
QP30_QP16,96.67,2.45,0.9949999999999999,QP30_QP16,97.76,2.87,0.998,QP30_QP16,99.5,0.81,0.993
QP30_QP20,94.56,2.77,0.991,QP30_QP20,96.37,2.2,1.0,QP30_QP20,99.0,1.4,0.993
QP30_QP24,92.83,3.47,0.9810000000000001,QP30_QP24,94.8,2.3,0.9949999999999999,QP30_QP24,99.5,0.81,0.9970000000000001
QP30_QP27,86.46,4.23,0.9359999999999999,QP30_QP27,86.82,2.27,0.961,QP30_QP27,86.16,2.94,0.906
QP32_QP5,98.09,1.45,0.998,QP32_QP5,96.83,2.35,0.994,QP32_QP5,100.0,0.0,1.0
QP32_QP10,95.07,1.22,0.993,QP32_QP10,91.04,2.52,0.985,QP32_QP10,99.67,0.7,0.999
QP32_QP16,96.83,2.25,0.9970000000000001,QP32_QP16,98.0,2.44,1.0,QP32_QP16,99.5,0.81,0.9949999999999999
QP32_QP20,94.79,2.61,0.9970000000000001,QP32_QP20,96.37,2.2,1.0,QP32_QP20,99.5,0.81,0.998
QP32_QP24,93.74,3.16,0.9879999999999999,QP32_QP24,94.8,2.3,0.998,QP32_QP24,99.83,0.53,0.9970000000000001
QP32_QP27,90.44,4.45,0.9710000000000001,QP32_QP27,87.94,2.02,0.991,QP32_QP27,98.34,1.76,0.9890000000000001
