Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score,Average AUC,AUC STD,Max AUC,Min AUC
RBF1,95.19,93.7,94.44,0.83,95.0,93.33,0.97,0.0,0.97,0.96
RBF2,95.19,95.93,95.56,1.67,98.33,93.33,0.96,0.02,0.98,0.93
RBF3,87.04,80.37,83.7,3.71,90.0,78.33,0.92,0.03,0.96,0.88
RBF4,95.19,98.52,96.85,1.94,98.33,93.33,0.98,0.0,0.99,0.97
RBF5,87.04,94.07,90.56,4.56,98.33,85.0,0.97,0.02,1.0,0.94
RBF6,95.93,77.78,86.85,3.17,91.67,81.67,0.97,0.01,0.99,0.95
RBF7,95.19,98.89,97.04,1.39,98.33,95.0,0.99,0.01,0.99,0.97
RBF8,87.04,94.44,90.74,4.8,98.33,81.67,0.97,0.04,1.0,0.91
RBF9,95.93,84.44,90.19,2.82,93.33,86.67,0.98,0.02,0.99,0.95
RBF10,88.15,86.3,87.22,3.63,91.67,80.0,0.94,0.03,0.97,0.89
RBF11,90.74,78.89,84.81,2.56,88.33,80.0,0.93,0.02,0.96,0.9
RBF12,95.19,100.0,97.59,0.88,98.33,96.67,0.99,0.0,0.99,0.99
RBF13,87.04,96.67,91.85,3.17,98.33,88.33,0.99,0.02,1.0,0.96
RBF14,95.93,100.0,97.96,1.11,100.0,96.67,1.0,0.0,1.0,1.0
RBF15,88.15,99.63,93.89,2.04,96.67,90.0,0.99,0.01,1.0,0.97
RBF16,90.74,97.41,94.07,2.37,96.67,90.0,0.97,0.02,0.99,0.94
RBF17,82.59,94.81,88.7,2.0,91.67,85.0,0.94,0.03,0.97,0.91
RBF18,95.19,99.63,97.41,0.88,98.33,96.67,0.99,0.0,0.99,0.99
RBF19,87.04,99.26,93.15,2.42,98.33,90.0,0.99,0.01,1.0,0.97
RBF20,95.93,100.0,97.96,1.11,100.0,96.67,1.0,0.0,1.0,1.0
RBF21,88.15,100.0,94.07,1.69,96.67,91.67,1.0,0.01,1.0,0.98
RBF22,90.74,99.63,95.19,1.94,98.33,93.33,0.98,0.01,1.0,0.96
RBF23,82.59,98.89,90.74,2.22,93.33,86.67,0.98,0.02,1.0,0.94
RBF24,95.19,100.0,97.59,0.88,98.33,96.67,0.99,0.0,1.0,0.99
RBF25,87.04,97.78,92.41,2.52,98.33,90.0,0.99,0.01,1.0,0.96
RBF26,95.93,100.0,97.96,1.11,100.0,96.67,1.0,0.0,1.0,1.0
RBF27,88.15,99.63,93.89,1.67,96.67,91.67,1.0,0.0,1.0,0.99
RBF28,90.74,99.63,95.19,1.94,98.33,93.33,0.99,0.01,1.0,0.97
RBF29,82.59,100.0,91.3,1.82,93.33,88.33,0.99,0.01,1.0,0.97
RBF30,72.22,91.85,82.04,3.71,90.0,78.33,0.91,0.03,0.95,0.86
RBF31,95.19,100.0,97.59,0.88,98.33,96.67,0.99,0.0,1.0,0.99
RBF32,87.04,98.89,92.96,2.61,98.33,90.0,0.99,0.01,1.0,0.98
RBF33,95.93,100.0,97.96,1.11,100.0,96.67,1.0,0.0,1.0,1.0
RBF34,88.15,100.0,94.07,1.69,96.67,91.67,1.0,0.0,1.0,1.0
RBF35,90.74,100.0,95.37,1.82,98.33,93.33,0.99,0.01,1.0,0.98
RBF36,82.59,100.0,91.3,1.82,93.33,88.33,1.0,0.01,1.0,0.99
RBF37,72.22,99.63,85.93,3.24,93.33,81.67,0.99,0.01,1.0,0.98
RBF38,80.74,95.56,88.15,5.49,93.33,78.33,0.95,0.03,0.97,0.89
RBF39,95.19,100.0,97.59,0.88,98.33,96.67,0.99,0.0,1.0,0.98
RBF40,87.04,99.26,93.15,2.42,98.33,90.0,1.0,0.01,1.0,0.98
RBF41,95.93,100.0,97.96,1.11,100.0,96.67,1.0,0.0,1.0,1.0
RBF42,88.15,100.0,94.07,1.69,96.67,91.67,1.0,0.0,1.0,1.0
RBF43,90.74,100.0,95.37,1.82,98.33,93.33,1.0,0.0,1.0,0.99
RBF44,82.59,100.0,91.3,1.82,93.33,88.33,1.0,0.0,1.0,0.99
RBF45,72.22,99.26,85.74,3.34,93.33,81.67,1.0,0.01,1.0,0.98
RBF46,80.74,98.15,89.44,5.46,95.0,80.0,0.98,0.02,1.0,0.94
RBF47,71.85,97.04,84.44,3.91,88.33,78.33,0.92,0.05,0.95,0.83
RBF48,95.19,96.67,95.93,0.88,96.67,95.0,0.98,0.02,1.0,0.95
RBF49,87.04,100.0,93.52,2.27,98.33,90.0,1.0,0.0,1.0,0.99
RBF50,95.93,100.0,97.96,1.11,100.0,96.67,1.0,0.0,1.0,1.0
RBF51,88.15,100.0,94.07,1.69,96.67,91.67,1.0,0.0,1.0,1.0
RBF52,90.74,99.63,95.19,1.94,98.33,93.33,1.0,0.0,1.0,0.99
RBF53,82.59,99.26,90.93,1.88,93.33,88.33,1.0,0.0,1.0,0.99
RBF54,72.22,98.89,85.56,3.63,93.33,80.0,0.99,0.02,1.0,0.97
RBF55,80.74,98.15,89.44,5.46,95.0,80.0,0.99,0.02,1.0,0.95
RBF56,71.85,97.78,84.81,3.38,88.33,80.0,0.94,0.03,0.97,0.89
RBF57,67.04,98.52,82.78,3.12,86.67,78.33,0.98,0.02,1.0,0.93
RBF58,95.19,94.44,94.81,1.76,96.67,91.67,0.96,0.0,0.96,0.95
RBF59,87.04,95.93,91.48,3.27,96.67,86.67,0.97,0.02,0.99,0.95
RBF60,95.93,91.11,93.52,1.94,96.67,90.0,0.99,0.01,1.0,0.97
RBF61,88.15,95.19,91.67,3.73,96.67,86.67,0.97,0.02,0.99,0.94
RBF62,90.74,82.22,86.48,3.06,91.67,81.67,0.91,0.02,0.95,0.89
RBF63,82.59,73.7,78.15,3.27,85.0,75.0,0.9,0.03,0.94,0.86
RBF64,72.22,84.07,78.15,3.17,83.33,73.33,0.87,0.03,0.9,0.81
RBF65,80.74,87.78,84.26,6.24,91.67,73.33,0.91,0.03,0.94,0.85
RBF66,71.85,90.74,81.3,4.06,86.67,75.0,0.87,0.06,0.92,0.78
RBF67,67.04,90.37,78.7,3.51,83.33,73.33,0.91,0.04,0.96,0.83
RBF68,95.93,40.74,68.33,5.34,76.67,61.67,0.8,0.02,0.83,0.77
RBF69,88.15,37.78,62.96,4.31,68.33,53.33,0.65,0.02,0.67,0.62
RBF70,90.74,29.26,60.0,3.54,65.0,55.0,0.69,0.03,0.71,0.63
