RBF Average TNR,RBF Average TPR,RBF Average Test Score,RBF Average Test Score Std,RBF Model,LINEAR Average TNR,LINEAR Average TPR,LINEAR Average Test Score,LINEAR Average Test Score Std,LINEAR Model,RBF2 Average TNR,RBF2 Average TPR,RBF2 Average Test Score,RBF2 Average Test Score Std,RBF2 Model,LINEAR2 Average TNR,LINEAR2 Average TPR,LINEAR2 Average Test Score,LINEAR2 Average Test Score Std,LINEAR2 Model,OLD Average TNR,OLD Average TPR,OLD Average Test Score,OLD Average Test Score Std,OLD Model
83.0,71.07,77.03,,,86.7,44.93,65.82,,,83.57,80.7,82.13,,,82.53,80.83,81.68,,,90.77,31.37,61.07,,
84.47,69.2,76.83,,,81.33,52.1,66.72,,,86.27,79.17,82.72,,,82.73,81.13,81.93,,,90.2,32.33,61.27,,
82.6,71.0,76.8,,,77.23,54.17,65.7,,,86.0,77.93,81.97,,,82.7,79.17,80.93,,,92.97,28.37,60.67,,
82.4,70.83,76.62,,,76.13,59.53,67.83,,,84.77,80.23,82.5,,,83.57,81.27,82.42,,,86.93,35.17,61.05,,
82.4,71.6,77.0,,,75.57,57.0,66.28,,,85.13,78.6,81.87,,,81.73,81.07,81.4,,,86.47,34.7,60.58,,
80.83,71.1,75.97,,,74.63,58.6,66.62,,,84.57,79.37,81.97,,,82.2,79.7,80.95,,,88.53,32.67,60.6,,
84.3,69.6,76.95,,,75.1,58.63,66.87,,,85.1,77.63,81.37,,,82.13,80.73,81.43,,,94.67,26.63,60.65,,
84.03,71.3,77.67,,,79.33,57.37,68.35,,,84.97,79.73,82.35,,,81.83,81.13,81.48,,,89.17,32.2,60.68,,
84.53,70.63,77.58,,,82.93,53.5,68.22,,,84.13,79.57,81.85,,,82.6,79.63,81.12,,,90.3,31.57,60.93,,
82.57,71.4,76.98,,,73.03,61.17,67.1,,,84.23,78.73,81.48,,,83.3,78.4,80.85,,,93.97,27.13,60.55,,
83.11,70.77,76.94,0.48,RBF_MEAN,78.2,55.7,66.95,0.93,LINEAR_MEAN,84.87,79.17,82.02,0.42,RBF2_MEAN,82.53,80.31,81.42,0.5,LINEAR2_MEAN,90.4,31.21,60.8,0.25,OLD_MEAN
