Model,Average Test Score Mean,Average Test Score Std,Average AUC,Model,Average Test Score Mean,Average Test Score Std,Average AUC,Model,Average Test Score Mean,Average Test Score Std,Average AUC
QP4_QP2_GG,60.9,6.58,0.678,QP4_QP2_GG,61.8,4.88,0.682,QP4_QP2_GG,52.0,2.74,0.27199999999999996
QP12_QP2_GG,83.6,5.24,0.9279999999999999,QP12_QP2_GG,75.9,4.83,0.882,QP12_QP2_GG,58.0,2.74,0.52
QP12_QP4_GG,78.2,6.75,0.876,QP12_QP4_GG,75.5,8.18,0.8539999999999999,QP12_QP4_GG,58.0,4.47,0.384
QP4_QP2_LG,66.0,5.78,0.736,QP4_QP2_LG,63.5,3.76,0.726,QP4_QP2_LG,50.0,0.0,0.27199999999999996
QP12_QP2_LG,90.0,4.97,0.958,QP12_QP2_LG,69.9,4.87,0.866,QP12_QP2_LG,75.0,6.12,0.748
QP12_QP4_LG,82.6,2.86,0.916,QP12_QP4_LG,69.1,9.9,0.806,QP12_QP4_LG,66.0,6.52,0.6140000000000001
QP4_QP2_GL,51.9,9.02,0.5199999999999999,QP4_QP2_GL,54.9,3.42,0.598,QP4_QP2_GL,50.0,0.0,0.148
QP12_QP2_GL,77.7,5.5,0.842,QP12_QP2_GL,69.7,7.77,0.9199999999999999,QP12_QP2_GL,50.0,0.0,0.306
QP12_QP4_GL,73.9,4.39,0.9,QP12_QP4_GL,86.7,6.18,0.978,QP12_QP4_GL,55.0,3.54,0.384
QP2_QP2_GG,72.4,9.79,0.8300000000000001,QP2_QP2_GG,67.1,4.84,0.8099999999999999,QP2_QP2_GG,52.0,2.74,0.24
QP4_QP4_GG,72.1,2.75,0.8699999999999999,QP4_QP4_GG,70.1,6.14,0.844,QP4_QP4_GG,51.0,2.24,0.22200000000000003
QP12_QP12_GG,82.4,7.83,0.954,QP12_QP12_GG,77.5,10.41,0.966,QP12_QP12_GG,52.0,2.74,0.352
QP2_QP2_LG,54.2,5.07,0.558,QP2_QP2_LG,56.2,2.75,0.562,QP2_QP2_LG,50.0,0.0,0.22800000000000004
QP4_QP4_LG,53.0,3.0,0.528,QP4_QP4_LG,50.7,9.97,0.518,QP4_QP4_LG,52.0,2.74,0.192
QP12_QP12_LG,73.8,6.77,0.85,QP12_QP12_LG,77.0,9.21,0.9019999999999999,QP12_QP12_LG,55.0,0.0,0.32
QP2_QP2_GL,49.7,7.01,0.43600000000000005,QP2_QP2_GL,48.4,4.95,0.5519999999999999,QP2_QP2_GL,50.0,0.0,0.178
QP4_QP4_GL,62.4,5.88,0.7140000000000001,QP4_QP4_GL,71.8,8.65,0.828,QP4_QP4_GL,56.0,2.24,0.23200000000000004
QP12_QP12_GL,66.5,5.28,0.756,QP12_QP12_GL,73.2,4.37,0.858,QP12_QP12_GL,51.0,2.24,0.33199999999999996
QP2_QP4_GG,59.4,3.21,0.6100000000000001,QP2_QP4_GG,55.4,11.61,0.592,QP2_QP4_GG,51.0,2.24,0.22799999999999998
QP2_QP12_GG,57.5,5.67,0.616,QP2_QP12_GG,62.9,10.84,0.6940000000000001,QP2_QP12_GG,53.0,4.47,0.37
QP4_QP12_GG,60.5,7.03,0.65,QP4_QP12_GG,60.6,8.54,0.6639999999999999,QP4_QP12_GG,53.0,4.47,0.364
QP2_QP4_LG,51.0,3.16,0.504,QP2_QP4_LG,53.3,11.73,0.502,QP2_QP4_LG,53.0,2.74,0.268
QP2_QP12_LG,56.5,8.8,0.62,QP2_QP12_LG,62.2,7.67,0.672,QP2_QP12_LG,53.0,4.47,0.378
QP4_QP12_LG,60.8,5.19,0.65,QP4_QP12_LG,69.2,9.3,0.754,QP4_QP12_LG,53.0,4.47,0.39
QP2_QP4_GL,58.3,7.36,0.658,QP2_QP4_GL,65.7,6.11,0.74,QP2_QP4_GL,53.0,4.47,0.196
QP2_QP12_LG,50.5,6.31,0.508,QP2_QP12_LG,48.7,7.22,0.47400000000000003,QP2_QP12_LG,55.0,3.54,0.378
QP4_QP12_GL,54.1,5.25,0.576,QP4_QP12_GL,51.6,7.24,0.616,QP4_QP12_GL,53.0,4.47,0.366
