Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score,Average AUC,AUC STD,Max AUC,Min AUC
RBF1,68.0,39.0,53.5,6.26,60.0,40.0,0.64,0.05,0.67,0.53
RBF2,90.0,67.0,78.5,5.3,90.0,75.0,0.92,0.02,0.95,0.89
RBF3,88.0,76.0,82.0,5.87,90.0,75.0,0.92,0.04,0.97,0.87
RBF4,67.0,62.0,64.5,3.69,70.0,60.0,0.75,0.03,0.78,0.69
RBF5,90.0,81.0,85.5,4.97,95.0,80.0,0.95,0.02,0.98,0.93
RBF6,83.0,86.0,84.5,4.97,90.0,75.0,0.94,0.03,0.99,0.91
RBF7,54.0,31.0,42.5,4.25,50.0,40.0,0.44,0.02,0.49,0.41
RBF8,82.0,74.0,78.0,6.32,85.0,65.0,0.83,0.02,0.85,0.79
RBF9,90.0,57.0,73.5,4.12,80.0,70.0,0.82,0.02,0.84,0.8
RBF10,74.0,49.0,61.5,5.3,75.0,55.0,0.77,0.04,0.82,0.68
RBF11,49.0,95.0,72.0,7.53,80.0,60.0,0.92,0.03,0.99,0.86
RBF12,93.0,92.0,92.5,5.4,95.0,80.0,0.99,0.01,1.0,0.97
RBF13,62.0,34.0,48.0,5.37,55.0,40.0,0.54,0.06,0.6,0.38
RBF14,59.0,41.0,50.0,6.67,60.0,40.0,0.53,0.03,0.59,0.5
RBF15,95.0,71.0,83.0,6.32,90.0,70.0,0.95,0.05,0.99,0.87
RBF16,45.0,38.0,41.5,3.37,45.0,35.0,0.39,0.02,0.44,0.36
RBF17,56.0,55.0,55.5,5.99,65.0,45.0,0.63,0.03,0.68,0.59
RBF18,83.0,45.0,64.0,4.59,70.0,60.0,0.78,0.01,0.8,0.76
RBF19,54.0,64.0,59.0,4.59,65.0,50.0,0.67,0.03,0.72,0.62
RBF20,75.0,48.0,61.5,5.3,65.0,50.0,0.72,0.06,0.79,0.58
RBF21,67.0,69.0,68.0,5.87,75.0,60.0,0.75,0.04,0.78,0.65
RBF22,56.0,48.0,52.0,5.87,60.0,40.0,0.54,0.03,0.57,0.47
RBF23,73.0,58.0,65.5,4.97,70.0,55.0,0.73,0.04,0.77,0.66
RBF24,83.0,46.0,64.5,2.84,70.0,60.0,0.79,0.04,0.83,0.69
RBF25,46.0,52.0,49.0,3.16,55.0,45.0,0.52,0.05,0.59,0.45
RBF26,74.0,28.0,51.0,4.59,60.0,45.0,0.49,0.05,0.59,0.44
RBF27,72.0,40.0,56.0,5.68,70.0,50.0,0.57,0.04,0.65,0.52
LINEAR1,46.0,79.0,62.5,5.4,65.0,50.0,0.69,0.03,0.73,0.66
LINEAR2,83.0,78.0,80.5,4.97,85.0,75.0,0.89,0.03,0.94,0.84
LINEAR3,79.0,78.0,78.5,6.26,85.0,65.0,0.89,0.01,0.9,0.88
LINEAR4,53.0,76.0,64.5,1.58,65.0,60.0,0.74,0.02,0.77,0.71
LINEAR5,79.0,64.0,71.5,7.84,80.0,60.0,0.79,0.06,0.9,0.7
LINEAR6,51.0,89.0,70.0,5.27,80.0,60.0,0.82,0.05,0.89,0.73
LINEAR7,38.0,76.0,57.0,4.83,65.0,50.0,0.58,0.02,0.62,0.55
LINEAR8,60.0,79.0,69.5,6.85,80.0,60.0,0.86,0.03,0.91,0.82
LINEAR9,98.0,61.0,79.5,4.97,85.0,70.0,0.95,0.02,0.97,0.91
LINEAR10,62.0,82.0,72.0,5.87,80.0,65.0,0.85,0.03,0.89,0.79
LINEAR11,38.0,97.0,67.5,3.54,70.0,60.0,0.89,0.02,0.92,0.87
LINEAR12,90.0,90.0,90.0,0.0,90.0,90.0,0.99,0.0,0.99,0.98
LINEAR13,50.0,70.0,60.0,7.07,65.0,45.0,0.55,0.03,0.6,0.52
LINEAR14,37.0,61.0,49.0,3.94,55.0,45.0,0.54,0.02,0.57,0.5
LINEAR15,93.0,89.0,91.0,4.59,100.0,85.0,0.99,0.01,1.0,0.98
LINEAR16,25.0,62.0,43.5,3.37,45.0,35.0,0.53,0.03,0.58,0.48
LINEAR17,43.0,79.0,61.0,3.94,70.0,55.0,0.78,0.04,0.83,0.7
LINEAR18,85.0,55.0,70.0,5.77,75.0,60.0,0.83,0.03,0.87,0.77
LINEAR19,36.0,74.0,55.0,5.77,65.0,50.0,0.66,0.02,0.68,0.62
LINEAR20,78.0,85.0,81.5,6.26,85.0,70.0,0.85,0.01,0.86,0.83
LINEAR21,67.0,82.0,74.5,4.38,80.0,65.0,0.79,0.02,0.82,0.74
LINEAR22,32.0,67.0,49.5,5.5,60.0,45.0,0.57,0.04,0.62,0.51
LINEAR23,65.0,86.0,75.5,6.43,85.0,65.0,0.8,0.01,0.82,0.79
LINEAR24,82.0,82.0,82.0,6.32,85.0,70.0,0.89,0.01,0.9,0.88
LINEAR25,38.0,81.0,59.5,6.43,70.0,50.0,0.7,0.04,0.75,0.63
LINEAR26,84.0,5.0,44.5,2.84,50.0,40.0,0.39,0.01,0.42,0.38
LINEAR27,85.0,23.0,54.0,3.94,60.0,50.0,0.59,0.02,0.62,0.56
OLD1,0.0,0.0,55.0,0.0,55.0,55.0,0.24,0.0,0.24,0.24
OLD2,0.0,0.0,60.0,0.0,60.0,60.0,0.51,0.0,0.51,0.51
OLD3,0.0,0.0,65.0,0.0,65.0,65.0,0.45,0.0,0.45,0.45
OLD4,0.0,0.0,50.0,0.0,50.0,50.0,0.23,0.0,0.23,0.23
OLD5,0.0,0.0,80.0,0.0,80.0,80.0,0.74,0.0,0.74,0.74
OLD6,0.0,0.0,70.0,0.0,70.0,70.0,0.58,0.0,0.58,0.58
OLD7,0.0,0.0,50.0,0.0,50.0,50.0,0.13,0.0,0.13,0.13
OLD8,0.0,0.0,50.0,0.0,50.0,50.0,0.28,0.0,0.28,0.28
