Model,Average Test Score Mean,Average Test Score Std,Average AUC,Model,Average Test Score Mean,Average Test Score Std,Average AUC,Model,Average Test Score Mean,Average Test Score Std,Average AUC
QP4_QP2_GG,58.15,7.08,0.6639999999999999,QP4_QP2_GG,59.55,5.23,0.658,QP4_QP2_GG,53.0,2.58,0.313
QP12_QP2_GG,82.8,6.73,0.9279999999999999,QP12_QP2_GG,74.95,7.51,0.8720000000000001,QP12_QP2_GG,59.5,4.97,0.5509999999999999
QP12_QP4_GG,79.85,8.31,0.89,QP12_QP4_GG,76.2,8.18,0.858,QP12_QP4_GG,61.0,6.58,0.43100000000000005
QP4_QP2_LG,64.0,5.74,0.73,QP4_QP2_LG,60.75,4.52,0.7150000000000001,QP4_QP2_LG,50.5,1.58,0.312
QP12_QP2_LG,88.4,6.08,0.9570000000000001,QP12_QP2_LG,70.7,9.45,0.8630000000000001,QP12_QP2_LG,76.0,5.68,0.765
QP12_QP4_LG,82.9,6.37,0.924,QP12_QP4_LG,69.95,9.73,0.8210000000000001,QP12_QP4_LG,68.5,6.26,0.643
QP4_QP2_GL,53.1,7.0,0.5509999999999999,QP4_QP2_GL,54.2,3.32,0.592,QP4_QP2_GL,50.5,1.58,0.16999999999999998
QP12_QP2_GL,79.65,5.68,0.853,QP12_QP2_GL,70.3,8.99,0.907,QP12_QP2_GL,51.0,3.16,0.354
QP12_QP4_GL,76.75,6.27,0.917,QP12_QP4_GL,84.9,5.84,0.967,QP12_QP4_GL,54.5,2.84,0.368
QP2_QP2_GG,69.35,9.54,0.8019999999999999,QP2_QP2_GG,64.75,5.67,0.784,QP2_QP2_GG,53.0,2.58,0.275
QP4_QP4_GG,73.35,8.29,0.8620000000000001,QP4_QP4_GG,71.35,6.88,0.8640000000000001,QP4_QP4_GG,52.5,3.54,0.272
QP12_QP12_GG,80.95,6.26,0.932,QP12_QP12_GG,77.3,8.09,0.946,QP12_QP12_GG,53.5,2.42,0.383
QP2_QP2_LG,51.6,5.63,0.5509999999999999,QP2_QP2_LG,54.5,3.12,0.5469999999999999,QP2_QP2_LG,50.0,0.0,0.258
QP4_QP4_LG,55.35,8.08,0.568,QP4_QP4_LG,52.6,9.05,0.527,QP4_QP4_LG,51.0,2.11,0.22400000000000003
QP12_QP12_LG,72.35,8.38,0.8160000000000001,QP12_QP12_LG,76.05,6.91,0.8699999999999999,QP12_QP12_LG,57.5,2.64,0.355
QP2_QP2_GL,51.15,7.06,0.476,QP2_QP2_GL,48.35,5.04,0.53,QP2_QP2_GL,51.0,3.16,0.189
QP4_QP4_GL,64.65,5.88,0.721,QP4_QP4_GL,71.2,6.49,0.829,QP4_QP4_GL,55.5,1.58,0.23700000000000002
QP12_QP12_GL,66.45,4.71,0.736,QP12_QP12_GL,72.05,7.47,0.844,QP12_QP12_GL,51.5,3.37,0.313
QP2_QP4_GG,61.0,8.41,0.637,QP2_QP4_GG,57.8,9.66,0.615,QP2_QP4_GG,52.5,3.54,0.284
QP2_QP12_GG,55.85,5.64,0.595,QP2_QP12_GG,61.75,7.76,0.648,QP2_QP12_GG,55.0,4.08,0.406
QP4_QP12_GG,59.25,5.29,0.615,QP4_QP12_GG,59.15,6.32,0.625,QP4_QP12_GG,55.0,4.08,0.398
QP2_QP4_LG,54.1,7.18,0.546,QP2_QP4_LG,55.05,9.64,0.5269999999999999,QP2_QP4_LG,53.0,2.58,0.309
QP2_QP12_LG,54.75,7.95,0.584,QP2_QP12_LG,62.15,5.8,0.629,QP2_QP12_LG,55.0,4.71,0.41400000000000003
QP4_QP12_LG,59.2,6.79,0.624,QP4_QP12_LG,67.55,6.62,0.713,QP4_QP12_LG,55.0,4.08,0.42000000000000004
QP2_QP4_GL,60.0,5.73,0.6679999999999999,QP2_QP4_GL,65.15,4.65,0.735,QP2_QP4_GL,51.5,3.37,0.197
QP2_QP12_GL,51.95,6.97,0.516,QP2_QP12_GL,49.15,6.31,0.483,QP2_QP12_GL,54.0,3.94,0.356
QP4_QP12_GL,56.7,5.83,0.583,QP4_QP12_GL,52.8,5.5,0.616,QP4_QP12_GL,53.0,4.22,0.343
