Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score,Average AUC,AUC STD,Max AUC,Min AUC
RBF1,37.0,63.0,50.0,6.24,60.0,40.0,0.64,0.02,0.68,0.61
RBF2,80.0,90.0,85.0,4.71,90.0,75.0,0.95,0.03,0.98,0.87
RBF3,76.0,92.0,84.0,5.16,90.0,75.0,0.94,0.03,0.97,0.86
RBF4,36.0,82.0,59.0,6.15,70.0,50.0,0.74,0.04,0.78,0.65
RBF5,83.0,99.0,91.0,3.16,95.0,85.0,0.99,0.01,1.0,0.97
RBF6,72.0,93.0,82.5,4.86,85.0,70.0,0.94,0.03,0.98,0.85
RBF7,66.0,46.0,56.0,4.59,65.0,50.0,0.57,0.06,0.66,0.49
RBF8,91.0,78.0,84.5,1.58,85.0,80.0,0.89,0.02,0.92,0.86
RBF9,100.0,55.0,77.5,4.86,85.0,70.0,0.96,0.01,0.97,0.93
RBF10,44.0,90.0,67.0,4.83,75.0,60.0,0.76,0.02,0.79,0.72
RBF11,58.0,99.0,78.5,8.51,85.0,55.0,0.88,0.04,0.94,0.79
RBF12,74.0,92.0,83.0,5.87,90.0,70.0,0.92,0.05,0.96,0.79
RBF13,24.0,65.0,44.5,4.38,55.0,40.0,0.49,0.03,0.57,0.46
RBF14,52.0,78.0,65.0,6.24,75.0,55.0,0.67,0.03,0.74,0.61
RBF15,73.0,72.0,72.5,4.86,75.0,60.0,0.81,0.03,0.87,0.77
RBF16,45.0,59.0,52.0,6.75,65.0,45.0,0.53,0.05,0.61,0.46
RBF17,88.0,43.0,65.5,1.58,70.0,65.0,0.77,0.03,0.83,0.74
RBF18,64.0,56.0,60.0,4.71,70.0,55.0,0.67,0.06,0.71,0.52
RBF19,50.0,87.0,68.5,5.3,75.0,55.0,0.71,0.01,0.74,0.69
RBF20,64.0,47.0,55.5,4.38,60.0,50.0,0.53,0.04,0.58,0.44
RBF21,67.0,41.0,54.0,3.16,60.0,50.0,0.53,0.04,0.59,0.46
RBF22,52.0,72.0,62.0,5.37,70.0,55.0,0.65,0.03,0.7,0.61
RBF23,63.0,32.0,47.5,4.25,55.0,40.0,0.47,0.03,0.52,0.4
RBF24,70.0,36.0,53.0,4.83,60.0,45.0,0.56,0.03,0.59,0.48
RBF25,83.0,45.0,64.0,3.16,65.0,55.0,0.73,0.05,0.78,0.59
RBF26,58.0,35.0,46.5,4.12,50.0,40.0,0.48,0.04,0.52,0.41
RBF27,64.0,49.0,56.5,3.37,60.0,50.0,0.59,0.02,0.62,0.54
LINEAR1,23.0,98.0,60.5,1.58,65.0,60.0,0.66,0.01,0.69,0.65
LINEAR2,23.0,99.0,61.0,3.16,70.0,60.0,0.79,0.05,0.89,0.73
LINEAR3,60.0,92.0,76.0,3.94,85.0,70.0,0.8,0.05,0.9,0.73
LINEAR4,23.0,98.0,60.5,1.58,65.0,60.0,0.71,0.01,0.72,0.69
LINEAR5,28.0,88.0,58.0,10.85,85.0,50.0,0.73,0.08,0.9,0.64
LINEAR6,57.0,85.0,71.0,5.16,75.0,60.0,0.73,0.07,0.87,0.62
LINEAR7,25.0,83.0,54.0,2.11,55.0,50.0,0.61,0.04,0.67,0.52
LINEAR8,28.0,92.0,60.0,10.8,85.0,50.0,0.86,0.08,0.95,0.75
LINEAR9,89.0,59.0,74.0,2.11,75.0,70.0,0.88,0.06,1.0,0.81
LINEAR10,31.0,98.0,64.5,1.58,65.0,60.0,0.73,0.04,0.78,0.64
LINEAR11,54.0,97.0,75.5,3.69,80.0,70.0,0.89,0.03,0.93,0.82
LINEAR12,61.0,99.0,80.0,2.36,85.0,75.0,0.94,0.03,0.95,0.85
LINEAR13,21.0,91.0,56.0,2.11,60.0,55.0,0.58,0.03,0.62,0.51
LINEAR14,36.0,96.0,66.0,4.59,70.0,55.0,0.64,0.01,0.67,0.63
LINEAR15,64.0,79.0,71.5,4.12,75.0,65.0,0.86,0.05,0.89,0.71
LINEAR16,11.0,89.0,50.0,4.08,55.0,45.0,0.51,0.02,0.53,0.48
LINEAR17,66.0,68.0,67.0,5.87,75.0,60.0,0.76,0.06,0.92,0.71
