Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score,Average AUC,AUC STD,Max AUC,Min AUC
RBF1,98.89,67.04,82.96,3.51,86.67,75.0,0.96,0.01,0.98,0.93
RBF2,98.89,93.7,96.3,1.39,98.33,93.33,1.0,0.0,1.0,0.99
RBF3,92.22,71.48,81.85,2.12,86.67,80.0,0.91,0.01,0.93,0.89
RBF4,98.89,94.81,96.85,1.3,98.33,95.0,0.98,0.01,0.99,0.97
RBF5,92.22,92.96,92.59,3.02,96.67,88.33,0.97,0.02,0.99,0.95
RBF6,93.33,59.26,76.3,1.39,78.33,75.0,0.89,0.01,0.9,0.88
RBF7,98.89,99.63,99.26,1.21,100.0,96.67,1.0,0.0,1.0,1.0
RBF8,92.22,99.63,95.93,1.21,96.67,93.33,0.99,0.0,1.0,0.99
RBF9,93.33,73.7,83.52,1.76,86.67,80.0,0.93,0.01,0.94,0.91
RBF10,93.33,85.93,89.63,1.39,91.67,88.33,0.93,0.02,0.96,0.91
RBF11,88.15,85.93,87.04,1.82,88.33,83.33,0.95,0.01,0.96,0.92
RBF12,98.89,99.26,99.07,1.47,100.0,96.67,1.0,0.0,1.0,1.0
RBF13,92.22,96.67,94.44,0.83,95.0,93.33,0.99,0.0,0.99,0.98
RBF14,93.33,99.26,96.3,0.73,96.67,95.0,1.0,0.0,1.0,0.99
RBF15,93.33,98.89,96.11,1.86,98.33,93.33,0.99,0.01,1.0,0.97
RBF16,88.15,95.93,92.04,4.91,96.67,80.0,0.98,0.02,1.0,0.93
RBF17,73.7,85.19,79.44,3.91,85.0,73.33,0.9,0.02,0.92,0.85
RBF18,98.89,98.89,98.89,1.18,100.0,96.67,1.0,0.0,1.0,1.0
RBF19,92.22,97.41,94.81,0.56,95.0,93.33,0.99,0.0,1.0,0.99
RBF20,93.33,99.63,96.48,0.56,96.67,95.0,1.0,0.0,1.0,0.99
RBF21,93.33,100.0,96.67,1.44,98.33,93.33,1.0,0.0,1.0,0.99
RBF22,88.15,98.52,93.33,4.33,98.33,83.33,1.0,0.01,1.0,0.98
RBF23,73.7,97.78,85.74,3.02,90.0,80.0,0.97,0.02,1.0,0.91
RBF24,98.89,100.0,99.44,1.18,100.0,96.67,1.0,0.0,1.0,1.0
RBF25,92.22,100.0,96.11,0.83,96.67,95.0,1.0,0.0,1.0,0.99
RBF26,93.33,100.0,96.67,0.0,96.67,96.67,1.0,0.0,1.0,1.0
RBF27,93.33,100.0,96.67,1.44,98.33,93.33,1.0,0.0,1.0,1.0
RBF28,88.15,99.26,93.7,3.41,98.33,86.67,1.0,0.0,1.0,0.99
RBF29,73.7,99.26,86.48,2.94,90.0,80.0,0.99,0.01,1.0,0.99
RBF30,75.56,94.44,85.0,2.5,88.33,80.0,0.92,0.01,0.94,0.89
RBF31,98.89,100.0,99.44,1.18,100.0,96.67,1.0,0.0,1.0,1.0
RBF32,92.22,100.0,96.11,0.83,96.67,95.0,1.0,0.0,1.0,1.0
RBF33,93.33,100.0,96.67,0.0,96.67,96.67,1.0,0.0,1.0,1.0
RBF34,93.33,100.0,96.67,1.44,98.33,93.33,1.0,0.0,1.0,1.0
RBF35,88.15,100.0,94.07,3.55,98.33,86.67,1.0,0.0,1.0,1.0
RBF36,73.7,99.63,86.67,2.89,90.0,80.0,1.0,0.0,1.0,0.99
RBF37,75.56,98.89,87.22,1.67,90.0,85.0,0.98,0.01,1.0,0.97
RBF38,65.56,92.59,79.07,3.13,83.33,75.0,0.92,0.02,0.95,0.88
RBF39,98.89,100.0,99.44,1.18,100.0,96.67,1.0,0.0,1.0,1.0
RBF40,92.22,100.0,96.11,0.83,96.67,95.0,1.0,0.0,1.0,1.0
RBF41,93.33,100.0,96.67,0.0,96.67,96.67,1.0,0.0,1.0,1.0
RBF42,93.33,100.0,96.67,1.44,98.33,93.33,1.0,0.0,1.0,1.0
RBF43,88.15,100.0,94.07,3.55,98.33,86.67,1.0,0.0,1.0,1.0
RBF44,73.7,99.63,86.67,2.89,90.0,80.0,1.0,0.0,1.0,0.99
RBF45,75.56,99.63,87.59,1.88,90.0,85.0,1.0,0.01,1.0,0.98
RBF46,65.56,98.89,82.22,3.12,86.67,76.67,0.99,0.01,1.0,0.97
RBF47,73.33,97.41,85.37,3.2,91.67,81.67,0.95,0.02,0.99,0.91
RBF48,98.89,100.0,99.44,1.18,100.0,96.67,1.0,0.0,1.0,1.0
RBF49,92.22,100.0,96.11,0.83,96.67,95.0,1.0,0.0,1.0,1.0
RBF50,93.33,99.63,96.48,0.56,96.67,95.0,1.0,0.0,1.0,0.99
RBF51,93.33,100.0,96.67,1.44,98.33,93.33,1.0,0.0,1.0,1.0
RBF52,88.15,100.0,94.07,3.55,98.33,86.67,1.0,0.0,1.0,1.0
RBF53,73.7,100.0,86.85,3.06,90.0,80.0,1.0,0.0,1.0,1.0
RBF54,75.56,100.0,87.78,1.67,90.0,85.0,1.0,0.0,1.0,1.0
RBF55,65.56,99.63,82.59,2.9,86.67,78.33,1.0,0.01,1.0,0.98
RBF56,73.33,97.78,85.56,3.33,91.67,81.67,0.98,0.01,0.99,0.96
RBF57,57.41,98.89,78.15,3.77,83.33,71.67,0.96,0.04,0.99,0.89
RBF58,98.89,97.41,98.15,1.55,100.0,95.0,1.0,0.0,1.0,0.99
RBF59,92.22,82.22,87.22,3.0,91.67,81.67,0.94,0.02,0.96,0.91
RBF60,93.33,93.7,93.52,1.3,95.0,91.67,0.98,0.01,0.99,0.97
RBF61,93.33,86.3,89.81,1.55,91.67,86.67,0.96,0.01,0.98,0.95
RBF62,88.15,78.15,83.15,2.69,85.0,76.67,0.89,0.01,0.91,0.88
RBF63,73.7,78.52,76.11,3.23,80.0,68.33,0.86,0.02,0.88,0.83
RBF64,75.56,92.96,84.26,2.65,88.33,81.67,0.9,0.01,0.92,0.88
RBF65,65.56,94.81,80.19,3.27,85.0,76.67,0.91,0.02,0.94,0.87
RBF66,73.33,94.44,83.89,3.44,90.0,78.33,0.9,0.02,0.96,0.87
RBF67,57.41,92.96,75.19,5.8,83.33,65.0,0.85,0.06,0.94,0.74
RBF68,93.33,28.52,60.93,2.52,65.0,58.33,0.66,0.02,0.7,0.62
RBF69,93.33,29.26,61.3,3.61,70.0,58.33,0.71,0.02,0.74,0.66
RBF70,88.15,32.59,60.37,3.61,65.0,53.33,0.7,0.02,0.73,0.67
RBF71,73.7,30.37,52.04,3.2,55.0,45.0,0.62,0.02,0.64,0.59
RBF72,75.56,49.26,62.41,3.92,66.67,55.0,0.63,0.02,0.67,0.61
RBF73,65.56,44.07,54.81,2.42,60.0,51.67,0.56,0.01,0.58,0.55
RBF74,73.33,41.11,57.22,2.36,61.67,53.33,0.6,0.02,0.64,0.57
RBF75,57.41,38.52,47.96,1.82,51.67,46.67,0.5,0.01,0.51,0.48
RBF76,93.33,88.89,91.11,2.36,95.0,86.67,0.98,0.01,0.99,0.97
RBF77,93.33,49.26,71.3,3.31,76.67,66.67,0.82,0.01,0.84,0.8
RBF78,88.15,42.59,65.37,2.17,68.33,61.67,0.79,0.03,0.82,0.72
RBF79,73.7,51.11,62.41,6.93,75.0,51.67,0.73,0.03,0.78,0.67
RBF80,75.56,38.89,57.22,2.36,60.0,53.33,0.61,0.03,0.64,0.54
RBF81,65.56,45.19,55.37,3.61,63.33,51.67,0.61,0.01,0.63,0.59
RBF82,73.33,35.19,54.26,2.52,58.33,51.67,0.52,0.03,0.57,0.5
RBF83,57.41,44.81,51.11,1.86,53.33,48.33,0.51,0.01,0.53,0.5
RBF84,88.15,38.89,63.52,2.12,68.33,61.67,0.71,0.03,0.75,0.64
RBF85,73.7,63.33,68.52,5.23,76.67,60.0,0.79,0.02,0.82,0.75
RBF86,75.56,55.19,65.37,2.17,68.33,61.67,0.7,0.02,0.72,0.66
RBF87,65.56,48.52,57.04,2.74,60.0,53.33,0.62,0.01,0.65,0.61
RBF88,73.33,45.93,59.63,2.17,63.33,56.67,0.63,0.02,0.65,0.59
RBF89,57.41,36.3,46.85,1.76,48.33,43.33,0.47,0.01,0.48,0.46
RBF90,73.7,67.41,70.56,4.56,76.67,63.33,0.82,0.02,0.83,0.77
RBF91,75.56,70.0,72.78,1.44,75.0,70.0,0.76,0.02,0.79,0.73
RBF92,65.56,50.37,57.96,2.86,61.67,53.33,0.65,0.02,0.67,0.62
RBF93,73.33,52.96,63.15,2.27,66.67,60.0,0.66,0.03,0.72,0.62
RBF94,57.41,52.22,54.81,3.06,58.33,50.0,0.55,0.02,0.57,0.49
RBF95,75.56,72.22,73.89,2.64,78.33,71.67,0.82,0.02,0.85,0.8
RBF96,65.56,65.19,65.37,3.98,71.67,58.33,0.74,0.03,0.78,0.69
RBF97,73.33,71.48,72.41,3.02,76.67,68.33,0.77,0.02,0.81,0.76
RBF98,57.41,49.63,53.52,2.69,58.33,50.0,0.55,0.04,0.59,0.47
RBF99,65.56,64.07,64.81,3.38,68.33,58.33,0.74,0.02,0.76,0.71
RBF100,73.33,62.59,67.96,3.09,71.67,63.33,0.75,0.02,0.77,0.71
RBF101,57.41,50.74,54.07,1.88,56.67,50.0,0.52,0.02,0.54,0.49
RBF102,65.56,62.96,64.26,2.22,68.33,61.67,0.7,0.02,0.74,0.66
RBF103,73.33,73.33,73.33,2.36,78.33,70.0,0.79,0.01,0.81,0.77
RBF104,57.41,50.0,53.7,2.74,58.33,48.33,0.56,0.03,0.59,0.51
RBF105,73.33,78.89,76.11,3.54,83.33,71.67,0.82,0.03,0.88,0.78
RBF106,57.41,57.78,57.59,2.52,60.0,51.67,0.59,0.03,0.62,0.53
LINEAR1,99.26,57.04,78.15,1.94,81.67,76.67,0.98,0.01,0.98,0.97
LINEAR2,99.26,92.96,96.11,0.83,96.67,95.0,1.0,0.0,1.0,1.0
LINEAR3,83.33,84.44,83.89,1.18,85.0,81.67,0.86,0.01,0.88,0.85
LINEAR4,99.26,94.81,97.04,1.39,98.33,95.0,1.0,0.0,1.0,1.0
LINEAR5,83.33,93.7,88.52,0.56,90.0,88.33,0.92,0.01,0.94,0.9
LINEAR6,100.0,56.67,78.33,2.76,80.0,71.67,0.92,0.01,0.94,0.91
LINEAR7,99.26,89.63,94.44,1.18,96.67,93.33,0.99,0.0,1.0,0.99
LINEAR8,83.33,100.0,91.67,0.0,91.67,91.67,0.96,0.01,0.97,0.94
LINEAR9,100.0,77.78,88.89,2.36,91.67,83.33,0.99,0.0,0.99,0.99
LINEAR10,99.63,97.41,98.52,2.82,100.0,91.67,1.0,0.0,1.0,0.99
LINEAR11,86.3,85.93,86.11,1.67,88.33,83.33,0.95,0.0,0.95,0.95
LINEAR12,99.26,93.33,96.3,0.73,96.67,95.0,1.0,0.0,1.0,1.0
LINEAR13,83.33,96.67,90.0,0.0,90.0,90.0,0.94,0.01,0.96,0.93
LINEAR14,100.0,100.0,100.0,0.0,100.0,100.0,1.0,0.0,1.0,1.0
LINEAR15,99.63,100.0,99.81,0.56,100.0,98.33,1.0,0.0,1.0,1.0
LINEAR16,86.3,100.0,93.15,2.27,98.33,91.67,1.0,0.0,1.0,1.0
