Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score,Average AUC,AUC STD,Max AUC,Min AUC
RBF1,93.7,82.22,87.96,1.11,90.0,86.67,0.95,0.01,0.96,0.94
RBF2,93.7,86.3,90.0,1.86,93.33,88.33,0.96,0.01,0.97,0.95
RBF3,93.7,55.56,74.63,1.39,76.67,71.67,0.86,0.01,0.87,0.84
RBF4,93.7,96.3,95.0,0.83,96.67,93.33,0.98,0.01,0.99,0.97
RBF5,93.7,91.48,92.59,1.21,93.33,90.0,0.92,0.01,0.93,0.91
RBF6,95.19,69.63,82.41,3.55,86.67,75.0,0.95,0.01,0.97,0.93
RBF7,93.7,96.67,95.19,0.56,96.67,95.0,0.99,0.0,0.99,0.98
RBF8,93.7,96.3,95.0,0.83,96.67,93.33,0.96,0.01,0.98,0.96
RBF9,95.19,91.48,93.33,3.12,98.33,88.33,0.99,0.01,1.0,0.98
RBF10,94.44,97.41,95.93,3.34,100.0,90.0,0.99,0.01,1.0,0.98
RBF11,81.85,94.81,88.33,2.04,90.0,85.0,0.96,0.01,0.97,0.94
RBF12,93.7,99.63,96.67,0.83,98.33,95.0,0.99,0.0,0.99,0.98
RBF13,93.7,100.0,96.85,0.56,98.33,96.67,0.98,0.01,1.0,0.97
RBF14,95.19,100.0,97.59,2.06,100.0,93.33,1.0,0.0,1.0,1.0
RBF15,94.44,100.0,97.22,2.04,100.0,93.33,1.0,0.0,1.0,1.0
RBF16,81.85,95.56,88.7,2.17,93.33,86.67,0.98,0.01,1.0,0.95
RBF17,80.74,90.0,85.37,2.47,90.0,81.67,0.94,0.01,0.95,0.93
RBF18,93.7,95.93,94.81,1.0,96.67,93.33,0.99,0.0,0.99,0.98
RBF19,93.7,98.52,96.11,0.83,96.67,95.0,0.98,0.01,1.0,0.98
RBF20,95.19,100.0,97.59,2.06,100.0,93.33,1.0,0.0,1.0,1.0
RBF21,94.44,100.0,97.22,2.04,100.0,93.33,1.0,0.0,1.0,1.0
RBF22,81.85,99.63,90.74,1.47,93.33,88.33,0.99,0.01,1.0,0.96
RBF23,80.74,97.78,89.26,2.9,96.67,86.67,0.98,0.01,1.0,0.97
RBF24,93.7,100.0,96.85,0.56,98.33,96.67,0.99,0.0,1.0,0.98
RBF25,93.7,98.52,96.11,0.83,96.67,95.0,0.98,0.01,1.0,0.98
RBF26,95.19,100.0,97.59,2.06,100.0,93.33,1.0,0.0,1.0,1.0
RBF27,94.44,100.0,97.22,2.04,100.0,93.33,1.0,0.0,1.0,1.0
RBF28,81.85,100.0,90.93,1.21,93.33,90.0,1.0,0.01,1.0,0.97
RBF29,80.74,100.0,90.37,2.61,96.67,88.33,1.0,0.0,1.0,0.99
RBF30,80.74,99.63,90.19,1.76,93.33,88.33,0.97,0.01,0.98,0.95
RBF31,93.7,100.0,96.85,0.56,98.33,96.67,0.99,0.0,1.0,0.98
RBF32,93.7,97.41,95.56,1.67,98.33,93.33,0.98,0.01,1.0,0.97
RBF33,95.19,100.0,97.59,2.06,100.0,93.33,1.0,0.0,1.0,1.0
RBF34,94.44,100.0,97.22,2.04,100.0,93.33,1.0,0.0,1.0,1.0
RBF35,81.85,100.0,90.93,1.21,93.33,90.0,1.0,0.01,1.0,0.97
RBF36,80.74,100.0,90.37,2.61,96.67,88.33,1.0,0.0,1.0,1.0
RBF37,80.74,100.0,90.37,1.62,93.33,88.33,0.99,0.01,1.0,0.98
RBF38,70.74,96.67,83.7,1.11,85.0,81.67,0.92,0.01,0.94,0.91
RBF39,93.7,100.0,96.85,0.56,98.33,96.67,0.99,0.0,1.0,0.99
RBF40,93.7,98.89,96.3,0.73,96.67,95.0,0.99,0.01,1.0,0.98
RBF41,95.19,100.0,97.59,2.06,100.0,93.33,1.0,0.0,1.0,1.0
RBF42,94.44,99.63,97.04,2.0,100.0,93.33,1.0,0.0,1.0,1.0
RBF43,81.85,100.0,90.93,1.21,93.33,90.0,1.0,0.01,1.0,0.97
RBF44,80.74,100.0,90.37,2.61,96.67,88.33,1.0,0.0,1.0,1.0
RBF45,80.74,100.0,90.37,1.62,93.33,88.33,1.0,0.0,1.0,0.99
RBF46,70.74,100.0,85.37,1.11,86.67,83.33,0.99,0.0,1.0,0.98
RBF47,65.93,97.41,81.67,2.76,86.67,78.33,0.97,0.01,0.98,0.95
RBF48,93.7,100.0,96.85,0.56,98.33,96.67,0.99,0.0,1.0,0.99
RBF49,93.7,100.0,96.85,0.56,98.33,96.67,0.99,0.0,1.0,0.99
RBF50,95.19,100.0,97.59,2.06,100.0,93.33,1.0,0.0,1.0,1.0
RBF51,94.44,100.0,97.22,2.04,100.0,93.33,1.0,0.0,1.0,1.0
RBF52,81.85,100.0,90.93,1.21,93.33,90.0,1.0,0.0,1.0,0.99
RBF53,80.74,100.0,90.37,2.61,96.67,88.33,1.0,0.0,1.0,1.0
RBF54,80.74,100.0,90.37,1.62,93.33,88.33,1.0,0.0,1.0,1.0
RBF55,70.74,100.0,85.37,1.11,86.67,83.33,1.0,0.0,1.0,0.99
RBF56,65.93,100.0,82.96,2.61,88.33,80.0,1.0,0.0,1.0,1.0
RBF57,63.7,94.44,79.07,2.06,81.67,76.67,0.95,0.01,0.96,0.93
RBF58,93.7,92.96,93.33,0.83,95.0,91.67,0.95,0.01,0.96,0.94
RBF59,93.7,91.48,92.59,2.06,95.0,88.33,0.93,0.01,0.95,0.91
RBF60,95.19,87.78,91.48,3.38,96.67,85.0,0.98,0.02,0.99,0.93
RBF61,94.44,90.74,92.59,5.6,96.67,78.33,0.99,0.01,1.0,0.96
RBF62,81.85,93.7,87.78,1.18,90.0,86.67,0.97,0.01,0.98,0.94
RBF63,80.74,83.7,82.22,1.86,85.0,80.0,0.92,0.01,0.94,0.91
RBF64,80.74,89.26,85.0,2.36,88.33,81.67,0.93,0.01,0.95,0.91
RBF65,70.74,95.93,83.33,1.86,85.0,80.0,0.92,0.01,0.94,0.9
RBF66,65.93,88.89,77.41,3.13,83.33,73.33,0.88,0.01,0.9,0.86
RBF67,63.7,95.56,79.63,2.32,83.33,76.67,0.93,0.01,0.95,0.92
RBF68,95.19,34.07,64.63,2.74,68.33,60.0,0.75,0.02,0.77,0.73
RBF69,94.44,31.11,62.78,3.82,68.33,55.0,0.73,0.02,0.76,0.69
RBF70,81.85,29.26,55.56,0.83,56.67,55.0,0.64,0.01,0.66,0.63
RBF71,80.74,37.78,59.26,1.21,61.67,58.33,0.64,0.02,0.66,0.62
RBF72,80.74,34.07,57.41,2.52,60.0,53.33,0.64,0.01,0.66,0.63
RBF73,70.74,25.93,48.33,1.86,51.67,46.67,0.52,0.01,0.53,0.51
RBF74,65.93,35.19,50.56,2.5,55.0,48.33,0.52,0.01,0.54,0.5
RBF75,63.7,35.93,49.81,1.94,51.67,46.67,0.53,0.01,0.55,0.52
RBF76,95.19,91.85,93.52,2.42,96.67,90.0,0.99,0.0,1.0,0.98
RBF77,94.44,64.81,79.63,4.77,85.0,68.33,0.9,0.03,0.93,0.84
RBF78,81.85,70.0,75.93,2.37,78.33,71.67,0.83,0.01,0.85,0.81
RBF79,80.74,70.74,75.74,1.88,78.33,73.33,0.82,0.02,0.84,0.79
RBF80,80.74,40.0,60.37,2.0,63.33,56.67,0.68,0.01,0.7,0.67
RBF81,70.74,39.63,55.19,1.3,56.67,53.33,0.6,0.01,0.62,0.59
RBF82,65.93,32.96,49.44,2.64,55.0,46.67,0.55,0.02,0.59,0.52
RBF83,63.7,41.48,52.59,4.01,56.67,43.33,0.5,0.02,0.52,0.46
RBF84,81.85,60.0,70.93,3.13,75.0,65.0,0.82,0.02,0.85,0.8
RBF85,80.74,85.19,82.96,2.0,85.0,78.33,0.91,0.01,0.93,0.9
RBF86,80.74,66.67,73.7,2.47,78.33,70.0,0.82,0.01,0.83,0.8
RBF87,70.74,52.22,61.48,1.0,63.33,60.0,0.63,0.01,0.65,0.61
RBF88,65.93,41.11,53.52,3.86,58.33,46.67,0.54,0.02,0.56,0.5
RBF89,63.7,38.15,50.93,2.52,55.0,46.67,0.55,0.01,0.57,0.54
RBF90,80.74,85.56,83.15,1.0,85.0,81.67,0.9,0.01,0.91,0.88
RBF91,80.74,74.81,77.78,2.64,81.67,75.0,0.83,0.01,0.84,0.82
RBF92,70.74,44.07,57.41,2.06,60.0,53.33,0.68,0.01,0.68,0.66
RBF93,65.93,54.81,60.37,2.61,65.0,58.33,0.66,0.01,0.67,0.65
RBF94,63.7,37.04,50.37,1.82,53.33,48.33,0.56,0.01,0.58,0.54
RBF95,80.74,84.81,82.78,1.67,85.0,80.0,0.9,0.01,0.92,0.88
RBF96,70.74,64.44,67.59,0.88,68.33,66.67,0.74,0.01,0.75,0.72
RBF97,65.93,67.41,66.67,3.12,71.67,61.67,0.75,0.02,0.77,0.72
RBF98,63.7,52.96,58.33,3.73,65.0,51.67,0.63,0.02,0.66,0.58
RBF99,70.74,70.74,70.74,1.47,73.33,68.33,0.78,0.01,0.79,0.77
RBF100,65.93,70.37,68.15,4.12,76.67,63.33,0.74,0.02,0.76,0.71
RBF101,63.7,63.7,63.7,2.86,68.33,58.33,0.67,0.01,0.69,0.64
RBF102,70.74,55.56,63.15,1.3,65.0,61.67,0.73,0.01,0.74,0.71
RBF103,65.93,68.15,67.04,3.2,71.67,61.67,0.74,0.01,0.75,0.72
RBF104,63.7,54.44,59.07,2.65,61.67,53.33,0.63,0.01,0.65,0.62
RBF105,65.93,75.93,70.93,2.52,75.0,66.67,0.8,0.01,0.82,0.78
RBF106,63.7,67.04,65.37,2.0,68.33,61.67,0.71,0.01,0.72,0.69
LINEAR1,100.0,72.96,86.48,2.82,91.67,83.33,0.99,0.0,0.99,0.99
LINEAR2,100.0,96.67,98.33,0.0,98.33,98.33,0.98,0.0,0.98,0.97
LINEAR3,79.26,90.0,84.63,0.73,85.0,83.33,0.88,0.0,0.88,0.87
LINEAR4,100.0,90.0,95.0,0.0,95.0,95.0,1.0,0.0,1.0,0.99
LINEAR5,79.26,90.0,84.63,0.73,85.0,83.33,0.91,0.01,0.92,0.9
LINEAR6,93.33,72.59,82.96,0.73,83.33,81.67,0.93,0.01,0.94,0.93
