Model,Average Test Score Mean,Average Test Score Std,Average AUC,Model,Average Test Score Mean,Average Test Score Std,Average AUC,Model,Average Test Score Mean,Average Test Score Std,Average AUC
QP10_QP5,80.39,4.7,0.917,QP10_QP5,50.0,2.35,0.674,QP10_QP5,59.67,3.83,0.517
QP15_QP5,88.57,3.63,0.9629999999999999,QP15_QP5,87.91,4.23,0.933,QP15_QP5,86.67,4.01,0.877
QP15_QP10,72.67,4.66,0.819,QP15_QP10,50.5,1.27,0.74,QP15_QP10,51.67,1.36,0.42800000000000005
QP20_QP5,88.8,3.08,0.954,QP20_QP5,88.02,3.15,0.9560000000000001,QP20_QP5,87.5,3.07,0.922
QP20_QP10,76.5,4.44,0.8459999999999999,QP20_QP10,56.98,2.83,0.909,QP20_QP10,80.33,4.29,0.8390000000000001
QP20_QP16,75.5,4.83,0.835,QP20_QP16,52.7,1.96,0.792,QP20_QP16,52.67,1.61,0.41
QP25_QP5,95.15,2.42,0.985,QP25_QP5,93.15,2.19,0.99,QP25_QP5,94.83,2.42,0.978
QP25_QP10,88.0,2.86,0.917,QP25_QP10,82.44,3.83,0.9570000000000001,QP25_QP10,93.0,2.46,0.959
QP25_QP16,82.93,4.46,0.8949999999999999,QP25_QP16,63.33,3.62,0.9349999999999999,QP25_QP16,78.0,3.12,0.8
QP25_QP20,81.37,5.69,0.8949999999999999,QP25_QP20,59.56,4.21,0.882,QP25_QP20,72.5,4.6,0.709
QP25_QP24,83.2,3.25,0.892,QP25_QP24,54.48,3.22,0.7849999999999999,QP25_QP24,58.33,2.6,0.5509999999999999
QP30_QP5,97.8,1.49,0.9949999999999999,QP30_QP5,93.44,2.59,0.9970000000000001,QP30_QP5,99.5,0.81,1.0
QP30_QP10,96.59,2.4,0.9890000000000001,QP30_QP10,98.07,1.71,0.994,QP30_QP10,99.67,0.7,0.998
QP30_QP16,94.13,2.81,0.983,QP30_QP16,99.26,0.95,1.0,QP30_QP16,99.17,1.18,0.99
QP30_QP20,87.76,3.62,0.9800000000000001,QP30_QP20,98.11,1.31,0.999,QP30_QP20,99.0,1.17,0.991
QP30_QP24,90.13,4.16,0.9810000000000001,QP30_QP24,96.06,1.96,0.993,QP30_QP24,99.33,0.86,0.994
QP30_QP27,86.74,4.91,0.961,QP30_QP27,81.72,5.77,0.962,QP30_QP27,87.67,4.32,0.913
QP32_QP5,98.07,1.42,0.998,QP32_QP5,93.24,2.73,0.9949999999999999,QP32_QP5,100.0,0.0,1.0
QP32_QP10,96.43,2.48,0.9869999999999999,QP32_QP10,97.13,1.9,0.99,QP32_QP10,99.67,0.7,0.999
QP32_QP16,94.59,2.95,0.99,QP32_QP16,99.28,0.94,1.0,QP32_QP16,99.33,0.86,0.9949999999999999
QP32_QP20,88.39,3.87,0.993,QP32_QP20,98.11,1.31,1.0,QP32_QP20,99.33,0.86,0.9970000000000001
QP32_QP24,90.18,3.88,0.983,QP32_QP24,96.22,1.84,0.998,QP32_QP24,99.67,0.7,0.9970000000000001
QP32_QP27,88.78,4.32,0.992,QP32_QP27,84.24,5.8,0.993,QP32_QP27,98.5,1.83,0.992
QP35_QP5,97.98,1.4,0.9970000000000001,QP35_QP5,93.28,2.49,0.9970000000000001,QP35_QP5,100.0,0.0,1.0
QP35_QP10,97.04,2.11,0.992,QP35_QP10,98.17,1.8,0.998,QP35_QP10,100.0,0.0,1.0
QP35_QP16,94.72,2.71,0.993,QP35_QP16,99.2,0.96,1.0,QP35_QP16,99.83,0.53,0.999
QP35_QP20,88.44,3.96,0.9970000000000001,QP35_QP20,97.81,1.19,0.9949999999999999,QP35_QP20,99.83,0.53,1.0
QP35_QP24,90.85,3.48,0.993,QP35_QP24,96.28,1.56,0.999,QP35_QP24,99.83,0.53,0.998
QP35_QP27,88.95,4.37,0.9960000000000001,QP35_QP27,84.28,5.51,0.9949999999999999,QP35_QP27,100.0,0.0,1.0
QP35_QP32,84.22,4.22,0.96,QP35_QP32,63.8,5.39,0.9570000000000001,QP35_QP32,93.0,2.46,0.9470000000000001
QP40_QP5,98.22,1.42,0.999,QP40_QP5,93.56,2.58,1.0,QP40_QP5,100.0,0.0,1.0
QP40_QP10,97.09,2.13,0.9960000000000001,QP40_QP10,98.42,1.76,0.9949999999999999,QP40_QP10,100.0,0.0,1.0
QP40_QP16,94.72,2.71,0.9949999999999999,QP40_QP16,99.28,0.94,1.0,QP40_QP16,100.0,0.0,1.0
QP40_QP20,88.48,3.97,0.998,QP40_QP20,98.09,1.31,1.0,QP40_QP20,100.0,0.0,1.0
QP40_QP24,91.11,3.46,1.0,QP40_QP24,96.09,1.86,0.9960000000000001,QP40_QP24,99.83,0.53,1.0
QP40_QP27,89.15,4.28,0.999,QP40_QP27,84.28,5.51,0.994,QP40_QP27,100.0,0.0,1.0
QP40_QP32,86.22,3.84,1.0,QP40_QP32,65.43,5.77,1.0,QP40_QP32,100.0,0.0,1.0
QP40_QP39,85.43,5.05,0.945,QP40_QP39,71.95,5.67,0.9259999999999999,QP40_QP39,75.17,3.38,0.8019999999999999
QP45_QP5,98.04,1.4,0.999,QP45_QP5,93.17,2.74,0.994,QP45_QP5,100.0,0.0,1.0
QP45_QP10,97.02,2.17,0.9960000000000001,QP45_QP10,98.24,1.38,0.993,QP45_QP10,100.0,0.0,1.0
