Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score,Average AUC,AUC STD,Max AUC,Min AUC
RBF1,91.48,57.41,74.44,10.87,86.67,60.0,0.9,0.05,0.96,0.82
RBF2,91.48,88.52,90.0,1.86,91.67,86.67,0.96,0.03,0.98,0.92
RBF3,96.67,42.22,69.44,3.33,73.33,65.0,0.81,0.03,0.84,0.77
RBF4,91.48,84.81,88.15,3.86,91.67,83.33,0.96,0.02,0.98,0.93
RBF5,96.67,67.41,82.04,2.98,86.67,78.33,0.82,0.03,0.86,0.79
RBF6,91.11,59.26,75.19,3.17,78.33,68.33,0.86,0.02,0.89,0.84
RBF7,91.48,92.22,91.85,1.3,93.33,90.0,0.98,0.0,0.99,0.98
RBF8,96.67,78.15,87.41,3.45,95.0,83.33,0.95,0.02,0.98,0.93
RBF9,91.11,68.89,80.0,3.44,83.33,75.0,0.87,0.03,0.9,0.82
RBF10,64.44,74.81,69.63,2.32,73.33,66.67,0.78,0.04,0.82,0.71
RBF11,75.56,82.22,78.89,2.76,81.67,73.33,0.88,0.02,0.91,0.84
RBF12,91.48,99.63,95.56,0.83,96.67,95.0,1.0,0.0,1.0,1.0
RBF13,96.67,99.26,97.96,0.73,98.33,96.67,0.99,0.01,0.99,0.97
RBF14,91.11,97.78,94.44,2.04,96.67,91.67,0.99,0.01,1.0,0.98
RBF15,64.44,98.89,81.67,2.36,86.67,78.33,0.98,0.01,1.0,0.96
RBF16,75.56,97.41,86.48,3.17,93.33,83.33,0.98,0.01,1.0,0.96
RBF17,90.0,96.3,93.15,1.3,95.0,91.67,0.97,0.01,0.99,0.96
RBF18,91.48,99.63,95.56,1.18,96.67,93.33,1.0,0.0,1.0,1.0
RBF19,96.67,99.63,98.15,0.56,98.33,96.67,0.99,0.01,1.0,0.97
RBF20,91.11,100.0,95.56,1.18,96.67,93.33,1.0,0.0,1.0,1.0
RBF21,64.44,100.0,82.22,2.04,86.67,80.0,0.99,0.01,1.0,0.98
RBF22,75.56,98.89,87.22,3.33,95.0,83.33,0.99,0.01,1.0,0.96
RBF23,90.0,100.0,95.0,1.18,96.67,93.33,1.0,0.0,1.0,1.0
RBF24,91.48,100.0,95.74,0.88,96.67,95.0,1.0,0.0,1.0,1.0
RBF25,96.67,100.0,98.33,0.0,98.33,98.33,0.99,0.01,1.0,0.97
RBF26,91.11,100.0,95.56,1.18,96.67,93.33,1.0,0.0,1.0,1.0
RBF27,64.44,100.0,82.22,2.04,86.67,80.0,1.0,0.0,1.0,0.99
RBF28,75.56,100.0,87.78,3.33,95.0,83.33,1.0,0.0,1.0,1.0
RBF29,90.0,100.0,95.0,1.18,96.67,93.33,1.0,0.0,1.0,1.0
