Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score,Average AUC,AUC STD,Max AUC,Min AUC
RBF1,97.41,70.74,84.07,5.41,86.67,70.0,0.95,0.03,0.97,0.89
RBF2,97.41,76.3,86.85,4.12,90.0,76.67,0.98,0.02,1.0,0.94
RBF3,98.89,47.04,72.96,0.73,73.33,71.67,0.86,0.03,0.88,0.79
RBF4,97.41,68.15,82.78,4.86,90.0,75.0,0.94,0.01,0.95,0.92
RBF5,98.89,50.74,74.81,2.82,78.33,70.0,0.87,0.02,0.89,0.82
RBF6,87.04,60.74,73.89,4.64,78.33,63.33,0.83,0.02,0.85,0.79
RBF7,97.41,86.3,91.85,1.0,93.33,90.0,0.98,0.01,0.99,0.97
RBF8,98.89,76.3,87.59,3.34,91.67,80.0,0.93,0.02,0.95,0.88
RBF9,87.04,77.04,82.04,1.39,85.0,80.0,0.88,0.03,0.91,0.82
RBF10,86.3,94.07,90.19,2.69,93.33,85.0,0.96,0.01,0.97,0.94
RBF11,78.52,92.59,85.56,1.18,86.67,83.33,0.92,0.01,0.93,0.9
RBF12,97.41,100.0,98.7,0.73,100.0,98.33,1.0,0.0,1.0,1.0
RBF13,98.89,100.0,99.44,0.83,100.0,98.33,1.0,0.0,1.0,1.0
RBF14,87.04,98.52,92.78,1.86,95.0,90.0,0.97,0.02,1.0,0.95
RBF15,86.3,96.3,91.3,2.17,95.0,88.33,0.98,0.02,1.0,0.95
RBF16,78.52,96.67,87.59,1.47,90.0,85.0,0.98,0.01,0.99,0.96
RBF17,69.26,89.26,79.26,2.9,83.33,75.0,0.92,0.01,0.94,0.89
RBF18,97.41,100.0,98.7,0.73,100.0,98.33,1.0,0.0,1.0,1.0
RBF19,98.89,100.0,99.44,0.83,100.0,98.33,1.0,0.0,1.0,1.0
RBF20,87.04,100.0,93.52,1.3,95.0,91.67,0.98,0.02,1.0,0.96
RBF21,86.3,99.63,92.96,1.62,95.0,90.0,1.0,0.0,1.0,0.99
RBF22,78.52,99.63,89.07,0.88,90.0,88.33,1.0,0.0,1.0,0.99
RBF23,69.26,100.0,84.63,2.86,88.33,81.67,1.0,0.0,1.0,1.0
RBF24,97.41,99.63,98.52,1.0,100.0,96.67,1.0,0.0,1.0,1.0
RBF25,98.89,99.26,99.07,1.21,100.0,96.67,1.0,0.0,1.0,1.0
RBF26,87.04,100.0,93.52,1.3,95.0,91.67,0.98,0.02,1.0,0.97
RBF27,86.3,100.0,93.15,1.76,95.0,90.0,1.0,0.0,1.0,1.0
RBF28,78.52,100.0,89.26,0.88,90.0,88.33,1.0,0.0,1.0,1.0
RBF29,69.26,100.0,84.63,2.86,88.33,81.67,1.0,0.0,1.0,1.0
RBF30,67.78,92.59,80.19,1.0,81.67,78.33,0.93,0.01,0.95,0.91
RBF31,97.41,100.0,98.7,0.73,100.0,98.33,1.0,0.0,1.0,1.0
RBF32,98.89,100.0,99.44,0.83,100.0,98.33,1.0,0.0,1.0,1.0
RBF33,87.04,100.0,93.52,1.3,95.0,91.67,0.98,0.02,1.0,0.97
RBF34,86.3,100.0,93.15,1.76,95.0,90.0,1.0,0.0,1.0,1.0
RBF35,78.52,100.0,89.26,0.88,90.0,88.33,1.0,0.0,1.0,1.0
RBF36,69.26,100.0,84.63,2.86,88.33,81.67,1.0,0.0,1.0,1.0
