Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score
RBF1,97.41,67.78,82.59,2.37,86.67,78.33
RBF2,97.78,93.33,95.56,1.67,96.67,91.67
RBF3,44.44,85.56,65.0,2.64,68.33,60.0
RBF4,96.3,95.93,96.11,2.04,98.33,91.67
RBF5,72.59,89.63,81.11,5.14,86.67,73.33
RBF6,54.81,91.48,73.15,3.27,78.33,68.33
RBF7,90.74,98.15,94.44,1.44,96.67,91.67
RBF8,51.85,98.89,75.37,3.31,81.67,71.67
RBF9,58.15,96.3,77.22,4.33,83.33,70.0
RBF10,42.59,99.63,71.11,5.59,78.33,63.33
RBF11,60.74,95.93,78.33,2.89,83.33,75.0
RBF12,93.33,97.41,95.37,1.11,96.67,93.33
RBF13,67.04,99.63,83.33,2.5,88.33,80.0
RBF14,44.44,98.15,71.3,3.8,78.33,65.0
RBF15,46.3,100.0,73.15,4.03,78.33,66.67
RBF16,56.67,97.04,76.85,2.94,80.0,70.0
RBF17,56.67,97.78,77.22,2.76,80.0,71.67
RBF18,94.81,100.0,97.41,2.06,100.0,93.33
RBF19,73.33,99.63,86.48,2.69,90.0,83.33
RBF20,55.19,99.26,77.22,4.56,83.33,71.67
RBF21,50.37,100.0,75.19,3.48,78.33,70.0
RBF22,69.26,99.26,84.26,2.52,88.33,80.0
RBF23,58.89,97.41,78.15,2.56,81.67,73.33
RBF24,96.67,100.0,98.33,1.86,100.0,95.0
RBF25,68.15,100.0,84.07,2.52,88.33,80.0
RBF26,48.15,98.52,73.33,4.33,80.0,65.0
RBF27,51.85,100.0,75.93,4.34,80.0,68.33
RBF28,52.22,97.04,74.63,2.98,78.33,68.33
RBF29,64.07,99.63,81.85,3.58,88.33,76.67
RBF30,55.56,98.89,77.22,5.27,83.33,68.33
RBF31,93.7,100.0,96.85,2.27,100.0,93.33
RBF32,63.33,100.0,81.67,3.23,86.67,78.33
RBF33,56.67,100.0,78.33,4.25,85.0,73.33
RBF34,56.67,100.0,78.33,3.73,81.67,71.67
RBF35,81.85,95.56,88.7,2.74,93.33,85.0
RBF36,75.56,99.26,87.41,3.64,91.67,80.0
RBF37,75.19,98.15,86.67,6.67,91.67,73.33
RBF38,70.37,85.93,78.15,3.77,81.67,70.0
RBF39,91.85,100.0,95.93,1.88,98.33,93.33
RBF40,68.15,100.0,84.07,2.06,86.67,81.67
RBF41,50.0,99.26,74.63,4.84,81.67,68.33
RBF42,61.85,99.63,80.74,3.34,85.0,75.0
RBF43,77.78,100.0,88.89,2.5,91.67,85.0
RBF44,70.74,100.0,85.37,3.98,90.0,76.67
RBF45,77.78,100.0,88.89,4.56,93.33,81.67
RBF46,75.19,94.07,84.63,6.5,90.0,73.33
RBF47,71.48,88.52,80.0,4.33,83.33,73.33
RBF48,84.81,100.0,92.41,5.14,96.67,81.67
RBF49,56.3,100.0,78.15,3.77,83.33,73.33
RBF50,20.37,100.0,60.19,2.94,66.67,56.67
RBF51,53.33,100.0,76.67,4.33,81.67,70.0
RBF52,76.67,99.63,88.15,2.56,91.67,83.33
RBF53,50.74,100.0,75.37,1.82,78.33,71.67
RBF54,74.81,98.52,86.67,6.18,93.33,76.67
RBF55,62.96,99.26,81.11,7.07,86.67,68.33
RBF56,64.81,98.15,81.48,4.75,88.33,73.33
RBF57,47.41,95.93,71.67,6.01,76.67,61.67
RBF58,83.7,97.41,90.56,2.04,93.33,88.33
RBF59,39.63,98.15,68.89,1.44,71.67,66.67
RBF60,46.67,99.26,72.96,3.31,80.0,68.33
RBF61,59.63,99.63,79.63,3.31,81.67,71.67
RBF62,54.07,98.52,76.3,2.32,80.0,71.67
RBF63,55.19,94.44,74.81,2.82,78.33,70.0
RBF64,63.33,87.78,75.56,3.73,81.67,70.0
RBF65,67.78,94.81,81.3,4.47,86.67,73.33
RBF66,68.89,84.07,76.48,3.58,80.0,70.0
RBF67,62.59,92.22,77.41,4.42,81.67,70.0
RBF68,42.59,78.52,60.56,1.44,63.33,58.33
RBF69,39.63,71.11,55.37,3.61,60.0,48.33
RBF70,52.22,56.67,54.44,1.44,56.67,51.67
RBF71,34.07,70.74,52.41,3.13,58.33,50.0
RBF72,41.11,68.15,54.63,5.05,60.0,45.0
RBF73,35.19,78.89,57.04,2.61,61.67,53.33
RBF74,47.78,57.04,52.41,3.02,55.0,46.67
RBF75,54.44,49.26,51.85,2.69,56.67,46.67
RBF76,45.93,85.56,65.74,4.42,73.33,60.0
RBF77,33.33,77.78,55.56,2.5,60.0,51.67
RBF78,56.3,70.37,63.33,3.54,68.33,58.33
RBF79,50.74,66.3,58.52,2.69,63.33,55.0
RBF80,37.41,74.07,55.74,3.64,61.67,50.0
RBF81,48.89,72.96,60.93,2.22,65.0,58.33
RBF82,62.59,49.63,56.11,2.04,58.33,53.33
RBF83,49.26,53.33,51.3,2.17,53.33,46.67
RBF84,68.52,56.67,62.59,2.78,66.67,60.0
RBF85,42.22,84.07,63.15,1.94,65.0,60.0
RBF86,39.63,71.48,55.56,2.04,58.33,51.67
RBF87,57.78,54.81,56.3,3.71,63.33,51.67
RBF88,52.59,49.63,51.11,3.12,55.0,46.67
RBF89,57.04,58.89,57.96,1.82,61.67,55.0
RBF90,54.07,73.7,63.89,2.04,66.67,61.67
RBF91,54.81,62.96,58.89,2.36,61.67,55.0
RBF92,59.26,66.3,62.78,3.23,68.33,58.33
RBF93,61.48,50.74,56.11,4.08,63.33,51.67
RBF94,39.26,73.7,56.48,2.42,60.0,51.67
RBF95,63.7,78.89,71.3,2.17,73.33,66.67
RBF96,58.89,70.74,64.81,1.76,66.67,61.67
RBF97,47.04,70.74,58.89,4.41,65.0,50.0
RBF98,44.81,80.0,62.41,3.34,66.67,56.67
RBF99,57.04,70.74,63.89,3.54,71.67,60.0
RBF100,69.26,38.89,54.07,5.47,65.0,48.33
RBF101,52.22,57.41,54.81,2.27,60.0,51.67
RBF102,61.11,78.15,69.63,2.32,71.67,66.67
RBF103,62.96,57.41,60.19,1.55,63.33,58.33
RBF104,59.26,60.74,60.0,3.33,63.33,53.33
RBF105,65.19,81.48,73.33,3.23,78.33,68.33
RBF106,52.59,81.11,66.85,1.3,68.33,65.0
LINEAR1,100.0,75.93,87.96,2.86,91.67,81.67
LINEAR2,100.0,92.96,96.48,1.3,98.33,95.0
LINEAR3,65.19,89.26,77.22,2.04,80.0,75.0
LINEAR4,100.0,95.56,97.78,0.83,98.33,96.67
LINEAR5,85.93,82.96,84.44,1.18,85.0,81.67
LINEAR6,70.0,93.33,81.67,3.33,86.67,76.67
LINEAR7,88.52,99.63,94.07,3.83,100.0,86.67
LINEAR8,64.07,96.3,80.19,3.27,86.67,78.33
LINEAR9,78.52,86.3,82.41,2.9,86.67,78.33
LINEAR10,31.48,99.63,65.56,7.95,83.33,58.33
LINEAR11,68.52,92.22,80.37,4.15,86.67,76.67
LINEAR12,100.0,92.22,96.11,1.86,98.33,93.33
LINEAR13,78.52,96.67,87.59,3.74,95.0,83.33
LINEAR14,47.04,100.0,73.52,8.91,91.67,66.67
LINEAR15,52.22,100.0,76.11,7.64,91.67,68.33
LINEAR16,69.63,95.93,82.78,4.33,90.0,78.33
LINEAR17,55.19,98.89,77.04,5.58,88.33,71.67
LINEAR18,99.63,95.19,97.41,1.69,100.0,95.0
LINEAR19,90.74,95.56,93.15,1.76,95.0,90.0
LINEAR20,64.81,100.0,82.41,6.93,95.0,73.33
LINEAR21,57.04,99.63,78.33,7.64,91.67,70.0
LINEAR22,75.56,100.0,87.78,4.79,96.67,83.33
LINEAR23,59.26,96.3,77.78,5.14,86.67,71.67
LINEAR24,100.0,87.04,93.52,0.56,95.0,93.33
LINEAR25,76.3,99.63,87.96,2.47,90.0,83.33
LINEAR26,60.37,99.63,80.0,7.26,95.0,73.33
LINEAR27,54.81,100.0,77.41,7.78,93.33,70.0
LINEAR28,60.37,96.67,78.52,7.19,90.0,70.0
LINEAR29,72.96,100.0,86.48,5.98,96.67,78.33
LINEAR30,48.15,100.0,74.07,6.24,88.33,66.67
LINEAR31,100.0,96.67,98.33,0.83,100.0,96.67
LINEAR32,67.04,96.3,81.67,2.2,83.33,76.67
LINEAR33,64.81,96.67,80.74,6.67,93.33,73.33
