Model,Average Test Score Mean,Average Test Score Std,Model,Average Test Score Mean,Average Test Score Std,Model,Average Test Score Mean,Average Test Score Std
QP10_QP5,74.52,6.57,QP10_QP5,79.87,11.21,QP10_QP5,57.5,3.95
QP15_QP5,90.67,4.58,QP15_QP5,89.87,7.06,QP15_QP5,85.0,4.01
QP15_QP10,66.24,5.67,QP15_QP10,68.3,8.09,QP15_QP10,51.17,1.13
QP20_QP5,92.82,4.56,QP20_QP5,91.09,9.04,QP20_QP5,84.67,3.22
QP20_QP10,80.13,6.92,QP20_QP10,80.94,9.89,QP20_QP10,78.17,4.81
QP20_QP16,78.76,3.74,QP20_QP16,72.91,10.01,QP20_QP16,53.0,2.33
QP25_QP5,93.9,2.83,QP25_QP5,91.35,5.21,QP25_QP5,94.17,2.11
QP25_QP10,80.89,7.03,QP25_QP10,82.33,10.61,QP25_QP10,93.5,3.8
QP25_QP16,81.76,5.96,QP25_QP16,74.67,7.69,QP25_QP16,76.5,5.18
QP25_QP20,76.57,5.77,QP25_QP20,74.0,9.93,QP25_QP20,70.17,4.61
QP25_QP24,73.55,6.25,QP25_QP24,73.18,11.15,QP25_QP24,59.0,2.25
QP30_QP5,96.0,1.95,QP30_QP5,88.39,7.63,QP30_QP5,99.67,0.7
QP30_QP10,87.11,7.88,QP30_QP10,89.87,8.07,QP30_QP10,100.0,0.0
QP30_QP16,89.65,7.31,QP30_QP16,90.5,9.48,QP30_QP16,99.5,1.12
QP30_QP20,87.11,5.65,QP30_QP20,89.3,6.0,QP30_QP20,99.33,0.86
QP30_QP24,84.76,4.64,QP30_QP24,84.61,7.13,QP30_QP24,99.67,0.7
QP30_QP27,79.31,4.0,QP30_QP27,75.39,9.32,QP30_QP27,89.67,2.46
QP32_QP5,96.04,2.18,QP32_QP5,89.32,8.36,QP32_QP5,100.0,0.0
QP32_QP10,87.65,9.52,QP32_QP10,88.91,10.37,QP32_QP10,100.0,0.0
QP32_QP16,90.74,5.5,QP32_QP16,91.7,7.91,QP32_QP16,99.83,0.53
QP32_QP20,87.5,4.8,QP32_QP20,89.56,6.01,QP32_QP20,99.67,0.7
QP32_QP24,85.94,5.39,QP32_QP24,88.68,4.96,QP32_QP24,99.67,0.7
QP32_QP27,82.91,3.83,QP32_QP27,84.04,8.13,QP32_QP27,99.0,1.17
QP35_QP5,96.76,3.15,QP35_QP5,89.48,8.12,QP35_QP5,100.0,0.0
QP35_QP10,88.3,8.68,QP35_QP10,85.17,11.01,QP35_QP10,100.0,0.0
