Model,Average Test Score Mean,Average Test Score Std,Model,Average Test Score Mean,Average Test Score Std,Model,Average Test Score Mean,Average Test Score Std
QP10_QP5,50.35,4.06,QP10_QP5,51.94,3.65,QP10_QP5,58.83,4.65
QP15_QP5,66.59,8.4,QP15_QP5,77.33,5.6,QP15_QP5,85.67,4.66
QP15_QP10,55.15,5.41,QP15_QP10,50.69,1.6,QP15_QP10,53.17,1.66
QP20_QP5,70.07,6.11,QP20_QP5,82.43,5.15,QP20_QP5,85.67,3.87
QP20_QP10,65.85,4.8,QP20_QP10,57.56,4.46,QP20_QP10,78.5,3.64
QP20_QP16,50.28,5.38,QP20_QP16,52.67,1.61,QP20_QP16,53.16,1.46
QP25_QP5,82.96,4.74,QP25_QP5,92.78,3.0,QP25_QP5,94.17,3.26
QP25_QP10,71.45,8.99,QP25_QP10,68.76,7.56,QP25_QP10,93.67,2.58
QP25_QP16,56.98,7.63,QP25_QP16,56.57,3.37,QP25_QP16,76.5,4.61
QP25_QP20,58.45,4.77,QP25_QP20,54.39,1.37,QP25_QP20,71.5,3.72
QP25_QP24,53.2,5.43,QP25_QP24,52.06,1.94,QP25_QP24,60.67,2.38
QP30_QP5,93.68,3.37,QP30_QP5,95.28,2.4,QP30_QP5,99.83,0.53
QP30_QP10,92.19,2.81,QP30_QP10,95.92,4.72,QP30_QP10,100.0,0.0
QP30_QP16,81.33,7.01,QP30_QP16,96.02,2.06,QP30_QP16,99.5,0.81
QP30_QP20,74.52,7.3,QP30_QP20,93.0,4.29,QP30_QP20,99.0,1.17
QP30_QP24,73.0,5.43,QP30_QP24,86.04,4.28,QP30_QP24,99.5,0.81
QP30_QP27,68.98,7.47,QP30_QP27,58.94,5.68,QP30_QP27,85.5,3.34
QP32_QP5,94.8,3.09,QP32_QP5,94.58,4.42,QP32_QP5,100.0,0.0
QP32_QP10,94.28,2.16,QP32_QP10,96.56,2.78,QP32_QP10,100.0,0.0
QP32_QP16,88.96,5.42,QP32_QP16,95.07,3.3,QP32_QP16,99.67,0.7
QP32_QP20,81.63,4.72,QP32_QP20,95.17,3.68,QP32_QP20,99.67,0.7
QP32_QP24,71.09,6.88,QP32_QP24,89.44,3.27,QP32_QP24,99.5,0.81
QP32_QP27,73.59,7.46,QP32_QP27,81.0,5.33,QP32_QP27,98.5,1.23
QP35_QP5,95.52,2.88,QP35_QP5,95.91,2.85,QP35_QP5,100.0,0.0
QP35_QP10,94.04,2.99,QP35_QP10,95.28,3.69,QP35_QP10,100.0,0.0
QP35_QP16,91.63,6.31,QP35_QP16,94.82,4.91,QP35_QP16,99.83,0.53
QP35_QP20,86.0,3.97,QP35_QP20,94.48,3.48,QP35_QP20,100.0,0.0
QP35_QP24,75.39,5.51,QP35_QP24,93.91,2.39,QP35_QP24,99.83,0.53
QP35_QP27,72.02,6.49,QP35_QP27,92.85,2.68,QP35_QP27,99.83,0.53
QP35_QP32,64.0,3.17,QP35_QP32,56.34,6.64,QP35_QP32,92.17,2.61
QP40_QP5,95.11,2.53,QP40_QP5,94.37,4.09,QP40_QP5,100.0,0.0
QP40_QP10,95.02,3.11,QP40_QP10,91.48,9.77,QP40_QP10,100.0,0.0
QP40_QP16,92.71,5.07,QP40_QP16,93.69,3.28,QP40_QP16,100.0,0.0
QP40_QP20,91.26,4.83,QP40_QP20,95.57,2.57,QP40_QP20,100.0,0.0
QP40_QP24,82.72,5.45,QP40_QP24,96.31,2.72,QP40_QP24,99.83,0.53
QP40_QP27,76.56,5.26,QP40_QP27,96.66,2.35,QP40_QP27,100.0,0.0
QP40_QP32,67.82,3.08,QP40_QP32,88.13,5.86,QP40_QP32,100.0,0.0
QP40_QP39,63.0,7.76,QP40_QP39,56.09,4.11,QP40_QP39,75.83,2.97
QP45_QP5,95.11,2.62,QP45_QP5,95.72,3.56,QP45_QP5,100.0,0.0
QP45_QP10,96.13,1.89,QP45_QP10,96.06,3.58,QP45_QP10,100.0,0.0
QP45_QP16,93.19,5.29,QP45_QP16,92.61,5.34,QP45_QP16,100.0,0.0
QP45_QP20,91.96,3.8,QP45_QP20,94.68,4.27,QP45_QP20,100.0,0.0
QP45_QP24,86.13,4.94,QP45_QP24,96.43,3.34,QP45_QP24,100.0,0.0
QP45_QP27,83.32,6.37,QP45_QP27,97.07,1.69,QP45_QP27,100.0,0.0
