Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score
RBF1,93.7,14.44,54.07,4.01,58.33,46.67
RBF2,89.63,52.59,71.11,3.63,75.0,65.0
RBF3,86.3,20.74,53.52,1.55,55.0,51.67
RBF4,94.44,46.67,70.56,4.79,78.33,63.33
RBF5,90.0,27.78,58.89,2.36,61.67,55.0
RBF6,71.48,16.67,44.07,8.0,51.67,33.33
RBF7,94.44,75.56,85.0,4.0,91.67,78.33
RBF8,95.19,46.67,70.93,2.22,73.33,66.67
RBF9,73.33,26.67,50.0,5.89,56.67,41.67
RBF10,81.48,34.44,57.96,4.7,63.33,50.0
RBF11,81.85,21.11,51.48,7.24,58.33,40.0
RBF12,94.44,100.0,97.22,1.67,98.33,95.0
RBF13,91.85,87.78,89.81,4.52,96.67,83.33
RBF14,74.07,82.22,78.15,6.21,86.67,68.33
RBF15,82.96,67.78,75.37,5.32,83.33,68.33
RBF16,85.19,48.52,66.85,7.75,76.67,55.0
RBF17,84.81,51.85,68.33,4.71,73.33,61.67
RBF18,94.44,99.63,97.04,2.0,98.33,93.33
RBF19,91.85,92.59,92.22,3.63,98.33,86.67
RBF20,74.44,94.81,84.63,7.44,95.0,73.33
RBF21,82.59,90.0,86.3,3.09,91.67,83.33
RBF22,87.78,40.0,63.89,4.64,73.33,60.0
RBF23,87.04,60.0,73.52,4.03,78.33,66.67
RBF24,94.44,100.0,97.22,1.67,98.33,95.0
RBF25,93.33,92.96,93.15,3.86,98.33,88.33
RBF26,74.44,97.41,85.93,9.17,96.67,71.67
RBF27,83.33,92.96,88.15,4.6,96.67,83.33
RBF28,86.3,69.63,77.96,10.27,91.67,65.0
RBF29,88.52,67.41,77.96,5.76,85.0,70.0
RBF30,92.96,38.52,65.74,3.92,71.67,60.0
RBF31,94.44,100.0,97.22,1.67,98.33,95.0
RBF32,91.85,94.44,93.15,4.75,98.33,86.67
RBF33,75.56,97.04,86.3,8.77,96.67,75.0
RBF34,85.56,98.52,92.04,4.47,98.33,86.67
RBF35,82.96,71.85,77.41,4.09,85.0,70.0
RBF36,89.26,65.93,77.59,6.3,88.33,68.33
RBF37,92.59,36.3,64.44,4.0,70.0,60.0
RBF38,84.44,50.0,67.22,3.44,73.33,63.33
RBF39,94.44,99.26,96.85,1.55,98.33,95.0
RBF40,91.85,100.0,95.93,2.37,98.33,91.67
RBF41,75.56,94.81,85.19,9.91,96.67,71.67
RBF42,86.67,91.85,89.26,6.46,98.33,81.67
RBF43,82.96,88.52,85.74,4.26,96.67,83.33
RBF44,88.89,74.44,81.67,9.9,96.67,70.0
RBF45,92.96,46.3,69.63,5.76,80.0,63.33
RBF46,85.93,36.3,61.11,4.64,68.33,55.0
RBF47,89.63,30.0,59.81,4.67,65.0,50.0
RBF48,94.44,98.52,96.48,1.3,98.33,95.0
RBF49,91.85,99.63,95.74,2.22,98.33,91.67
RBF50,87.04,92.22,89.63,4.06,96.67,85.0
RBF51,82.96,96.3,89.63,5.51,96.67,83.33
RBF52,82.96,78.52,80.74,8.34,96.67,71.67
RBF53,88.89,85.56,87.22,8.29,100.0,75.0
RBF54,92.22,71.48,81.85,7.09,95.0,75.0
RBF55,89.63,56.67,73.15,10.39,88.33,61.67
RBF56,85.93,57.78,71.85,13.68,88.33,56.67
RBF57,91.85,41.85,66.85,2.42,71.67,65.0
RBF58,91.11,30.74,60.93,1.69,63.33,58.33
RBF59,87.41,21.11,54.26,4.5,61.67,48.33
RBF60,86.3,7.04,46.67,1.67,48.33,43.33
RBF61,82.22,12.96,47.59,3.34,50.0,40.0
RBF62,80.0,39.63,59.81,2.56,63.33,56.67
RBF63,84.44,61.11,72.78,3.63,80.0,68.33
RBF64,82.59,61.11,71.85,4.2,76.67,65.0
RBF65,88.89,20.74,54.81,4.52,65.0,50.0
RBF66,92.22,21.85,57.04,2.61,60.0,53.33
RBF67,87.78,48.52,68.15,8.35,78.33,56.67
RBF68,81.85,6.67,44.26,2.65,46.67,40.0
RBF69,89.63,12.59,51.11,2.64,55.0,48.33
RBF70,84.81,11.11,47.96,3.09,53.33,45.0
RBF71,78.52,26.67,52.59,3.02,58.33,48.33
RBF72,75.93,30.0,52.96,3.09,56.67,48.33
RBF73,88.89,22.59,55.74,4.01,60.0,48.33
RBF74,88.15,17.41,52.78,1.86,55.0,50.0
RBF75,91.85,19.26,55.56,4.41,63.33,50.0
RBF76,72.59,6.3,39.44,6.24,46.67,30.0
RBF77,87.41,19.26,53.33,4.25,60.0,48.33
RBF78,83.33,15.93,49.63,2.61,53.33,46.67
RBF79,79.63,20.0,49.81,1.55,51.67,48.33
RBF80,80.0,17.41,48.7,3.09,53.33,43.33
RBF81,88.52,22.22,55.37,4.7,61.67,48.33
RBF82,86.3,11.11,48.7,2.17,51.67,45.0
RBF83,94.07,11.85,52.96,2.0,56.67,50.0
RBF84,83.7,15.56,49.63,1.82,51.67,46.67
RBF85,82.96,19.63,51.3,2.98,55.0,46.67
RBF86,89.26,22.22,55.74,2.65,58.33,50.0
RBF87,87.04,17.04,52.04,2.86,56.67,48.33
RBF88,92.22,7.41,49.81,1.55,51.67,48.33
RBF89,91.85,13.7,52.78,1.67,55.0,50.0
RBF90,83.33,26.67,55.0,3.44,61.67,51.67
RBF91,71.11,28.15,49.63,3.09,53.33,45.0
RBF92,82.22,22.59,52.41,3.02,56.67,48.33
RBF93,79.63,17.04,48.33,1.67,51.67,46.67
RBF94,88.52,12.96,50.74,2.78,55.0,46.67
RBF95,86.67,16.67,51.67,3.33,58.33,48.33
RBF96,90.37,13.7,52.04,2.32,56.67,48.33
RBF97,84.44,17.41,50.93,2.22,55.0,46.67
RBF98,92.96,13.33,53.15,1.94,56.67,51.67
RBF99,88.15,21.11,54.63,3.51,60.0,50.0
RBF100,90.74,8.15,49.44,1.18,50.0,46.67
RBF101,99.26,5.93,52.59,1.21,55.0,51.67
RBF102,85.19,25.93,55.56,1.67,58.33,53.33
RBF103,93.7,11.85,52.78,2.64,56.67,50.0
RBF104,84.44,20.37,52.41,3.34,55.0,45.0
RBF105,90.0,19.63,54.81,4.2,60.0,46.67
RBF106,94.81,14.81,54.81,2.27,56.67,50.0
LINEAR1,96.67,10.0,53.33,0.0,53.33,53.33
LINEAR2,93.33,66.67,80.0,1.18,81.67,78.33
LINEAR3,96.67,6.67,51.67,0.0,51.67,51.67
LINEAR4,96.67,73.33,85.0,0.0,85.0,85.0
LINEAR5,96.67,13.33,55.0,0.0,55.0,55.0
LINEAR6,100.0,10.0,55.0,0.0,55.0,55.0
LINEAR7,96.67,93.33,95.0,0.0,95.0,95.0
LINEAR8,96.67,50.74,73.7,1.11,75.0,71.67
LINEAR9,100.0,10.0,55.0,0.0,55.0,55.0
LINEAR10,97.78,10.0,53.89,0.83,55.0,53.33
LINEAR11,96.67,1.11,48.89,0.83,50.0,48.33
LINEAR12,96.67,94.07,95.37,0.73,96.67,95.0
LINEAR13,100.0,100.0,100.0,0.0,100.0,100.0
LINEAR14,100.0,93.33,96.67,0.0,96.67,96.67
LINEAR15,100.0,91.48,95.74,0.88,96.67,95.0
LINEAR16,99.63,80.0,89.81,0.56,90.0,88.33
LINEAR17,96.67,29.26,62.96,0.73,63.33,61.67
LINEAR18,96.67,96.67,96.67,0.0,96.67,96.67
LINEAR19,100.0,96.67,98.33,0.0,98.33,98.33
LINEAR20,100.0,93.33,96.67,0.0,96.67,96.67
LINEAR21,100.0,96.67,98.33,0.0,98.33,98.33
LINEAR22,100.0,76.67,88.33,0.0,88.33,88.33
LINEAR23,100.0,63.33,81.67,0.0,81.67,81.67
LINEAR24,96.67,100.0,98.33,0.0,98.33,98.33
LINEAR25,100.0,96.67,98.33,0.0,98.33,98.33
LINEAR26,100.0,93.33,96.67,0.0,96.67,96.67
LINEAR27,100.0,95.93,97.96,0.73,98.33,96.67
LINEAR28,100.0,86.67,93.33,0.0,93.33,93.33
LINEAR29,100.0,84.07,92.04,0.73,93.33,91.67
LINEAR30,100.0,3.33,51.67,0.0,51.67,51.67
LINEAR31,96.67,96.67,96.67,0.0,96.67,96.67
LINEAR32,100.0,100.0,100.0,0.0,100.0,100.0
LINEAR33,100.0,86.67,93.33,0.0,93.33,93.33
LINEAR34,100.0,93.33,96.67,0.0,96.67,96.67
LINEAR35,100.0,89.63,94.81,0.56,95.0,93.33
LINEAR36,100.0,96.67,98.33,0.0,98.33,98.33
LINEAR37,100.0,86.3,93.15,1.55,95.0,91.67
LINEAR38,100.0,23.33,61.67,0.0,61.67,61.67
LINEAR39,96.67,93.33,95.0,0.0,95.0,95.0
LINEAR40,100.0,100.0,100.0,0.0,100.0,100.0
LINEAR41,100.0,77.78,88.89,0.83,90.0,88.33
LINEAR42,100.0,96.67,98.33,0.0,98.33,98.33
LINEAR43,100.0,85.19,92.59,1.21,95.0,91.67
LINEAR44,100.0,94.81,97.41,0.88,98.33,96.67
LINEAR45,100.0,90.0,95.0,0.0,95.0,95.0
LINEAR46,100.0,71.11,85.56,2.36,90.0,83.33
LINEAR47,100.0,45.93,72.96,0.73,73.33,71.67
LINEAR48,96.67,96.67,96.67,0.0,96.67,96.67
LINEAR49,100.0,93.7,96.85,0.56,98.33,96.67
LINEAR50,100.0,81.85,90.93,1.69,93.33,88.33
LINEAR51,100.0,97.78,98.89,0.83,100.0,98.33
LINEAR52,100.0,88.52,94.26,1.47,95.0,91.67
LINEAR53,100.0,87.04,93.52,0.56,95.0,93.33
LINEAR54,100.0,93.33,96.67,0.0,96.67,96.67
LINEAR55,100.0,93.33,96.67,0.0,96.67,96.67
LINEAR56,100.0,91.85,95.93,0.88,96.67,95.0
LINEAR57,100.0,43.33,71.67,0.0,71.67,71.67
LINEAR58,93.33,13.33,53.33,0.0,53.33,53.33
LINEAR59,96.67,3.33,50.0,0.0,50.0,50.0
LINEAR60,100.0,3.33,51.67,0.0,51.67,51.67
LINEAR61,98.15,3.33,50.74,0.88,51.67,50.0
LINEAR62,96.67,3.33,50.0,0.0,50.0,50.0
LINEAR63,96.67,3.33,50.0,0.0,50.0,50.0
LINEAR64,96.67,4.44,50.56,0.83,51.67,50.0
LINEAR65,96.67,16.67,56.67,0.0,56.67,56.67
LINEAR66,100.0,3.33,51.67,0.0,51.67,51.67
LINEAR67,90.37,31.11,60.74,1.21,63.33,60.0
LINEAR68,100.0,0.0,50.0,0.0,50.0,50.0
LINEAR69,96.67,3.33,50.0,0.0,50.0,50.0
LINEAR70,96.67,0.0,48.33,0.0,48.33,48.33
LINEAR71,96.67,0.0,48.33,0.0,48.33,48.33
LINEAR72,96.67,0.0,48.33,0.0,48.33,48.33
LINEAR73,93.33,0.37,46.85,0.56,48.33,46.67
LINEAR74,100.0,0.0,50.0,0.0,50.0,50.0
LINEAR75,93.33,6.67,50.0,0.0,50.0,50.0
LINEAR76,100.0,3.33,51.67,0.0,51.67,51.67
