Model,Average Test Score Mean,Average Test Score Std,Model,Average Test Score Mean,Average Test Score Std,Model,Average Test Score Mean,Average Test Score Std
QP10_QP5,76.28,5.1,QP10_QP5,84.15,7.14,QP10_QP5,59.0,5.1
QP15_QP5,94.0,2.45,QP15_QP5,94.24,5.19,QP15_QP5,87.5,4.6
QP15_QP10,74.46,6.76,QP15_QP10,73.43,7.78,QP15_QP10,51.83,1.23
QP20_QP5,94.7,2.55,QP20_QP5,87.04,15.53,QP20_QP5,87.0,3.22
QP20_QP10,85.19,4.76,QP20_QP10,77.78,11.19,QP20_QP10,79.83,4.04
QP20_QP16,79.87,3.55,QP20_QP16,81.74,6.02,QP20_QP16,52.67,0.86
QP25_QP5,95.46,2.5,QP25_QP5,89.43,11.8,QP25_QP5,95.17,1.84
QP25_QP10,88.7,3.56,QP25_QP10,81.92,9.84,QP25_QP10,93.83,2.37
QP25_QP16,85.3,3.52,QP25_QP16,85.87,3.0,QP25_QP16,79.83,2.99
QP25_QP20,80.22,3.24,QP25_QP20,81.42,9.9,QP25_QP20,69.67,1.72
QP25_QP24,79.42,1.89,QP25_QP24,82.61,6.94,QP25_QP24,59.67,1.89
QP30_QP5,95.19,3.53,QP30_QP5,84.61,14.88,QP30_QP5,100.0,0.0
QP30_QP10,92.37,4.07,QP30_QP10,87.04,7.82,QP30_QP10,99.83,0.53
QP30_QP16,91.33,3.02,QP30_QP16,92.06,7.89,QP30_QP16,99.67,0.7
QP30_QP20,89.72,3.01,QP30_QP20,90.5,7.4,QP30_QP20,99.33,0.86
QP30_QP24,88.11,4.09,QP30_QP24,90.58,4.11,QP30_QP24,99.67,0.7
QP30_QP27,78.91,6.72,QP30_QP27,81.17,6.62,QP30_QP27,89.17,2.97
QP32_QP5,96.85,3.59,QP32_QP5,81.74,17.68,QP32_QP5,100.0,0.0
QP32_QP10,92.59,5.21,QP32_QP10,89.18,10.11,QP32_QP10,99.83,0.53
QP32_QP16,92.78,3.26,QP32_QP16,94.56,5.85,QP32_QP16,99.67,0.7
QP32_QP20,91.04,2.54,QP32_QP20,91.44,6.12,QP32_QP20,99.67,0.7
QP32_QP24,90.17,4.13,QP32_QP24,93.19,4.69,QP32_QP24,99.83,0.53
QP32_QP27,83.26,5.4,QP32_QP27,84.46,5.28,QP32_QP27,99.16,0.88
QP35_QP5,98.04,2.02,QP35_QP5,87.48,14.5,QP35_QP5,100.0,0.0
QP35_QP10,94.61,3.28,QP35_QP10,91.13,7.78,QP35_QP10,100.0,0.0
QP35_QP16,92.85,2.96,QP35_QP16,95.04,3.84,QP35_QP16,99.83,0.53
QP35_QP20,91.11,3.58,QP35_QP20,92.02,4.74,QP35_QP20,100.0,0.0
QP35_QP24,90.22,3.33,QP35_QP24,90.76,8.05,QP35_QP24,99.83,0.53
QP35_QP27,84.2,6.8,QP35_QP27,85.0,9.47,QP35_QP27,100.0,0.0
QP35_QP32,80.91,4.88,QP35_QP32,77.26,6.21,QP35_QP32,94.33,2.51
QP40_QP5,96.67,2.92,QP40_QP5,85.68,13.75,QP40_QP5,100.0,0.0
QP40_QP10,93.72,4.93,QP40_QP10,89.24,9.92,QP40_QP10,100.0,0.0
QP40_QP16,93.11,3.39,QP40_QP16,95.63,3.67,QP40_QP16,99.83,0.53
QP40_QP20,92.37,2.47,QP40_QP20,93.54,3.99,QP40_QP20,100.0,0.0
QP40_QP24,91.74,3.87,QP40_QP24,93.85,3.65,QP40_QP24,99.83,0.53
QP40_QP27,85.66,8.73,QP40_QP27,85.37,11.06,QP40_QP27,100.0,0.0
QP40_QP32,85.56,5.13,QP40_QP32,83.26,8.33,QP40_QP32,100.0,0.0
QP40_QP39,78.0,4.33,QP40_QP39,72.85,5.64,QP40_QP39,76.83,3.72
