Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score
RBF1,88.89,76.67,82.78,2.04,85.0,80.0
RBF2,95.19,97.78,96.48,3.38,100.0,91.67
RBF3,80.74,69.63,75.19,6.99,83.33,65.0
RBF4,85.19,99.26,92.22,6.77,98.33,83.33
RBF5,92.22,81.11,86.67,3.33,91.67,80.0
RBF6,82.59,80.74,81.67,2.2,86.67,80.0
RBF7,85.56,98.52,92.04,6.86,98.33,81.67
RBF8,92.22,92.22,92.22,3.54,98.33,88.33
RBF9,89.63,80.37,85.0,3.54,91.67,80.0
RBF10,82.59,78.89,80.74,2.06,83.33,76.67
RBF11,82.22,67.41,74.81,3.27,80.0,70.0
RBF12,95.56,100.0,97.78,2.76,100.0,91.67
RBF13,84.44,100.0,92.22,4.71,96.67,83.33
RBF14,82.96,100.0,91.48,2.69,95.0,88.33
RBF15,80.74,100.0,90.37,2.32,93.33,86.67
RBF16,74.07,100.0,87.04,5.19,93.33,78.33
RBF17,68.15,86.67,77.41,2.9,81.67,71.67
RBF18,98.52,100.0,99.26,1.21,100.0,96.67
RBF19,91.85,100.0,95.93,4.34,98.33,88.33
RBF20,84.07,100.0,92.04,1.39,93.33,90.0
RBF21,85.19,99.26,92.22,3.23,96.67,86.67
RBF22,82.59,98.52,90.56,4.49,95.0,83.33
RBF23,66.67,100.0,83.33,5.14,90.0,76.67
RBF24,98.52,100.0,99.26,1.21,100.0,96.67
RBF25,94.07,100.0,97.04,2.32,98.33,91.67
RBF26,89.26,97.78,93.52,2.56,96.67,88.33
RBF27,81.48,100.0,90.74,2.52,93.33,86.67
RBF28,85.93,100.0,92.96,4.84,98.33,85.0
RBF29,71.48,100.0,85.74,4.5,90.0,78.33
RBF30,62.59,94.81,78.7,2.61,81.67,75.0
RBF31,98.52,100.0,99.26,1.21,100.0,96.67
RBF32,90.0,99.26,94.63,2.86,98.33,88.33
RBF33,89.26,98.89,94.07,2.06,96.67,91.67
RBF34,84.07,100.0,92.04,2.61,95.0,88.33
RBF35,84.44,100.0,92.22,4.86,96.67,85.0
RBF36,69.63,100.0,84.81,4.6,90.0,78.33
RBF37,61.85,100.0,80.93,2.78,85.0,76.67
RBF38,49.26,97.41,73.33,7.5,81.67,61.67
RBF39,99.63,100.0,99.81,0.56,100.0,98.33
RBF40,94.44,100.0,97.22,1.67,98.33,93.33
RBF41,86.3,100.0,93.15,2.12,96.67,90.0
RBF42,80.74,100.0,90.37,2.0,93.33,86.67
RBF43,88.52,100.0,94.26,2.9,96.67,88.33
RBF44,63.7,100.0,81.85,6.32,90.0,71.67
RBF45,64.44,100.0,82.22,3.54,86.67,76.67
RBF46,65.93,100.0,82.96,8.69,95.0,71.67
RBF47,74.07,98.52,86.3,6.05,91.67,76.67
RBF48,87.78,99.63,93.7,2.32,98.33,91.67
RBF49,96.67,97.04,96.85,1.0,98.33,95.0
RBF50,65.93,100.0,82.96,2.86,88.33,80.0
RBF51,80.37,100.0,90.19,2.94,93.33,85.0
RBF52,82.59,100.0,91.3,5.05,96.67,83.33
RBF53,71.11,100.0,85.56,3.73,90.0,78.33
RBF54,67.78,99.26,83.52,3.06,88.33,80.0
RBF55,53.33,100.0,76.67,6.61,83.33,66.67
RBF56,80.37,100.0,90.19,6.74,96.67,80.0
RBF57,74.44,92.59,83.52,5.03,93.33,76.67
RBF58,83.33,96.67,90.0,6.87,96.67,81.67
RBF59,67.78,95.56,81.67,8.42,91.67,70.0
RBF60,89.26,79.26,84.26,5.01,88.33,71.67
RBF61,81.48,89.63,85.56,5.2,90.0,75.0
RBF62,85.56,67.78,76.67,4.41,81.67,68.33
RBF63,71.85,83.7,77.78,3.63,81.67,71.67
RBF64,66.67,81.85,74.26,3.83,80.0,68.33
RBF65,60.74,88.15,74.44,5.27,81.67,68.33
RBF66,59.26,88.52,73.89,6.12,81.67,65.0
RBF67,55.19,91.11,73.15,6.09,83.33,63.33
RBF68,79.26,30.74,55.0,2.2,60.0,53.33
RBF69,74.81,45.56,60.19,4.96,68.33,53.33
RBF70,76.3,32.96,54.63,2.32,58.33,51.67
RBF71,58.52,41.48,50.0,1.67,51.67,46.67
RBF72,58.52,38.15,48.33,4.86,56.67,43.33
RBF73,59.26,41.11,50.19,3.38,56.67,46.67
RBF74,65.19,41.11,53.15,4.75,60.0,45.0
RBF75,71.48,28.15,49.81,3.27,55.0,43.33
RBF76,91.85,30.37,61.11,2.36,65.0,56.67
RBF77,68.15,54.44,61.3,2.98,65.0,56.67
RBF78,83.7,29.26,56.48,2.12,60.0,53.33
RBF79,57.78,52.22,55.0,3.0,58.33,50.0
RBF80,60.0,35.56,47.78,4.86,55.0,41.67
RBF81,32.59,82.22,57.41,2.06,60.0,53.33
RBF82,72.96,42.22,57.59,2.65,60.0,53.33
RBF83,70.37,32.96,51.67,4.49,60.0,46.67
RBF84,87.78,27.04,57.41,3.55,61.67,50.0
RBF85,50.37,56.67,53.52,4.03,60.0,48.33
RBF86,52.59,48.15,50.37,4.98,56.67,45.0
RBF87,55.56,57.04,56.3,3.31,63.33,51.67
RBF88,72.96,38.52,55.74,3.34,63.33,51.67
RBF89,60.0,47.41,53.7,3.89,61.67,48.33
RBF90,54.44,70.0,62.22,2.5,66.67,58.33
RBF91,62.96,50.37,56.67,3.73,61.67,50.0
RBF92,49.63,65.56,57.59,2.9,61.67,53.33
RBF93,50.74,57.04,53.89,6.01,61.67,45.0
RBF94,68.52,31.11,49.81,5.8,56.67,41.67
RBF95,58.15,65.19,61.67,2.2,65.0,58.33
RBF96,49.26,73.7,61.48,2.12,65.0,58.33
RBF97,72.22,48.52,60.37,5.05,66.67,50.0
RBF98,64.81,36.3,50.56,7.36,63.33,41.67
RBF99,42.59,69.26,55.93,1.69,58.33,53.33
RBF100,68.89,48.15,58.52,3.95,65.0,51.67
RBF101,57.41,69.63,63.52,2.69,68.33,60.0
RBF102,55.93,55.93,55.93,3.13,60.0,51.67
RBF103,65.93,56.67,61.3,3.61,68.33,55.0
RBF104,56.3,56.67,56.48,2.42,60.0,53.33
RBF105,72.22,58.52,65.37,4.47,71.67,56.67
RBF106,69.63,51.11,60.37,4.55,66.67,53.33
