Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score
RBF1,96.67,39.63,68.15,4.75,75.0,60.0
RBF2,98.15,88.52,93.33,1.18,95.0,91.67
RBF3,83.33,70.0,76.67,4.17,81.67,68.33
RBF4,98.15,97.41,97.78,1.18,100.0,96.67
RBF5,98.89,80.37,89.63,3.51,95.0,83.33
RBF6,97.04,72.96,85.0,7.45,91.67,66.67
RBF7,97.04,97.78,97.41,1.47,98.33,95.0
RBF8,97.41,92.96,95.19,2.42,98.33,90.0
RBF9,97.04,88.52,92.78,3.12,95.0,85.0
RBF10,92.22,84.44,88.33,5.27,93.33,75.0
RBF11,91.85,71.85,81.85,5.92,88.33,68.33
RBF12,97.04,96.67,96.85,1.76,100.0,93.33
RBF13,95.93,97.04,96.48,2.12,98.33,91.67
RBF14,98.15,100.0,99.07,1.88,100.0,95.0
RBF15,98.89,98.52,98.7,2.0,100.0,95.0
RBF16,97.41,94.44,95.93,2.52,100.0,91.67
RBF17,88.15,86.67,87.41,3.34,93.33,81.67
RBF18,98.15,99.63,98.89,0.83,100.0,98.33
RBF19,93.7,94.81,94.26,2.22,96.67,90.0
RBF20,98.15,99.26,98.7,2.32,100.0,93.33
RBF21,98.52,99.26,98.89,2.2,100.0,93.33
RBF22,97.41,96.67,97.04,2.98,100.0,90.0
RBF23,90.0,97.78,93.89,3.54,98.33,88.33
RBF24,98.52,100.0,99.26,0.88,100.0,98.33
RBF25,94.44,97.41,95.93,2.65,100.0,91.67
RBF26,96.67,98.89,97.78,2.89,100.0,91.67
RBF27,99.26,98.52,98.89,1.44,100.0,96.67
RBF28,98.15,97.04,97.59,1.21,98.33,95.0
RBF29,88.89,98.52,93.7,2.32,96.67,88.33
RBF30,92.22,72.59,82.41,4.8,86.67,71.67
RBF31,97.04,97.41,97.22,1.44,100.0,95.0
RBF32,92.96,97.04,95.0,2.76,100.0,91.67
RBF33,98.15,100.0,99.07,1.88,100.0,95.0
RBF34,97.04,100.0,98.52,1.0,100.0,96.67
RBF35,97.78,100.0,98.89,1.18,100.0,96.67
RBF36,90.37,100.0,95.19,2.27,98.33,90.0
RBF37,93.33,99.63,96.48,2.12,100.0,91.67
RBF38,79.26,88.15,83.7,4.06,88.33,76.67
RBF39,97.04,99.26,98.15,1.3,100.0,95.0
RBF40,89.63,99.26,94.44,3.0,98.33,90.0
RBF41,91.85,100.0,95.93,2.52,100.0,91.67
RBF42,97.04,100.0,98.52,1.76,100.0,95.0
RBF43,98.52,99.63,99.07,1.69,100.0,95.0
RBF44,89.63,100.0,94.81,2.69,98.33,88.33
RBF45,92.96,100.0,96.48,2.12,100.0,91.67
RBF46,82.22,100.0,91.11,3.73,98.33,85.0
RBF47,71.85,89.26,80.56,3.23,85.0,73.33
RBF48,96.3,99.63,97.96,1.11,98.33,95.0
RBF49,87.78,97.04,92.41,2.06,95.0,90.0
RBF50,91.48,100.0,95.74,3.02,100.0,90.0
RBF51,90.0,100.0,95.0,3.12,100.0,90.0
RBF52,98.15,100.0,99.07,1.69,100.0,95.0
RBF53,82.59,100.0,91.3,4.7,96.67,81.67
RBF54,92.96,99.63,96.3,2.17,100.0,91.67
RBF55,79.63,99.63,89.63,3.98,98.33,85.0
RBF56,77.41,100.0,88.7,4.31,96.67,83.33
RBF57,80.37,96.67,88.52,3.48,96.67,83.33
RBF58,91.48,59.63,75.56,8.82,90.0,61.67
RBF59,75.19,88.89,82.04,4.15,88.33,75.0
RBF60,94.07,76.67,85.37,8.28,91.67,66.67
RBF61,92.59,69.26,80.93,5.28,86.67,70.0
RBF62,90.74,74.81,82.78,6.29,88.33,70.0
RBF63,84.81,71.48,78.15,5.68,85.0,70.0
RBF64,87.04,55.56,71.3,7.58,80.0,55.0
RBF65,83.7,76.3,80.0,5.59,85.0,68.33
RBF66,68.89,87.41,78.15,2.42,80.0,73.33
RBF67,42.22,95.19,68.7,2.86,75.0,65.0
RBF68,91.85,34.44,63.15,4.6,68.33,53.33
RBF69,85.56,17.04,51.3,1.62,53.33,48.33
RBF70,90.0,9.26,49.63,2.47,53.33,46.67
RBF71,71.11,30.74,50.93,2.52,55.0,48.33
RBF72,83.7,15.19,49.44,1.86,53.33,46.67
RBF73,74.44,31.85,53.15,2.12,56.67,50.0
RBF74,73.33,30.0,51.67,2.76,56.67,48.33
RBF75,54.81,58.15,56.48,3.86,60.0,51.67
