Model,Average Test Score Mean,Average Test Score Std,Model,Average Test Score Mean,Average Test Score Std,Model,Average Test Score Mean,Average Test Score Std
QP10_QP5,71.2,7.76,QP10_QP5,79.69,8.59,QP10_QP5,62.33,6.25
QP15_QP5,92.18,3.89,QP15_QP5,93.13,3.32,QP15_QP5,88.83,3.52
QP15_QP10,71.5,4.71,QP15_QP10,69.46,6.04,QP15_QP10,51.67,1.11
QP20_QP5,95.45,2.76,QP20_QP5,92.26,3.4,QP20_QP5,88.67,2.92
QP20_QP10,85.02,4.41,QP20_QP10,73.54,5.72,QP20_QP10,79.5,3.43
QP20_QP16,74.39,4.95,QP20_QP16,79.35,7.15,QP20_QP16,53.83,1.58
QP25_QP5,96.87,1.94,QP25_QP5,87.67,11.71,QP25_QP5,94.83,2.28
QP25_QP10,90.5,3.78,QP25_QP10,83.32,7.48,QP25_QP10,93.17,2.54
QP25_QP16,83.11,4.68,QP25_QP16,78.91,10.04,QP25_QP16,77.67,4.02
QP25_QP20,80.06,5.04,QP25_QP20,81.54,6.45,QP25_QP20,71.84,4.93
QP25_QP24,76.39,5.21,QP25_QP24,77.5,9.19,QP25_QP24,58.83,0.81
QP30_QP5,97.11,1.45,QP30_QP5,84.26,14.89,QP30_QP5,100.0,0.0
QP30_QP10,93.59,3.09,QP30_QP10,86.37,8.08,QP30_QP10,99.67,0.7
QP30_QP16,92.48,4.68,QP30_QP16,87.57,13.53,QP30_QP16,99.5,0.81
QP30_QP20,90.76,5.78,QP30_QP20,92.61,3.85,QP30_QP20,98.83,1.37
QP30_QP24,89.82,4.01,QP30_QP24,90.59,5.21,QP30_QP24,99.33,0.86
QP30_QP27,80.48,5.36,QP30_QP27,77.96,10.88,QP30_QP27,88.17,3.55
QP32_QP5,98.09,0.88,QP32_QP5,83.68,12.13,QP32_QP5,100.0,0.0
QP32_QP10,93.43,2.85,QP32_QP10,82.33,8.19,QP32_QP10,99.67,0.7
QP32_QP16,93.09,5.35,QP32_QP16,86.48,16.33,QP32_QP16,99.67,0.7
QP32_QP20,92.98,5.26,QP32_QP20,94.02,3.94,QP32_QP20,99.5,0.81
QP32_QP24,90.82,5.11,QP32_QP24,90.24,7.04,QP32_QP24,99.83,0.53
QP32_QP27,86.83,4.63,QP32_QP27,84.56,11.36,QP32_QP27,98.67,1.53
QP35_QP5,97.76,1.97,QP35_QP5,88.87,10.19,QP35_QP5,100.0,0.0
QP35_QP10,93.59,4.19,QP35_QP10,85.31,9.36,QP35_QP10,100.0,0.0
QP35_QP16,92.94,5.2,QP35_QP16,88.07,12.44,QP35_QP16,100.0,0.0
QP35_QP20,93.04,4.58,QP35_QP20,94.59,3.89,QP35_QP20,99.67,0.7
QP35_QP24,91.67,4.97,QP35_QP24,89.54,11.07,QP35_QP24,100.0,0.0
QP35_QP27,89.28,4.57,QP35_QP27,86.59,11.56,QP35_QP27,100.0,0.0
QP35_QP32,80.67,3.24,QP35_QP32,77.81,7.07,QP35_QP32,93.17,3.38
QP40_QP5,97.72,1.67,QP40_QP5,86.85,9.79,QP40_QP5,100.0,0.0
QP40_QP10,94.58,2.55,QP40_QP10,86.18,8.92,QP40_QP10,100.0,0.0
QP40_QP16,93.41,5.53,QP40_QP16,88.83,13.33,QP40_QP16,100.0,0.0
QP40_QP20,92.74,7.22,QP40_QP20,94.48,5.7,QP40_QP20,100.0,0.0
QP40_QP24,92.68,4.29,QP40_QP24,92.06,7.17,QP40_QP24,100.0,0.0
QP40_QP27,90.06,5.5,QP40_QP27,87.09,10.83,QP40_QP27,100.0,0.0
QP40_QP32,89.61,4.67,QP40_QP32,84.09,8.17,QP40_QP32,100.0,0.0
QP40_QP39,77.42,7.24,QP40_QP39,71.76,6.56,QP40_QP39,76.17,2.23
QP45_QP5,97.28,1.78,QP45_QP5,85.59,13.1,QP45_QP5,100.0,0.0
QP45_QP10,93.39,2.97,QP45_QP10,79.57,8.94,QP45_QP10,100.0,0.0
QP45_QP16,93.74,4.96,QP45_QP16,91.82,11.65,QP45_QP16,100.0,0.0
QP45_QP20,93.63,5.82,QP45_QP20,95.11,5.34,QP45_QP20,100.0,0.0
QP45_QP24,93.33,3.98,QP45_QP24,92.59,6.2,QP45_QP24,100.0,0.0
QP45_QP27,91.06,5.26,QP45_QP27,89.13,9.13,QP45_QP27,100.0,0.0
QP45_QP32,90.96,4.09,QP45_QP32,86.57,7.01,QP45_QP32,100.0,0.0
QP45_QP39,87.33,5.88,QP45_QP39,84.04,6.77,QP45_QP39,100.0,0.0
QP45_QP42,77.65,3.9,QP45_QP42,76.02,8.62,QP45_QP42,86.83,3.88
QP50_QP5,93.81,3.54,QP50_QP5,72.61,12.06,QP50_QP5,100.0,0.0
QP50_QP10,87.69,11.36,QP50_QP10,81.07,11.65,QP50_QP10,100.0,0.0
QP50_QP16,91.44,6.05,QP50_QP16,87.11,16.42,QP50_QP16,100.0,0.0
QP50_QP20,93.74,5.83,QP50_QP20,95.65,5.22,QP50_QP20,100.0,0.0
QP50_QP24,93.18,4.11,QP50_QP24,93.06,7.04,QP50_QP24,100.0,0.0
QP50_QP27,90.7,4.44,QP50_QP27,88.24,10.33,QP50_QP27,100.0,0.0
QP50_QP32,91.59,4.69,QP50_QP32,87.65,8.01,QP50_QP32,100.0,0.0
QP50_QP39,85.61,7.37,QP50_QP39,80.56,8.05,QP50_QP39,100.0,0.0
QP50_QP42,85.68,4.95,QP50_QP42,85.94,6.3,QP50_QP42,100.0,0.0
QP50_QP45,83.76,3.69,QP50_QP45,80.45,6.84,QP50_QP45,99.16,0.88
QP5_QP5,84.35,5.16,QP5_QP5,89.19,4.25,QP5_QP5,50.0,0.0
QP10_QP10,77.37,4.93,QP10_QP10,71.13,7.21,QP10_QP10,50.0,0.0
QP16_QP16,81.65,4.0,QP16_QP16,76.59,9.66,QP16_QP16,50.0,0.0
QP20_QP20,79.5,3.69,QP20_QP20,78.09,6.05,QP20_QP20,50.33,0.7
QP24_QP24,76.37,5.86,QP24_QP24,77.54,9.33,QP24_QP24,51.84,1.46
QP27_QP27,73.95,5.75,QP27_QP27,71.67,10.51,QP27_QP27,50.67,0.86
QP32_QP32,73.19,4.63,QP32_QP32,69.37,6.67,QP32_QP32,51.33,1.31
QP39_QP39,73.7,5.26,QP39_QP39,70.11,7.37,QP39_QP39,60.17,2.66
QP42_QP42,73.43,4.59,QP42_QP42,75.69,5.14,QP42_QP42,63.0,1.89
QP45_QP45,72.54,4.45,QP45_QP45,67.15,7.98,QP45_QP45,63.0,2.7
QP10_QP16,60.5,3.75,QP10_QP16,63.87,4.49,QP10_QP16,53.33,1.57
QP10_QP20,55.37,3.03,QP10_QP20,58.26,5.41,QP10_QP20,52.17,1.58
QP10_QP24,54.76,3.41,QP10_QP24,57.13,5.54,QP10_QP24,54.33,1.79
QP10_QP27,53.54,2.86,QP10_QP27,55.5,6.02,QP10_QP27,54.0,2.63
QP10_QP32,52.5,3.92,QP10_QP32,53.69,2.89,QP10_QP32,55.17,1.66
QP10_QP39,51.93,4.14,QP10_QP39,53.05,3.31,QP10_QP39,54.67,1.72
QP10_QP42,51.55,4.0,QP10_QP42,55.39,4.96,QP10_QP42,53.17,1.23
QP10_QP45,52.39,2.86,QP10_QP45,54.0,3.84,QP10_QP45,55.66,2.11
QP15_QP16,71.18,5.45,QP15_QP16,78.35,6.86,QP15_QP16,50.0,0.0
QP15_QP20,58.76,3.18,QP15_QP20,66.95,9.17,QP15_QP20,52.67,1.4
QP15_QP24,59.2,4.0,QP15_QP24,64.28,6.26,QP15_QP24,53.33,1.36
QP15_QP27,57.05,3.32,QP15_QP27,59.45,5.89,QP15_QP27,54.16,0.88
QP15_QP32,53.54,4.6,QP15_QP32,56.98,3.15,QP15_QP32,54.83,2.0
QP15_QP39,53.91,3.45,QP15_QP39,52.2,5.45,QP15_QP39,53.83,2.61
QP15_QP42,51.78,1.32,QP15_QP42,55.1,5.95,QP15_QP42,53.5,1.23
QP15_QP45,52.7,2.94,QP15_QP45,54.8,4.38,QP15_QP45,55.5,3.05
QP20_QP24,58.11,1.93,QP20_QP24,63.07,4.41,QP20_QP24,52.33,1.16
QP20_QP27,62.5,5.19,QP20_QP27,65.26,7.69,QP20_QP27,57.0,1.72
QP20_QP32,56.52,3.47,QP20_QP32,60.28,4.89,QP20_QP32,57.33,2.86
QP20_QP39,55.83,2.61,QP20_QP39,58.58,4.72,QP20_QP39,54.5,2.09
QP20_QP42,52.24,3.52,QP20_QP42,56.04,3.92,QP20_QP42,55.17,2.15
QP20_QP45,54.52,3.99,QP20_QP45,53.76,7.19,QP20_QP45,55.17,2.66
QP25_QP27,63.82,5.53,QP25_QP27,68.57,8.78,QP25_QP27,59.0,1.96
QP25_QP32,59.46,5.43,QP25_QP32,63.09,5.23,QP25_QP32,58.67,2.92
QP25_QP39,59.02,3.59,QP25_QP39,60.59,4.64,QP25_QP39,57.5,2.11
QP25_QP42,53.81,3.23,QP25_QP42,58.61,6.28,QP25_QP42,54.66,1.72
QP25_QP45,53.41,2.88,QP25_QP45,56.98,6.19,QP25_QP45,56.67,2.61
QP30_QP32,62.78,5.43,QP30_QP32,63.17,4.6,QP30_QP32,61.33,3.41
QP30_QP39,60.5,5.02,QP30_QP39,64.43,5.89,QP30_QP39,57.5,1.96
QP30_QP42,56.2,4.26,QP30_QP42,62.22,6.0,QP30_QP42,57.67,2.11
QP30_QP45,56.35,2.5,QP30_QP45,59.8,3.46,QP30_QP45,57.83,2.61
QP32_QP39,60.41,4.82,QP32_QP39,65.67,4.92,QP32_QP39,60.67,1.41
QP32_QP42,55.02,3.52,QP32_QP42,64.85,5.53,QP32_QP42,59.5,1.93
QP32_QP45,56.65,3.22,QP32_QP45,56.91,2.64,QP32_QP45,57.84,2.23
QP35_QP39,61.22,3.82,QP35_QP39,64.78,4.95,QP35_QP39,59.0,2.51
QP35_QP42,57.5,3.71,QP35_QP42,64.22,5.4,QP35_QP42,60.33,2.58
QP35_QP45,55.68,3.83,QP35_QP45,57.61,5.14,QP35_QP45,59.83,2.99
