Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score
RBF1,97.78,61.48,79.63,2.47,83.33,75.0
RBF2,99.26,89.26,94.26,2.78,96.67,88.33
RBF3,66.3,84.07,75.19,2.56,80.0,71.67
RBF4,100.0,93.33,96.67,1.44,98.33,95.0
RBF5,75.56,89.26,82.41,3.64,86.67,76.67
RBF6,71.11,84.81,77.96,7.21,86.67,63.33
RBF7,99.26,98.15,98.7,0.73,100.0,98.33
RBF8,86.3,92.59,89.44,5.53,96.67,80.0
RBF9,73.7,85.93,79.81,5.3,88.33,71.67
RBF10,71.85,88.89,80.37,6.5,90.0,71.67
RBF11,61.11,93.7,77.41,7.13,86.67,66.67
RBF12,98.89,99.63,99.26,0.88,100.0,98.33
RBF13,80.74,100.0,90.37,5.58,98.33,81.67
RBF14,75.19,100.0,87.59,6.57,95.0,80.0
RBF15,77.78,100.0,88.89,7.12,96.67,80.0
RBF16,74.07,100.0,87.04,8.41,96.67,76.67
RBF17,42.22,99.26,70.74,13.47,91.67,51.67
RBF18,98.89,97.41,98.15,1.3,100.0,96.67
RBF19,84.07,99.63,91.85,5.49,98.33,83.33
RBF20,72.22,100.0,86.11,7.5,95.0,76.67
RBF21,80.37,100.0,90.19,5.86,96.67,83.33
RBF22,74.07,100.0,87.04,7.98,95.0,76.67
RBF23,60.0,99.63,79.81,12.43,95.0,61.67
RBF24,99.26,98.15,98.7,1.11,100.0,96.67
RBF25,69.63,100.0,84.81,6.32,95.0,78.33
RBF26,67.78,100.0,83.89,7.95,96.67,75.0
RBF27,77.04,100.0,88.52,7.24,96.67,80.0
RBF28,65.93,100.0,82.96,9.42,95.0,68.33
RBF29,63.33,100.0,81.67,12.72,100.0,61.67
RBF30,55.19,98.89,77.04,11.9,93.33,61.67
RBF31,90.37,100.0,95.19,3.86,100.0,88.33
RBF32,80.37,100.0,90.19,5.62,96.67,83.33
RBF33,72.22,100.0,86.11,7.68,96.67,75.0
RBF34,82.59,100.0,91.3,5.39,96.67,83.33
RBF35,68.15,100.0,84.07,8.46,95.0,70.0
RBF36,61.11,100.0,80.56,13.67,100.0,60.0
RBF37,58.52,100.0,79.26,12.67,98.33,63.33
RBF38,77.04,89.63,83.33,7.68,91.67,75.0
RBF39,95.19,100.0,97.59,3.55,100.0,91.67
RBF40,74.07,100.0,87.04,7.16,98.33,80.0
RBF41,75.19,100.0,87.59,7.17,96.67,76.67
RBF42,82.96,100.0,91.48,6.26,98.33,83.33
RBF43,75.56,100.0,87.78,5.65,95.0,80.0
RBF44,72.22,100.0,86.11,11.76,100.0,66.67
RBF45,67.04,100.0,83.52,10.72,100.0,70.0
RBF46,82.59,94.44,88.52,9.33,100.0,75.0
RBF47,45.19,99.26,72.22,13.64,96.67,55.0
RBF48,78.89,100.0,89.44,9.68,98.33,75.0
RBF49,71.11,100.0,85.56,7.26,93.33,73.33
RBF50,75.93,100.0,87.96,6.81,98.33,80.0
RBF51,88.52,100.0,94.26,3.74,98.33,90.0
RBF52,74.44,100.0,87.22,6.77,96.67,78.33
RBF53,74.81,100.0,87.41,9.86,100.0,71.67
RBF54,64.81,98.52,81.67,13.15,98.33,63.33
RBF55,69.63,98.15,83.89,9.05,100.0,73.33
RBF56,64.07,98.15,81.11,14.39,98.33,61.67
RBF57,69.63,91.11,80.37,11.72,96.67,63.33
RBF58,87.78,69.63,78.7,3.61,83.33,71.67
RBF59,54.07,87.41,70.74,4.5,80.0,66.67
RBF60,62.96,90.37,76.67,8.33,86.67,65.0
RBF61,67.04,90.37,78.7,7.35,88.33,70.0
RBF62,63.7,95.93,79.81,8.1,90.0,68.33
RBF63,34.81,93.7,64.26,10.41,81.67,51.67
RBF64,46.67,90.74,68.7,9.92,80.0,56.67
RBF65,62.96,85.56,74.26,7.64,83.33,61.67
RBF66,60.0,81.48,70.74,8.04,80.0,60.0
RBF67,53.33,88.15,70.74,11.7,81.67,53.33
RBF68,50.0,66.67,58.33,4.79,65.0,51.67
RBF69,52.59,57.78,55.19,2.12,58.33,51.67
RBF70,51.48,54.81,53.15,3.06,58.33,48.33
RBF71,30.74,72.59,51.67,2.2,55.0,48.33
RBF72,33.33,64.81,49.07,2.52,53.33,46.67
RBF73,55.56,57.78,56.67,4.64,65.0,48.33
RBF74,44.44,60.37,52.41,3.45,58.33,46.67
RBF75,62.59,43.33,52.96,2.0,56.67,50.0
RBF76,67.78,74.81,71.3,8.57,81.67,58.33
RBF77,67.78,53.33,60.56,2.89,65.0,56.67
RBF78,41.11,75.56,58.33,3.63,65.0,53.33
RBF79,31.11,86.3,58.7,5.51,68.33,51.67
RBF80,50.0,58.52,54.26,3.64,58.33,50.0
RBF81,55.93,62.59,59.26,2.37,63.33,56.67
RBF82,34.81,68.89,51.85,3.38,58.33,48.33
RBF83,47.04,52.22,49.63,2.17,53.33,46.67
RBF84,53.33,62.96,58.15,2.82,63.33,53.33
RBF85,43.33,83.7,63.52,7.09,71.67,51.67
RBF86,51.48,65.56,58.52,3.86,65.0,53.33
RBF87,48.52,65.19,56.85,1.55,58.33,55.0
RBF88,42.22,60.74,51.48,2.82,55.0,46.67
RBF89,61.11,48.52,54.81,3.67,58.33,46.67
RBF90,41.11,89.26,65.19,8.88,75.0,51.67
RBF91,52.22,73.7,62.96,6.11,73.33,55.0
RBF92,56.3,73.7,65.0,2.2,68.33,61.67
RBF93,39.63,74.07,56.85,3.67,61.67,51.67
RBF94,65.93,49.63,57.78,2.04,61.67,55.0
RBF95,44.44,86.67,65.56,7.12,75.0,53.33
RBF96,58.89,74.81,66.85,1.76,68.33,63.33
RBF97,40.0,75.19,57.59,2.65,61.67,55.0
RBF98,61.85,49.26,55.56,4.08,61.67,48.33
RBF99,55.93,78.15,67.04,3.89,71.67,60.0
RBF100,47.04,70.37,58.7,1.82,61.67,56.67
RBF101,57.78,57.04,57.41,4.26,63.33,50.0
