Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score,Average AUC,AUC STD,Max AUC,Min AUC
RBF1,100.0,58.52,79.26,1.69,81.67,76.67,0.93,0.02,0.95,0.9
RBF2,99.63,97.41,98.52,2.42,100.0,93.33,1.0,0.0,1.0,0.99
RBF3,81.85,67.04,74.44,4.17,80.0,68.33,0.83,0.02,0.86,0.79
RBF4,94.81,99.26,97.04,1.82,98.33,93.33,1.0,0.01,1.0,0.98
RBF5,77.41,79.26,78.33,1.86,80.0,75.0,0.87,0.03,0.91,0.81
RBF6,82.22,71.48,76.85,3.58,81.67,71.67,0.89,0.02,0.92,0.86
RBF7,98.15,98.52,98.33,2.76,100.0,91.67,1.0,0.0,1.0,0.99
RBF8,85.93,80.37,83.15,3.17,88.33,80.0,0.93,0.02,0.96,0.89
RBF9,82.22,80.0,81.11,5.59,88.33,70.0,0.91,0.03,0.94,0.87
RBF10,77.41,84.07,80.74,2.65,85.0,76.67,0.91,0.02,0.93,0.87
RBF11,72.59,84.07,78.33,2.64,81.67,73.33,0.87,0.04,0.92,0.82
RBF12,97.78,98.52,98.15,2.42,100.0,95.0,1.0,0.0,1.0,0.99
RBF13,67.41,98.15,82.78,2.89,86.67,80.0,0.97,0.01,0.98,0.95
RBF14,76.3,97.41,86.85,4.96,95.0,80.0,0.97,0.02,1.0,0.94
RBF15,84.44,93.7,89.07,5.41,100.0,81.67,0.97,0.03,1.0,0.92
RBF16,84.07,91.11,87.59,4.42,93.33,80.0,0.94,0.05,0.99,0.86
RBF17,85.93,77.78,81.85,2.42,85.0,78.33,0.9,0.05,0.94,0.81
RBF18,97.78,97.78,97.78,2.64,100.0,93.33,1.0,0.0,1.0,0.99
RBF19,21.85,98.52,60.19,3.17,66.67,56.67,0.95,0.03,0.98,0.9
RBF20,82.22,95.93,89.07,4.01,96.67,83.33,0.98,0.02,1.0,0.93
RBF21,84.81,96.67,90.74,4.5,100.0,85.0,0.98,0.03,1.0,0.93
RBF22,85.93,92.96,89.44,6.72,96.67,76.67,0.96,0.05,1.0,0.88
RBF23,90.0,90.74,90.37,6.28,96.67,81.67,0.95,0.06,1.0,0.86
RBF24,99.26,100.0,99.63,0.73,100.0,98.33,1.0,0.0,1.0,1.0
RBF25,72.59,94.81,83.7,1.82,85.0,80.0,0.96,0.01,0.98,0.94
RBF26,80.74,96.67,88.7,4.23,96.67,81.67,0.99,0.01,1.0,0.97
RBF27,84.44,98.52,91.48,4.12,100.0,85.0,0.99,0.02,1.0,0.95
RBF28,87.41,97.04,92.22,4.79,98.33,85.0,0.97,0.03,1.0,0.93
RBF29,87.41,96.67,92.04,5.05,96.67,85.0,0.96,0.05,1.0,0.89
RBF30,80.0,81.48,80.74,6.13,86.67,70.0,0.88,0.06,0.93,0.78
RBF31,97.41,98.89,98.15,2.56,100.0,93.33,1.0,0.0,1.0,0.99
RBF32,74.44,99.26,86.85,3.38,91.67,81.67,0.98,0.01,1.0,0.97
RBF33,79.26,100.0,89.63,4.31,98.33,83.33,1.0,0.01,1.0,0.98
RBF34,83.7,99.26,91.48,4.12,100.0,85.0,0.99,0.01,1.0,0.98
RBF35,85.93,98.89,92.41,3.45,98.33,88.33,0.98,0.03,1.0,0.93
RBF36,86.3,97.41,91.85,4.52,96.67,85.0,0.97,0.04,1.0,0.91
RBF37,76.3,98.52,87.41,5.6,95.0,78.33,0.95,0.05,1.0,0.86
RBF38,78.15,72.59,75.37,7.01,81.67,65.0,0.84,0.07,0.91,0.73
RBF39,90.74,99.26,95.0,4.08,100.0,90.0,1.0,0.01,1.0,0.98
RBF40,56.3,99.26,77.78,2.36,81.67,75.0,0.97,0.01,0.99,0.95
RBF41,79.26,99.63,89.44,2.64,93.33,85.0,1.0,0.0,1.0,0.99
RBF42,85.19,99.26,92.22,3.54,100.0,86.67,0.99,0.02,1.0,0.96
RBF43,86.3,98.89,92.59,3.64,98.33,86.67,0.98,0.03,1.0,0.93
RBF44,83.7,98.52,91.11,4.41,96.67,85.0,0.96,0.05,1.0,0.9
RBF45,77.78,98.89,88.33,7.36,98.33,76.67,0.95,0.05,1.0,0.87
RBF46,88.15,92.96,90.56,7.77,98.33,78.33,0.95,0.06,1.0,0.86
RBF47,76.3,84.81,80.56,7.26,88.33,70.0,0.89,0.05,0.93,0.81
RBF48,95.93,97.78,96.85,3.58,100.0,88.33,1.0,0.01,1.0,0.98
RBF49,21.85,100.0,60.93,4.8,73.33,56.67,0.93,0.03,0.97,0.86
RBF50,71.85,100.0,85.93,5.47,95.0,78.33,0.99,0.01,1.0,0.98
RBF51,90.37,99.26,94.81,3.58,100.0,86.67,1.0,0.01,1.0,0.98
RBF52,86.3,99.63,92.96,3.09,98.33,88.33,0.98,0.02,1.0,0.95
RBF53,87.78,97.78,92.78,4.08,98.33,86.67,0.97,0.04,1.0,0.91
RBF54,79.26,98.89,89.07,8.08,98.33,76.67,0.94,0.07,1.0,0.85
RBF55,83.7,99.26,91.48,5.49,96.67,83.33,0.97,0.05,1.0,0.88
RBF56,78.52,98.15,88.33,5.07,96.67,80.0,0.94,0.05,1.0,0.86
RBF57,74.44,88.89,81.67,4.56,88.33,75.0,0.89,0.06,0.97,0.8
RBF58,98.52,72.22,85.37,6.6,93.33,75.0,0.97,0.02,0.98,0.93
RBF59,67.04,92.96,80.0,2.2,81.67,75.0,0.9,0.02,0.92,0.86
RBF60,81.11,91.11,86.11,2.76,90.0,81.67,0.96,0.02,0.98,0.92
RBF61,84.07,84.81,84.44,3.91,88.33,78.33,0.92,0.03,0.95,0.86
RBF62,75.56,82.22,78.89,3.0,81.67,73.33,0.88,0.04,0.92,0.83
RBF63,82.22,73.7,77.96,6.0,85.0,68.33,0.87,0.05,0.91,0.78
RBF64,77.41,81.48,79.44,5.83,88.33,71.67,0.88,0.06,0.93,0.78
RBF65,82.22,64.81,73.52,4.67,78.33,66.67,0.84,0.08,0.91,0.72
RBF66,71.85,78.15,75.0,5.34,80.0,66.67,0.83,0.06,0.88,0.73
RBF67,65.19,73.7,69.44,5.07,76.67,61.67,0.77,0.06,0.83,0.67
RBF68,72.96,56.67,64.81,3.17,70.0,58.33,0.72,0.02,0.73,0.69
RBF69,58.52,57.41,57.96,2.86,61.67,51.67,0.62,0.01,0.64,0.6
RBF70,76.3,34.81,55.56,2.64,60.0,51.67,0.57,0.01,0.58,0.56
RBF71,75.56,37.41,56.48,3.06,61.67,51.67,0.58,0.01,0.6,0.57
RBF72,63.7,40.37,52.04,2.98,58.33,48.33,0.57,0.02,0.59,0.53
RBF73,59.63,44.81,52.22,5.14,58.33,46.67,0.58,0.03,0.61,0.52
RBF74,63.7,55.56,59.63,3.61,63.33,51.67,0.59,0.01,0.61,0.58
RBF75,73.7,21.48,47.59,1.69,50.0,45.0,0.48,0.03,0.54,0.45
RBF76,78.15,77.04,77.59,3.34,83.33,73.33,0.9,0.02,0.92,0.86
RBF77,61.48,71.11,66.3,2.0,70.0,63.33,0.77,0.02,0.8,0.74
RBF78,75.19,50.74,62.96,1.82,66.67,61.67,0.71,0.01,0.73,0.71
RBF79,58.89,63.7,61.3,1.82,65.0,60.0,0.66,0.02,0.69,0.65
RBF80,74.07,38.52,56.3,3.2,60.0,50.0,0.65,0.02,0.67,0.61
RBF81,48.89,61.11,55.0,3.63,61.67,51.67,0.58,0.01,0.6,0.56
RBF82,67.04,49.63,58.33,3.54,61.67,51.67,0.61,0.02,0.64,0.58
RBF83,71.85,31.85,51.85,2.56,55.0,46.67,0.5,0.03,0.53,0.45
RBF84,86.3,42.22,64.26,2.52,70.0,61.67,0.74,0.03,0.78,0.68
RBF85,72.96,71.85,72.41,2.06,75.0,68.33,0.78,0.02,0.8,0.77
RBF86,69.63,65.19,67.41,1.88,70.0,63.33,0.73,0.03,0.77,0.68
RBF87,62.96,58.52,60.74,5.21,68.33,53.33,0.66,0.03,0.7,0.6
RBF88,66.67,45.19,55.93,4.26,61.67,48.33,0.59,0.02,0.61,0.55
RBF89,73.33,26.3,49.81,2.27,53.33,46.67,0.53,0.02,0.56,0.48
RBF90,84.44,49.26,66.85,2.82,71.67,63.33,0.77,0.02,0.8,0.75
RBF91,74.07,58.89,66.48,2.42,70.0,61.67,0.75,0.04,0.8,0.7
RBF92,83.7,36.3,60.0,5.14,68.33,55.0,0.65,0.05,0.72,0.55
RBF93,71.85,51.11,61.48,2.27,65.0,58.33,0.67,0.04,0.7,0.6
RBF94,65.56,45.93,55.74,2.78,60.0,51.67,0.55,0.03,0.58,0.51
RBF95,80.37,54.07,67.22,5.77,71.67,53.33,0.76,0.03,0.79,0.72
RBF96,69.63,68.52,69.07,3.13,73.33,63.33,0.75,0.03,0.78,0.68
RBF97,74.07,50.37,62.22,2.5,66.67,58.33,0.71,0.02,0.73,0.66
RBF98,72.96,42.59,57.78,5.14,66.67,48.33,0.61,0.04,0.67,0.52
RBF99,88.52,38.15,63.33,3.12,70.0,60.0,0.7,0.03,0.75,0.65
RBF100,71.48,42.22,56.85,2.69,60.0,51.67,0.63,0.03,0.66,0.57
RBF101,77.04,33.7,55.37,3.8,60.0,46.67,0.61,0.03,0.65,0.55
RBF102,73.7,61.11,67.41,5.21,71.67,55.0,0.77,0.04,0.81,0.69
RBF103,76.3,43.33,59.81,1.94,61.67,56.67,0.68,0.02,0.71,0.64
RBF104,74.07,35.56,54.81,2.42,56.67,51.67,0.58,0.02,0.6,0.55
RBF105,68.15,70.74,69.44,5.2,75.0,61.67,0.73,0.05,0.78,0.65
RBF106,66.3,40.0,53.15,3.67,58.33,48.33,0.58,0.02,0.62,0.55
LINEAR1,92.59,84.07,88.33,4.0,91.67,78.33,0.95,0.01,0.96,0.93
LINEAR2,92.59,96.3,94.44,2.36,96.67,91.67,0.99,0.01,1.0,0.98
LINEAR3,80.37,80.0,80.19,5.68,85.0,66.67,0.84,0.01,0.85,0.81
LINEAR4,88.89,97.41,93.15,2.12,95.0,90.0,0.98,0.01,0.99,0.96
LINEAR5,80.37,80.74,80.56,1.67,83.33,78.33,0.85,0.02,0.87,0.79
LINEAR6,79.63,89.26,84.44,4.79,88.33,73.33,0.93,0.02,0.95,0.87
LINEAR7,80.74,94.81,87.78,6.24,95.0,80.0,0.97,0.0,0.98,0.96
LINEAR8,93.7,69.26,81.48,2.42,85.0,78.33,0.91,0.01,0.92,0.89
LINEAR9,59.63,92.96,76.3,7.4,85.0,68.33,0.94,0.01,0.95,0.92
LINEAR10,52.22,96.67,74.44,6.4,83.33,68.33,0.92,0.01,0.93,0.89
LINEAR11,73.33,92.59,82.96,5.45,90.0,75.0,0.94,0.01,0.95,0.93
LINEAR12,62.22,89.26,75.74,11.73,90.0,61.67,0.9,0.02,0.94,0.87
LINEAR13,84.44,94.81,89.63,2.0,91.67,86.67,0.94,0.01,0.95,0.91
LINEAR14,55.19,100.0,77.59,11.21,96.67,65.0,1.0,0.0,1.0,0.99
