Model,Average Test Score Mean,Average Test Score Std,Average AUC,Model,Average Test Score Mean,Average Test Score Std,Average AUC,Model,Average Test Score Mean,Average Test Score Std,Average AUC
QP10_QP5,71.54,7.75,0.89,QP10_QP5,74.91,8.63,0.921,QP10_QP5,59.67,3.41,0.53
QP15_QP5,94.24,3.16,0.99,QP15_QP5,92.54,6.36,0.976,QP15_QP5,87.67,3.62,0.859
QP15_QP10,73.33,4.22,0.826,QP15_QP10,71.94,6.74,0.817,QP15_QP10,52.34,1.79,0.42800000000000005
QP20_QP5,95.19,2.04,0.993,QP20_QP5,94.07,3.54,0.9800000000000001,QP20_QP5,87.0,4.14,0.9039999999999999
QP20_QP10,82.43,4.63,0.914,QP20_QP10,77.7,7.13,0.891,QP20_QP10,77.67,4.32,0.8130000000000001
QP20_QP16,75.72,4.12,0.869,QP20_QP16,77.16,7.69,0.925,QP20_QP16,53.0,1.05,0.41900000000000004
QP25_QP5,96.33,2.04,0.9949999999999999,QP25_QP5,91.59,4.91,0.975,QP25_QP5,93.0,3.31,0.9629999999999999
QP25_QP10,87.57,3.61,0.954,QP25_QP10,83.44,6.35,0.9279999999999999,QP25_QP10,91.0,3.7,0.9390000000000001
QP25_QP16,80.59,5.47,0.9179999999999999,QP25_QP16,79.5,8.17,0.954,QP25_QP16,75.33,4.57,0.768
QP25_QP20,77.17,4.3,0.9,QP25_QP20,78.22,10.15,0.944,QP25_QP20,68.66,3.12,0.678
QP25_QP24,77.26,4.45,0.8720000000000001,QP25_QP24,80.09,6.42,0.9390000000000001,QP25_QP24,58.0,2.05,0.528
QP30_QP5,94.56,3.89,0.994,QP30_QP5,88.37,9.41,0.967,QP30_QP5,99.33,0.86,1.0
QP30_QP10,91.28,4.82,0.984,QP30_QP10,89.33,7.36,0.9650000000000001,QP30_QP10,99.83,0.53,0.999
QP30_QP16,91.93,3.46,0.984,QP30_QP16,90.52,9.79,0.998,QP30_QP16,98.67,1.31,0.985
QP30_QP20,89.7,4.43,0.974,QP30_QP20,94.02,3.29,0.993,QP30_QP20,98.17,1.46,0.99
QP30_QP24,89.18,3.43,0.96,QP30_QP24,94.35,2.0,0.9949999999999999,QP30_QP24,99.0,0.86,0.9890000000000001
QP30_QP27,78.07,6.33,0.89,QP30_QP27,81.65,5.49,0.946,QP30_QP27,84.67,3.02,0.89
QP32_QP5,95.02,3.46,0.9970000000000001,QP32_QP5,87.26,9.53,0.967,QP32_QP5,100.0,0.0,1.0
QP32_QP10,87.67,11.14,0.984,QP32_QP10,88.65,5.82,0.962,QP32_QP10,99.83,0.53,1.0
QP32_QP16,93.54,2.26,0.9879999999999999,QP32_QP16,91.44,6.68,0.998,QP32_QP16,99.33,0.86,0.99
QP32_QP20,91.5,5.56,0.9810000000000001,QP32_QP20,94.09,3.32,0.9970000000000001,QP32_QP20,99.0,0.86,0.999
QP32_QP24,90.63,3.97,0.97,QP32_QP24,95.17,3.0,0.9970000000000001,QP32_QP24,99.16,0.88,0.991
QP32_QP27,87.04,5.77,0.9410000000000001,QP32_QP27,90.02,5.7,0.983,QP32_QP27,98.33,1.36,0.9879999999999999
