Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score,Average AUC,AUC STD,Max AUC,Min AUC
RBF1,93.7,7.78,50.74,2.52,53.33,46.67,0.76,0.06,0.84,0.69
RBF2,97.04,38.15,67.59,2.22,71.67,65.0,0.91,0.04,0.97,0.85
RBF3,92.22,30.0,61.11,3.63,66.67,53.33,0.74,0.08,0.81,0.62
RBF4,95.19,43.33,69.26,2.37,71.67,66.67,0.9,0.07,0.99,0.79
RBF5,96.67,21.48,59.07,4.57,63.33,51.67,0.77,0.12,0.92,0.6
RBF6,84.44,5.93,45.19,2.82,48.33,40.0,0.56,0.03,0.61,0.51
RBF7,95.19,72.59,83.89,3.33,88.33,78.33,0.96,0.04,1.0,0.89
RBF8,96.67,22.59,59.63,4.47,65.0,51.67,0.78,0.15,0.93,0.59
RBF9,70.0,25.56,47.78,4.08,53.33,41.67,0.51,0.08,0.63,0.41
RBF10,85.56,25.19,55.37,5.19,61.67,46.67,0.68,0.15,0.8,0.47
RBF11,74.44,47.78,61.11,3.12,65.0,56.67,0.67,0.05,0.72,0.59
RBF12,95.56,97.41,96.48,2.42,100.0,93.33,0.98,0.03,1.0,0.93
RBF13,96.67,68.89,82.78,9.43,95.0,70.0,0.95,0.06,1.0,0.87
RBF14,79.63,81.48,80.56,5.14,86.67,70.0,0.86,0.05,0.91,0.79
RBF15,84.81,53.7,69.26,5.28,76.67,61.67,0.82,0.11,0.93,0.66
RBF16,75.19,55.19,65.19,2.94,68.33,58.33,0.72,0.07,0.79,0.62
RBF17,91.85,61.11,76.48,5.3,81.67,66.67,0.86,0.08,0.96,0.73
RBF18,95.19,97.04,96.11,2.76,100.0,93.33,0.98,0.03,1.0,0.92
RBF19,97.04,76.67,86.85,5.68,93.33,78.33,0.97,0.04,1.0,0.92
RBF20,71.85,90.74,81.3,7.35,88.33,66.67,0.82,0.08,0.93,0.72
RBF21,85.19,57.04,71.11,4.56,76.67,65.0,0.83,0.09,0.92,0.7
RBF22,75.56,61.11,68.33,3.54,73.33,63.33,0.72,0.08,0.8,0.61
RBF23,91.85,40.74,66.3,5.82,73.33,56.67,0.82,0.12,0.95,0.64
RBF24,95.19,92.59,93.89,4.56,100.0,88.33,0.98,0.03,1.0,0.92
RBF25,98.52,97.04,97.78,1.86,100.0,95.0,0.99,0.02,1.0,0.97
RBF26,72.59,98.89,85.74,4.09,90.0,80.0,0.84,0.08,0.96,0.72
RBF27,84.81,78.15,81.48,5.92,88.33,73.33,0.87,0.07,0.94,0.76
RBF28,74.81,58.89,66.85,2.69,70.0,63.33,0.74,0.06,0.81,0.64
RBF29,91.85,51.85,71.85,6.99,81.67,63.33,0.84,0.13,0.98,0.64
RBF30,77.41,31.48,54.44,3.33,60.0,50.0,0.66,0.13,0.8,0.47
RBF31,95.19,92.22,93.7,3.31,98.33,88.33,0.97,0.03,1.0,0.92
RBF32,96.3,90.0,93.15,5.3,100.0,86.67,0.98,0.02,1.0,0.95
RBF33,85.19,97.78,91.48,2.12,93.33,86.67,0.94,0.05,0.99,0.86
RBF34,85.19,93.7,89.44,4.86,95.0,81.67,0.89,0.06,0.96,0.79
RBF35,75.93,84.07,80.0,4.86,88.33,75.0,0.79,0.07,0.87,0.68
RBF36,91.85,53.7,72.78,6.97,81.67,63.33,0.89,0.11,0.99,0.73
RBF37,74.07,49.26,61.67,7.07,71.67,51.67,0.71,0.14,0.85,0.52
RBF38,83.7,24.07,53.89,5.0,60.0,46.67,0.63,0.15,0.82,0.43
RBF39,95.19,90.74,92.96,4.91,98.33,86.67,0.97,0.03,1.0,0.91
RBF40,98.52,92.59,95.56,4.86,100.0,85.0,0.98,0.02,1.0,0.96
RBF41,71.85,95.56,83.7,4.39,88.33,76.67,0.85,0.07,0.97,0.76
RBF42,85.19,90.0,87.59,3.92,91.67,81.67,0.88,0.06,0.96,0.8
RBF43,76.67,88.52,82.59,3.45,86.67,76.67,0.8,0.06,0.89,0.71
RBF44,93.7,67.78,80.74,1.21,83.33,80.0,0.93,0.03,0.98,0.89
RBF45,75.56,46.67,61.11,6.77,68.33,51.67,0.72,0.14,0.86,0.53
RBF46,85.56,39.26,62.41,6.24,71.67,53.33,0.8,0.15,0.94,0.56
RBF47,83.33,30.0,56.67,4.56,61.67,48.33,0.76,0.14,0.92,0.53
RBF48,95.93,98.89,97.41,2.22,100.0,93.33,0.98,0.02,1.0,0.94
RBF49,98.52,92.59,95.56,2.76,100.0,91.67,0.99,0.02,1.0,0.97
RBF50,87.78,98.52,93.15,2.82,96.67,90.0,0.96,0.03,1.0,0.89
RBF51,85.19,85.56,85.37,5.12,91.67,78.33,0.89,0.06,0.96,0.79
RBF52,75.93,86.3,81.11,3.33,85.0,75.0,0.8,0.06,0.88,0.71
RBF53,91.48,87.04,89.26,6.35,98.33,76.67,0.94,0.06,1.0,0.83
RBF54,74.44,57.78,66.11,5.14,71.67,58.33,0.76,0.11,0.86,0.6
RBF55,87.04,30.0,58.52,8.88,70.0,45.0,0.77,0.2,0.94,0.48
RBF56,80.74,29.26,55.0,5.14,61.67,48.33,0.77,0.17,0.93,0.55
RBF57,90.0,40.0,65.0,4.08,70.0,58.33,0.86,0.06,0.93,0.74
RBF58,92.96,30.0,61.48,2.82,65.0,58.33,0.88,0.05,0.97,0.82
RBF59,88.52,63.7,76.11,2.36,80.0,73.33,0.87,0.05,0.91,0.76
RBF60,66.67,10.74,38.7,4.06,43.33,33.33,0.54,0.07,0.65,0.46
RBF61,82.22,15.56,48.89,4.93,55.0,41.67,0.7,0.14,0.83,0.51
RBF62,81.48,30.37,55.93,4.57,63.33,48.33,0.68,0.05,0.74,0.62
RBF63,86.67,84.81,85.74,3.64,93.33,80.0,0.87,0.04,0.95,0.79
RBF64,81.48,57.78,69.63,7.49,76.67,60.0,0.72,0.11,0.82,0.57
RBF65,82.22,22.96,52.59,4.34,60.0,48.33,0.54,0.08,0.68,0.45
RBF66,94.44,21.85,58.15,1.76,61.67,56.67,0.75,0.12,0.88,0.58
RBF67,92.22,31.85,62.04,1.11,63.33,60.0,0.65,0.05,0.71,0.55
RBF68,66.67,25.93,46.3,2.98,51.67,43.33,0.45,0.04,0.5,0.4
RBF69,80.0,14.81,47.41,4.09,51.67,41.67,0.5,0.07,0.59,0.41
RBF70,78.52,27.41,52.96,4.31,60.0,48.33,0.52,0.01,0.54,0.5
RBF71,71.48,33.33,52.41,4.72,63.33,48.33,0.59,0.03,0.65,0.55
RBF72,76.3,21.85,49.07,3.83,55.0,45.0,0.49,0.02,0.52,0.45
RBF73,74.81,30.0,52.41,4.26,58.33,46.67,0.51,0.03,0.55,0.47
RBF74,92.59,10.74,51.67,2.64,55.0,46.67,0.54,0.03,0.57,0.48
RBF75,94.07,11.85,52.96,1.62,55.0,51.67,0.44,0.04,0.5,0.4
RBF76,66.67,10.0,38.33,1.67,40.0,35.0,0.44,0.06,0.56,0.39
RBF77,82.59,17.41,50.0,3.54,56.67,45.0,0.52,0.08,0.62,0.41
RBF78,80.0,24.44,52.22,1.67,55.0,50.0,0.54,0.05,0.6,0.47
RBF79,90.0,18.89,54.44,2.89,58.33,48.33,0.52,0.04,0.57,0.46
RBF80,83.7,18.89,51.3,2.32,55.0,46.67,0.52,0.04,0.56,0.47
RBF81,76.3,25.56,50.93,2.52,55.0,46.67,0.47,0.02,0.5,0.44
RBF82,86.67,21.48,54.07,3.74,58.33,46.67,0.49,0.01,0.51,0.48
RBF83,90.0,12.96,51.48,3.17,55.0,45.0,0.48,0.02,0.51,0.46
RBF84,83.33,21.85,52.59,2.06,55.0,50.0,0.52,0.03,0.57,0.48
RBF85,91.48,24.81,58.15,2.69,61.67,53.33,0.62,0.02,0.64,0.6
RBF86,82.59,19.26,50.93,4.18,58.33,45.0,0.5,0.03,0.53,0.47
RBF87,88.52,15.93,52.22,0.83,53.33,51.67,0.47,0.02,0.51,0.44
RBF88,85.19,27.78,56.48,3.27,61.67,51.67,0.52,0.03,0.58,0.49
RBF89,91.85,14.07,52.96,1.82,55.0,50.0,0.49,0.03,0.53,0.44
RBF90,90.0,35.19,62.59,2.22,66.67,60.0,0.69,0.03,0.73,0.64
RBF91,80.37,20.0,50.19,1.76,53.33,46.67,0.46,0.03,0.5,0.43
RBF92,78.15,12.59,45.37,2.98,48.33,41.67,0.37,0.03,0.43,0.33
RBF93,85.93,16.67,51.3,3.31,55.0,45.0,0.58,0.02,0.61,0.56
RBF94,88.52,17.04,52.78,2.89,58.33,48.33,0.47,0.05,0.53,0.39
RBF95,78.89,16.67,47.78,3.73,55.0,45.0,0.48,0.05,0.53,0.42
RBF96,76.3,18.89,47.59,2.06,50.0,45.0,0.5,0.05,0.56,0.44
RBF97,90.0,23.7,56.85,3.17,60.0,51.67,0.61,0.05,0.69,0.54
RBF98,84.07,17.78,50.93,2.52,55.0,46.67,0.5,0.04,0.56,0.44
RBF99,84.07,9.26,46.67,4.25,51.67,40.0,0.46,0.05,0.51,0.39
RBF100,88.15,10.37,49.26,4.01,55.0,43.33,0.51,0.05,0.57,0.44
RBF101,89.26,14.44,51.85,3.48,58.33,46.67,0.5,0.01,0.51,0.49
RBF102,65.93,32.59,49.26,5.72,58.33,40.0,0.51,0.07,0.61,0.41
RBF103,91.11,5.19,48.15,1.55,50.0,45.0,0.41,0.03,0.47,0.39
RBF104,93.33,11.48,52.41,2.52,56.67,48.33,0.56,0.03,0.59,0.52
RBF105,84.07,10.37,47.22,4.93,53.33,40.0,0.51,0.1,0.62,0.4
RBF106,82.59,16.3,49.44,3.12,53.33,45.0,0.43,0.02,0.47,0.41
LINEAR1,90.37,13.33,51.85,1.55,53.33,50.0,0.69,0.03,0.73,0.66
LINEAR2,94.07,59.26,76.67,1.67,78.33,75.0,0.93,0.01,0.95,0.92
LINEAR3,100.0,5.93,52.96,1.62,55.0,51.67,0.74,0.04,0.78,0.69
LINEAR4,96.3,61.85,79.07,1.47,81.67,76.67,0.96,0.0,0.96,0.95
LINEAR5,100.0,20.0,60.0,0.0,60.0,60.0,0.94,0.03,0.97,0.91
LINEAR6,100.0,3.33,51.67,0.0,51.67,51.67,0.84,0.03,0.88,0.81
LINEAR7,96.67,90.37,93.52,1.55,95.0,91.67,0.99,0.0,0.99,0.99
LINEAR8,100.0,23.33,61.67,0.0,61.67,61.67,0.96,0.02,0.98,0.94
LINEAR9,100.0,13.33,56.67,0.0,56.67,56.67,0.92,0.01,0.94,0.91
LINEAR10,100.0,6.67,53.33,0.0,53.33,53.33,0.95,0.01,0.96,0.95
LINEAR11,96.67,8.52,52.59,0.88,53.33,51.67,0.84,0.02,0.86,0.82
LINEAR12,96.67,98.15,97.41,0.88,98.33,96.67,1.0,0.0,1.0,1.0
LINEAR13,100.0,72.22,86.11,4.25,90.0,81.67,1.0,0.01,1.0,0.99
LINEAR14,100.0,87.78,93.89,0.83,95.0,93.33,0.99,0.02,1.0,0.96
LINEAR15,100.0,78.89,89.44,3.91,93.33,85.0,1.0,0.0,1.0,0.99
LINEAR16,100.0,79.26,89.63,0.73,90.0,88.33,1.0,0.0,1.0,1.0
LINEAR17,100.0,46.3,73.15,3.86,78.33,68.33,0.96,0.0,0.96,0.96
LINEAR18,96.67,95.56,96.11,1.18,98.33,95.0,1.0,0.0,1.0,0.99
LINEAR19,100.0,77.41,88.7,2.47,91.67,85.0,0.98,0.02,1.0,0.95
LINEAR20,100.0,78.52,89.26,2.52,91.67,86.67,0.97,0.03,1.0,0.94
LINEAR21,100.0,87.78,93.89,3.33,96.67,90.0,1.0,0.0,1.0,0.99
LINEAR22,100.0,76.67,88.33,4.08,91.67,81.67,0.99,0.01,1.0,0.98
LINEAR23,100.0,58.15,79.07,0.88,80.0,78.33,0.99,0.01,1.0,0.98
LINEAR24,97.04,100.0,98.52,1.55,100.0,96.67,1.0,0.0,1.0,1.0
LINEAR25,100.0,88.89,94.44,0.83,95.0,93.33,0.99,0.02,1.0,0.97
LINEAR26,100.0,79.63,89.81,3.17,95.0,86.67,1.0,0.0,1.0,0.99
LINEAR27,100.0,93.7,96.85,1.76,98.33,95.0,1.0,0.0,1.0,1.0
LINEAR28,100.0,89.63,94.81,1.0,96.67,93.33,1.0,0.0,1.0,1.0
LINEAR29,100.0,75.93,87.96,2.61,91.67,85.0,1.0,0.0,1.0,1.0
LINEAR30,100.0,40.37,70.19,0.56,71.67,70.0,0.99,0.01,0.99,0.98
LINEAR31,98.15,93.33,95.74,0.88,96.67,95.0,0.99,0.0,0.99,0.99
LINEAR32,100.0,69.63,84.81,1.0,86.67,83.33,0.97,0.03,1.0,0.93
LINEAR33,100.0,93.7,96.85,1.76,98.33,95.0,0.98,0.01,0.99,0.97
LINEAR34,100.0,88.89,94.44,2.64,96.67,91.67,0.99,0.01,1.0,0.99
LINEAR35,100.0,97.04,98.52,1.76,100.0,96.67,1.0,0.0,1.0,1.0
LINEAR36,100.0,92.59,96.3,2.47,98.33,93.33,1.0,0.0,1.0,1.0
LINEAR37,100.0,74.44,87.22,4.25,91.67,81.67,1.0,0.0,1.0,1.0
LINEAR38,100.0,13.33,56.67,0.0,56.67,56.67,0.91,0.0,0.91,0.9
LINEAR39,98.15,90.0,94.07,0.88,95.0,93.33,0.99,0.0,0.99,0.98
LINEAR40,100.0,81.85,90.93,3.74,95.0,86.67,0.99,0.01,1.0,0.97
LINEAR41,100.0,71.11,85.56,3.33,88.33,81.67,0.98,0.02,1.0,0.95
LINEAR42,100.0,92.59,96.3,1.82,98.33,93.33,1.0,0.0,1.0,1.0
LINEAR43,100.0,98.52,99.26,0.88,100.0,98.33,1.0,0.0,1.0,1.0
LINEAR44,100.0,95.19,97.59,0.88,98.33,96.67,0.98,0.01,0.99,0.97
LINEAR45,100.0,78.15,89.07,3.13,91.67,85.0,0.99,0.01,1.0,0.98
LINEAR46,100.0,78.15,89.07,0.88,90.0,88.33,1.0,0.01,1.0,0.99
LINEAR47,100.0,16.67,58.33,2.2,60.0,55.0,0.97,0.01,0.97,0.96
LINEAR48,96.3,96.67,96.48,1.76,98.33,95.0,0.98,0.01,0.98,0.97
LINEAR49,100.0,90.0,95.0,0.0,95.0,95.0,0.98,0.01,0.99,0.96
LINEAR50,100.0,93.33,96.67,1.44,98.33,95.0,0.98,0.01,1.0,0.97
LINEAR51,100.0,91.85,95.93,0.88,96.67,95.0,1.0,0.0,1.0,1.0
LINEAR52,100.0,93.7,96.85,0.56,98.33,96.67,1.0,0.0,1.0,1.0
LINEAR53,100.0,93.33,96.67,1.44,98.33,95.0,1.0,0.0,1.0,1.0
LINEAR54,100.0,88.52,94.26,1.47,95.0,91.67,1.0,0.0,1.0,1.0
LINEAR55,100.0,81.48,90.74,2.52,93.33,88.33,1.0,0.0,1.0,0.99
LINEAR56,100.0,85.93,92.96,0.73,93.33,91.67,1.0,0.0,1.0,1.0
LINEAR57,100.0,70.37,85.19,3.38,88.33,81.67,0.99,0.01,1.0,0.98
LINEAR58,91.85,16.67,54.26,1.69,56.67,51.67,0.79,0.07,0.86,0.72
LINEAR59,100.0,11.11,55.56,2.64,58.33,53.33,0.84,0.02,0.87,0.82
LINEAR60,100.0,0.0,50.0,0.0,50.0,50.0,0.92,0.02,0.95,0.9
LINEAR61,100.0,3.33,51.67,0.0,51.67,51.67,0.96,0.0,0.97,0.95
LINEAR62,96.67,6.67,51.67,0.0,51.67,51.67,0.86,0.02,0.89,0.84
LINEAR63,77.78,41.85,59.81,1.0,61.67,58.33,0.77,0.03,0.81,0.75
LINEAR64,98.15,12.96,55.56,1.18,56.67,53.33,0.77,0.03,0.81,0.73
LINEAR65,92.96,20.37,56.67,0.0,56.67,56.67,0.78,0.01,0.8,0.76
LINEAR66,96.67,16.3,56.48,0.56,56.67,55.0,0.87,0.02,0.9,0.85
LINEAR67,88.15,36.3,62.22,4.25,66.67,58.33,0.72,0.01,0.73,0.71
LINEAR68,100.0,2.96,51.48,0.56,51.67,50.0,0.61,0.0,0.61,0.6
LINEAR69,100.0,0.0,50.0,0.0,50.0,50.0,0.62,0.0,0.63,0.62
LINEAR70,96.67,3.33,50.0,0.0,50.0,50.0,0.47,0.0,0.48,0.46
LINEAR71,66.67,28.15,47.41,0.88,48.33,46.67,0.5,0.01,0.51,0.48
LINEAR72,96.67,1.85,49.26,0.88,50.0,48.33,0.52,0.0,0.52,0.51
LINEAR73,90.0,20.0,55.0,0.0,55.0,55.0,0.51,0.01,0.53,0.5
LINEAR74,96.67,10.0,53.33,0.0,53.33,53.33,0.49,0.0,0.49,0.48
LINEAR75,96.67,8.52,52.59,0.88,53.33,51.67,0.53,0.0,0.54,0.53
LINEAR76,100.0,0.0,50.0,0.0,50.0,50.0,0.8,0.02,0.83,0.79
LINEAR77,100.0,0.0,50.0,0.0,50.0,50.0,0.67,0.01,0.69,0.66
LINEAR78,94.81,3.33,49.07,0.88,50.0,48.33,0.46,0.01,0.47,0.45
LINEAR79,86.3,13.33,49.81,0.56,50.0,48.33,0.5,0.0,0.5,0.49
LINEAR80,96.67,3.33,50.0,0.0,50.0,50.0,0.47,0.0,0.47,0.46
LINEAR81,80.37,16.3,48.33,0.0,48.33,48.33,0.48,0.0,0.48,0.48
LINEAR82,96.67,9.26,52.96,0.73,53.33,51.67,0.43,0.01,0.44,0.41
LINEAR83,94.81,6.67,50.74,0.88,51.67,50.0,0.46,0.01,0.47,0.45
LINEAR84,96.67,3.33,50.0,0.0,50.0,50.0,0.54,0.01,0.55,0.53
LINEAR85,75.93,41.11,58.52,1.55,60.0,56.67,0.61,0.01,0.62,0.6
LINEAR86,96.67,3.33,50.0,0.0,50.0,50.0,0.44,0.01,0.45,0.42
LINEAR87,90.0,17.04,53.52,1.76,55.0,51.67,0.55,0.01,0.55,0.54
LINEAR88,96.67,3.33,50.0,0.0,50.0,50.0,0.54,0.01,0.56,0.53
LINEAR89,96.67,11.85,54.26,0.88,55.0,53.33,0.48,0.0,0.48,0.47
LINEAR90,78.15,34.81,56.48,1.0,58.33,55.0,0.69,0.01,0.7,0.68
LINEAR91,96.67,7.41,52.04,0.73,53.33,51.67,0.56,0.0,0.57,0.56
LINEAR92,90.0,13.33,51.67,0.0,51.67,51.67,0.51,0.01,0.53,0.5
LINEAR93,96.67,4.81,50.74,0.88,51.67,50.0,0.55,0.0,0.56,0.54
LINEAR94,95.93,13.33,54.63,0.73,55.0,53.33,0.53,0.02,0.55,0.51
LINEAR95,96.67,7.41,52.04,0.73,53.33,51.67,0.64,0.01,0.66,0.63
LINEAR96,90.0,17.04,53.52,1.76,55.0,51.67,0.61,0.01,0.62,0.59
LINEAR97,96.67,6.67,51.67,0.0,51.67,51.67,0.59,0.0,0.59,0.58
LINEAR98,94.81,10.0,52.41,0.88,53.33,51.67,0.52,0.02,0.54,0.49
LINEAR99,97.04,15.19,56.11,0.83,56.67,55.0,0.69,0.01,0.7,0.67
LINEAR100,96.67,11.85,54.26,0.88,55.0,53.33,0.59,0.0,0.6,0.58
LINEAR101,96.67,6.67,51.67,0.0,51.67,51.67,0.52,0.0,0.53,0.52
LINEAR102,90.0,8.15,49.07,0.88,50.0,48.33,0.62,0.01,0.63,0.61
LINEAR103,96.67,3.7,50.19,0.56,51.67,50.0,0.55,0.01,0.56,0.54
LINEAR104,91.85,15.19,53.52,2.12,56.67,50.0,0.53,0.01,0.54,0.51
LINEAR105,96.67,12.22,54.44,2.64,56.67,51.67,0.75,0.01,0.76,0.74
LINEAR106,84.81,26.3,55.56,0.83,56.67,55.0,0.53,0.01,0.54,0.52
OLD1,0.0,0.0,56.67,0.0,56.67,56.67,0.47,0.0,0.47,0.47
OLD2,0.0,0.0,80.0,0.0,80.0,80.0,0.83,0.0,0.83,0.83
OLD3,0.0,0.0,50.0,0.0,50.0,50.0,0.41,0.0,0.41,0.41
OLD4,0.0,0.0,81.67,0.0,81.67,81.67,0.88,0.0,0.88,0.88
OLD5,0.0,0.0,76.67,0.0,76.67,76.67,0.83,0.0,0.83,0.83
