Model,Average Test Score Mean,Average Test Score Std,Model,Average Test Score Mean,Average Test Score Std,Model,Average Test Score Mean,Average Test Score Std
QP10_QP5,51.42,5.76,QP10_QP5,51.33,1.96,QP10_QP5,62.33,4.17
QP15_QP5,70.83,11.27,QP15_QP5,79.78,7.2,QP15_QP5,88.67,3.83
QP15_QP10,54.22,3.27,QP15_QP10,50.54,1.1,QP15_QP10,52.5,1.18
QP20_QP5,72.93,7.39,QP20_QP5,83.02,4.12,QP20_QP5,88.83,3.69
QP20_QP10,59.85,8.23,QP20_QP10,56.11,3.67,QP20_QP10,81.17,4.09
QP20_QP16,47.22,5.53,QP20_QP16,51.63,1.53,QP20_QP16,52.0,1.31
QP25_QP5,82.68,6.69,QP25_QP5,91.8,4.46,QP25_QP5,95.67,1.96
QP25_QP10,69.5,7.53,QP25_QP10,67.7,6.05,QP25_QP10,94.33,3.44
QP25_QP16,59.22,7.0,QP25_QP16,55.72,3.84,QP25_QP16,78.5,3.46
QP25_QP20,59.56,5.85,QP25_QP20,55.11,1.85,QP25_QP20,74.0,3.79
QP25_QP24,53.96,4.66,QP25_QP24,53.04,2.51,QP25_QP24,59.17,2.39
QP30_QP5,94.89,3.09,QP30_QP5,94.26,2.45,QP30_QP5,100.0,0.0
QP30_QP10,88.8,6.66,QP30_QP10,94.72,2.85,QP30_QP10,99.83,0.53
QP30_QP16,83.59,6.21,QP30_QP16,96.76,3.08,QP30_QP16,99.67,0.7
QP30_QP20,75.48,11.0,QP30_QP20,94.91,4.04,QP30_QP20,99.33,0.86
QP30_QP24,79.94,7.75,QP30_QP24,92.09,4.62,QP30_QP24,99.67,0.7
QP30_QP27,67.83,3.36,QP30_QP27,64.82,8.48,QP30_QP27,87.17,2.61
QP32_QP5,94.44,3.36,QP32_QP5,94.3,2.75,QP32_QP5,100.0,0.0
QP32_QP10,91.68,5.09,QP32_QP10,93.41,5.11,QP32_QP10,99.83,0.53
QP32_QP16,87.18,6.7,QP32_QP16,96.55,2.17,QP32_QP16,99.83,0.53
QP32_QP20,80.63,10.23,QP32_QP20,96.31,3.97,QP32_QP20,99.83,0.53
QP32_QP24,76.59,8.15,QP32_QP24,94.04,4.07,QP32_QP24,100.0,0.0
QP32_QP27,73.24,3.54,QP32_QP27,84.63,4.98,QP32_QP27,99.17,1.18
QP35_QP5,95.8,2.84,QP35_QP5,94.58,2.81,QP35_QP5,100.0,0.0
QP35_QP10,95.39,2.23,QP35_QP10,92.15,4.79,QP35_QP10,100.0,0.0
QP35_QP16,90.78,4.79,QP35_QP16,96.63,2.94,QP35_QP16,100.0,0.0
QP35_QP20,87.11,8.04,QP35_QP20,95.65,3.09,QP35_QP20,99.83,0.53
QP35_QP24,81.15,6.6,QP35_QP24,96.68,3.34,QP35_QP24,100.0,0.0
QP35_QP27,75.35,5.03,QP35_QP27,95.18,3.53,QP35_QP27,100.0,0.0
QP35_QP32,58.93,7.59,QP35_QP32,60.87,8.62,QP35_QP32,95.33,2.46
QP40_QP5,94.72,3.11,QP40_QP5,94.41,3.27,QP40_QP5,100.0,0.0
QP40_QP10,95.72,1.39,QP40_QP10,93.35,3.93,QP40_QP10,100.0,0.0
QP40_QP16,91.2,5.1,QP40_QP16,95.06,2.77,QP40_QP16,100.0,0.0
QP40_QP20,90.78,4.87,QP40_QP20,94.98,3.02,QP40_QP20,100.0,0.0
QP40_QP24,85.82,4.57,QP40_QP24,97.78,2.38,QP40_QP24,100.0,0.0
QP40_QP27,78.28,4.74,QP40_QP27,96.94,2.91,QP40_QP27,100.0,0.0
QP40_QP32,66.67,9.36,QP40_QP32,91.95,4.27,QP40_QP32,100.0,0.0
QP40_QP39,59.24,10.02,QP40_QP39,58.45,6.66,QP40_QP39,77.0,3.32
QP45_QP5,95.24,2.65,QP45_QP5,93.42,3.38,QP45_QP5,100.0,0.0
QP45_QP10,95.19,2.89,QP45_QP10,91.44,5.1,QP45_QP10,100.0,0.0
QP45_QP16,92.33,4.71,QP45_QP16,93.96,4.57,QP45_QP16,100.0,0.0
QP45_QP20,92.43,3.17,QP45_QP20,96.39,2.99,QP45_QP20,100.0,0.0
QP45_QP24,87.87,4.67,QP45_QP24,97.91,2.19,QP45_QP24,100.0,0.0
QP45_QP27,83.0,3.07,QP45_QP27,96.65,2.78,QP45_QP27,100.0,0.0
QP45_QP32,65.74,8.31,QP45_QP32,93.5,3.91,QP45_QP32,100.0,0.0
