Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score
RBF1,94.07,10.37,52.22,2.2,55.0,48.33
RBF2,86.3,45.19,65.74,6.93,76.67,55.0
RBF3,90.74,12.59,51.67,3.63,60.0,48.33
RBF4,96.67,57.04,76.85,5.56,88.33,70.0
RBF5,90.74,38.52,64.63,4.31,71.67,60.0
RBF6,91.85,8.89,50.37,2.74,53.33,45.0
RBF7,90.37,72.96,81.67,6.4,91.67,70.0
RBF8,94.07,58.52,76.3,3.09,80.0,71.67
RBF9,92.59,44.44,68.52,3.38,73.33,63.33
RBF10,98.15,32.96,65.56,3.0,70.0,61.67
RBF11,85.19,19.26,52.22,4.08,58.33,46.67
RBF12,96.3,97.04,96.67,4.49,100.0,86.67
RBF13,95.56,87.04,91.3,6.44,100.0,83.33
RBF14,93.33,73.7,83.52,5.62,95.0,78.33
RBF15,95.56,71.85,83.7,4.55,95.0,78.33
RBF16,88.89,61.85,75.37,3.8,83.33,71.67
RBF17,89.26,46.67,67.96,3.51,75.0,63.33
RBF18,91.85,98.15,95.0,4.49,100.0,86.67
RBF19,94.07,91.11,92.59,5.66,100.0,83.33
RBF20,93.33,88.15,90.74,4.01,96.67,83.33
RBF21,95.56,78.89,87.22,5.2,100.0,83.33
RBF22,88.89,55.19,72.04,5.7,85.0,66.67
RBF23,93.33,53.7,73.52,5.62,81.67,66.67
RBF24,93.33,98.89,96.11,3.91,100.0,88.33
RBF25,94.07,94.07,94.07,5.14,100.0,88.33
RBF26,93.33,94.07,93.7,2.74,96.67,90.0
RBF27,95.56,86.3,90.93,4.18,100.0,86.67
RBF28,89.63,61.85,75.74,6.93,90.0,68.33
RBF29,93.33,39.63,66.48,5.68,78.33,60.0
RBF30,91.11,32.59,61.85,1.94,63.33,58.33
RBF31,90.0,99.26,94.63,5.12,100.0,85.0
RBF32,95.56,99.26,97.41,2.78,100.0,93.33
RBF33,93.33,96.67,95.0,1.86,96.67,91.67
RBF34,95.56,96.3,95.93,1.69,100.0,95.0
RBF35,90.37,80.0,85.19,7.09,96.67,76.67
RBF36,92.59,53.7,73.15,8.72,91.67,63.33
RBF37,95.56,56.3,75.93,5.28,85.0,68.33
RBF38,71.48,68.52,70.0,10.44,88.33,56.67
RBF39,95.56,98.15,96.85,2.82,100.0,91.67
RBF40,94.07,96.3,95.19,5.03,100.0,86.67
RBF41,98.89,100.0,99.44,0.83,100.0,98.33
RBF42,95.56,95.19,95.37,1.62,98.33,93.33
RBF43,90.37,83.33,86.85,6.89,100.0,76.67
RBF44,92.59,65.56,79.07,7.82,96.67,70.0
RBF45,94.81,57.04,75.93,7.73,91.67,66.67
RBF46,81.48,68.52,75.0,7.12,83.33,61.67
RBF47,92.22,14.07,53.15,3.06,56.67,46.67
RBF48,94.44,99.26,96.85,2.42,100.0,91.67
RBF49,95.93,98.89,97.41,2.9,100.0,91.67
RBF50,93.33,98.89,96.11,2.76,100.0,91.67
RBF51,95.56,99.63,97.59,1.21,100.0,96.67
RBF52,94.07,95.56,94.81,4.03,100.0,86.67
RBF53,93.33,79.26,86.3,6.86,98.33,75.0
RBF54,95.93,60.37,78.15,10.56,98.33,66.67
RBF55,82.59,45.93,64.26,13.65,86.67,43.33
RBF56,91.11,48.89,70.0,8.04,83.33,58.33
RBF57,92.22,47.41,69.81,4.29,76.67,63.33
RBF58,80.0,30.74,55.37,3.89,61.67,48.33
RBF59,91.85,36.3,64.07,10.48,86.67,51.67
RBF60,91.48,11.48,51.48,9.03,73.33,43.33
RBF61,91.85,21.11,56.48,10.42,83.33,48.33
RBF62,85.19,24.07,54.63,7.98,66.67,45.0
RBF63,92.22,41.11,66.67,4.41,75.0,60.0
RBF64,87.04,37.04,62.04,2.17,65.0,58.33
RBF65,73.7,66.67,70.19,6.21,80.0,60.0
RBF66,93.33,37.78,65.56,4.64,71.67,60.0
RBF67,87.04,15.19,51.11,3.63,58.33,46.67
RBF68,95.56,6.3,50.93,0.88,51.67,50.0
RBF69,93.33,2.96,48.15,2.27,51.67,45.0
RBF70,88.89,7.04,47.96,1.82,50.0,45.0
RBF71,81.48,17.04,49.26,3.64,53.33,41.67
RBF72,97.78,5.56,51.67,0.83,53.33,50.0
RBF73,75.56,27.04,51.3,2.74,55.0,46.67
RBF74,84.81,22.59,53.7,4.7,60.0,45.0
RBF75,85.93,7.04,46.48,2.82,51.67,43.33
RBF76,91.48,0.37,45.93,1.69,48.33,43.33
RBF77,91.85,2.96,47.41,1.69,50.0,45.0
RBF78,86.3,5.93,46.11,1.86,48.33,43.33
RBF79,75.93,27.04,51.48,7.19,60.0,40.0
RBF80,91.11,18.89,55.0,4.64,61.67,50.0
RBF81,72.96,32.96,52.96,4.7,60.0,45.0
RBF82,89.63,24.81,57.22,5.4,66.67,50.0
RBF83,92.22,6.3,49.26,2.37,51.67,45.0
RBF84,88.15,10.37,49.26,1.88,51.67,45.0
RBF85,81.11,16.67,48.89,4.17,55.0,43.33
RBF86,85.19,27.04,56.11,5.46,61.67,48.33
RBF87,70.0,32.22,51.11,4.17,56.67,43.33
RBF88,91.85,18.52,55.19,2.12,58.33,51.67
RBF89,84.44,7.78,46.11,3.44,53.33,43.33
RBF90,85.56,17.04,51.3,2.74,55.0,46.67
RBF91,86.67,22.22,54.44,2.89,60.0,50.0
RBF92,73.7,25.93,49.81,2.56,53.33,45.0
RBF93,88.89,14.07,51.48,2.12,55.0,48.33
RBF94,84.44,6.67,45.56,2.76,50.0,41.67
RBF95,86.67,15.56,51.11,1.44,53.33,48.33
RBF96,74.81,28.89,51.85,2.69,56.67,48.33
RBF97,88.52,12.59,50.56,2.04,53.33,46.67
RBF98,89.63,11.11,50.37,2.32,53.33,46.67
RBF99,67.41,40.0,53.7,2.98,60.0,50.0
RBF100,91.11,19.26,55.19,4.44,65.0,48.33
RBF101,85.19,10.37,47.78,2.5,53.33,45.0
RBF102,71.85,27.41,49.63,4.15,55.0,41.67
RBF103,91.85,15.19,53.52,4.12,61.67,48.33
RBF104,90.37,14.07,52.22,1.67,55.0,50.0
RBF105,91.48,13.33,52.41,3.45,60.0,48.33
RBF106,88.89,12.59,50.74,2.65,55.0,48.33
LINEAR1,96.67,8.52,52.59,0.88,53.33,51.67
LINEAR2,100.0,36.67,68.33,0.83,70.0,66.67
LINEAR3,97.04,3.33,50.19,0.56,51.67,50.0
LINEAR4,97.78,70.37,84.07,0.88,85.0,83.33
LINEAR5,97.78,20.0,58.89,0.83,60.0,58.33
LINEAR6,100.0,3.33,51.67,0.0,51.67,51.67
LINEAR7,100.0,68.52,84.26,4.5,88.33,78.33
LINEAR8,100.0,50.0,75.0,2.04,78.33,71.67
LINEAR9,100.0,18.89,59.44,1.67,61.67,58.33
LINEAR10,100.0,7.78,53.89,0.83,55.0,53.33
LINEAR11,100.0,6.67,53.33,0.0,53.33,53.33
LINEAR12,100.0,83.33,91.67,0.0,91.67,91.67
LINEAR13,100.0,96.67,98.33,0.0,98.33,98.33
LINEAR14,100.0,96.67,98.33,0.0,98.33,98.33
LINEAR15,100.0,98.89,99.44,0.83,100.0,98.33
LINEAR16,100.0,67.78,83.89,0.83,85.0,83.33
LINEAR17,100.0,34.44,67.22,1.18,70.0,66.67
LINEAR18,100.0,87.04,93.52,1.0,95.0,91.67
LINEAR19,100.0,88.89,94.44,0.83,95.0,93.33
LINEAR20,100.0,95.56,97.78,0.83,98.33,96.67
LINEAR21,100.0,100.0,100.0,0.0,100.0,100.0
LINEAR22,100.0,86.3,93.15,0.56,93.33,91.67
LINEAR23,100.0,58.52,79.26,2.06,81.67,76.67
LINEAR24,100.0,84.44,92.22,1.67,93.33,90.0
LINEAR25,100.0,90.0,95.0,0.0,95.0,95.0
LINEAR26,100.0,96.67,98.33,0.0,98.33,98.33
LINEAR27,100.0,96.3,98.15,1.3,100.0,96.67
LINEAR28,100.0,82.59,91.3,1.11,91.67,88.33
LINEAR29,100.0,76.67,88.33,1.86,90.0,85.0
LINEAR30,100.0,8.15,54.07,0.88,55.0,53.33
LINEAR31,100.0,78.89,89.44,3.44,91.67,83.33
LINEAR32,100.0,92.22,96.11,0.83,96.67,95.0
LINEAR33,100.0,94.81,97.41,3.92,100.0,91.67
LINEAR34,100.0,86.3,93.15,0.56,93.33,91.67
LINEAR35,100.0,88.52,94.26,0.88,95.0,93.33
LINEAR36,100.0,88.89,94.44,0.83,95.0,93.33
LINEAR37,100.0,86.3,93.15,0.56,93.33,91.67
LINEAR38,100.0,50.74,75.37,8.07,86.67,70.0
LINEAR39,100.0,89.63,94.81,0.56,95.0,93.33
LINEAR40,100.0,74.81,87.41,1.88,90.0,85.0
LINEAR41,100.0,93.33,96.67,0.0,96.67,96.67
LINEAR42,100.0,94.07,97.04,0.73,98.33,96.67
LINEAR43,100.0,92.96,96.48,2.27,98.33,91.67
LINEAR44,100.0,87.04,93.52,2.69,96.67,90.0
LINEAR45,100.0,80.0,90.0,0.0,90.0,90.0
LINEAR46,100.0,88.52,94.26,1.47,96.67,93.33
LINEAR47,100.0,3.33,51.67,0.0,51.67,51.67
LINEAR48,98.89,96.67,97.78,0.83,98.33,96.67
LINEAR49,100.0,92.22,96.11,0.83,96.67,95.0
LINEAR50,100.0,77.78,88.89,1.86,90.0,85.0
LINEAR51,100.0,93.33,96.67,0.0,96.67,96.67
LINEAR52,100.0,96.67,98.33,0.0,98.33,98.33
LINEAR53,100.0,80.0,90.0,2.64,93.33,86.67
LINEAR54,100.0,93.7,96.85,0.56,98.33,96.67
LINEAR55,100.0,93.33,96.67,0.0,96.67,96.67
LINEAR56,100.0,76.67,88.33,0.0,88.33,88.33
LINEAR57,100.0,53.7,76.85,4.12,81.67,71.67
LINEAR58,100.0,14.44,57.22,0.83,58.33,56.67
LINEAR59,96.67,3.33,50.0,0.0,50.0,50.0
LINEAR60,100.0,3.33,51.67,0.0,51.67,51.67
LINEAR61,100.0,3.33,51.67,0.0,51.67,51.67
LINEAR62,100.0,0.0,50.0,0.0,50.0,50.0
LINEAR63,100.0,0.0,50.0,0.0,50.0,50.0
LINEAR64,99.26,14.07,56.67,0.83,58.33,55.0
LINEAR65,100.0,16.67,58.33,5.89,66.67,53.33
LINEAR66,96.67,27.04,61.85,0.56,63.33,61.67
LINEAR67,96.67,8.89,52.78,0.83,53.33,51.67
LINEAR68,100.0,3.33,51.67,0.0,51.67,51.67
LINEAR69,100.0,3.33,51.67,0.0,51.67,51.67
LINEAR70,100.0,0.0,50.0,0.0,50.0,50.0
LINEAR71,98.89,2.22,50.56,0.83,51.67,50.0
LINEAR72,100.0,0.0,50.0,0.0,50.0,50.0
LINEAR73,100.0,0.74,50.37,0.73,51.67,50.0
LINEAR74,96.67,5.19,50.93,1.47,53.33,50.0
LINEAR75,96.67,3.33,50.0,0.0,50.0,50.0
LINEAR76,100.0,0.0,50.0,0.0,50.0,50.0
LINEAR77,100.0,0.37,50.19,0.56,51.67,50.0
LINEAR78,97.04,0.0,48.52,0.56,50.0,48.33
LINEAR79,98.89,3.33,51.11,0.83,51.67,50.0
LINEAR80,100.0,0.0,50.0,0.0,50.0,50.0
LINEAR81,99.26,4.44,51.85,0.56,53.33,51.67
LINEAR82,89.26,21.11,55.19,1.76,56.67,51.67
LINEAR83,100.0,3.33,51.67,0.0,51.67,51.67
LINEAR84,100.0,1.11,50.56,0.83,51.67,50.0
LINEAR85,98.89,0.0,49.44,0.83,50.0,48.33
LINEAR86,98.89,0.0,49.44,0.83,50.0,48.33
LINEAR87,100.0,2.59,51.3,2.17,55.0,50.0
LINEAR88,92.59,13.33,52.96,0.73,53.33,51.67
LINEAR89,96.67,0.0,48.33,0.0,48.33,48.33
LINEAR90,98.89,0.0,49.44,0.83,50.0,48.33
LINEAR91,96.67,3.33,50.0,0.0,50.0,50.0
LINEAR92,100.0,3.33,51.67,0.0,51.67,51.67
LINEAR93,100.0,0.0,50.0,0.0,50.0,50.0
LINEAR94,96.67,10.37,53.52,1.0,55.0,51.67
LINEAR95,100.0,0.0,50.0,0.0,50.0,50.0
LINEAR96,100.0,3.33,51.67,0.0,51.67,51.67
LINEAR97,100.0,3.33,51.67,0.0,51.67,51.67
LINEAR98,96.3,0.0,48.15,0.56,48.33,46.67
LINEAR99,92.59,7.04,49.81,0.56,50.0,48.33
LINEAR100,93.7,17.41,55.56,0.83,56.67,55.0
LINEAR101,96.67,6.67,51.67,0.0,51.67,51.67
LINEAR102,100.0,5.56,52.78,1.67,55.0,51.67
