Model,Average Test Score Mean,Average Test Score Std,Average AUC,Model,Average Test Score Mean,Average Test Score Std,Average AUC,Model,Average Test Score Mean,Average Test Score Std,Average AUC
QP10_QP5,49.42,5.12,0.635,QP10_QP5,54.0,1.92,0.735,QP10_QP5,60.5,4.72,0.505
QP15_QP5,62.93,12.34,0.808,QP15_QP5,76.82,4.54,0.9730000000000001,QP15_QP5,84.83,3.81,0.851
QP15_QP10,51.46,4.74,0.642,QP15_QP10,50.8,1.87,0.7060000000000001,QP15_QP10,52.33,0.86,0.426
QP20_QP5,70.74,8.05,0.8790000000000001,QP20_QP5,82.11,3.25,0.958,QP20_QP5,84.33,3.26,0.9030000000000001
QP20_QP10,65.68,5.27,0.79,QP20_QP10,56.31,2.9,0.889,QP20_QP10,80.17,3.72,0.843
QP20_QP16,50.76,5.21,0.6849999999999999,QP20_QP16,52.68,1.7,0.8460000000000001,QP20_QP16,52.5,2.12,0.409
QP25_QP5,78.91,9.86,0.893,QP25_QP5,91.09,4.95,0.9890000000000001,QP25_QP5,93.0,1.72,0.9719999999999999
QP25_QP10,69.28,6.71,0.866,QP25_QP10,69.32,6.11,0.958,QP25_QP10,93.33,1.57,0.9650000000000001
QP25_QP16,58.67,7.09,0.734,QP25_QP16,56.83,2.62,0.9640000000000001,QP25_QP16,78.5,3.46,0.8039999999999999
QP25_QP20,59.5,4.13,0.756,QP25_QP20,55.26,3.07,0.9349999999999999,QP25_QP20,72.5,4.53,0.7110000000000001
QP25_QP24,55.94,3.34,0.696,QP25_QP24,54.2,2.82,0.8619999999999999,QP25_QP24,60.5,2.84,0.564
QP30_QP5,94.44,2.79,0.9640000000000001,QP30_QP5,93.06,2.96,0.977,QP30_QP5,99.83,0.53,1.0
QP30_QP10,86.67,6.61,0.938,QP30_QP10,91.83,5.31,0.978,QP30_QP10,100.0,0.0,1.0
QP30_QP16,82.89,8.64,0.883,QP30_QP16,95.59,4.45,0.998,QP30_QP16,99.33,0.86,0.994
QP30_QP20,77.07,7.77,0.867,QP30_QP20,94.32,2.92,0.998,QP30_QP20,99.0,1.17,0.994
QP30_QP24,73.8,8.5,0.8470000000000001,QP30_QP24,89.44,3.26,0.9949999999999999,QP30_QP24,99.16,0.88,0.994
QP30_QP27,69.17,5.93,0.76,QP30_QP27,63.61,8.48,0.9650000000000001,QP30_QP27,88.0,3.75,0.9189999999999999
QP32_QP5,93.33,3.35,0.9560000000000001,QP32_QP5,92.87,3.52,0.9890000000000001,QP32_QP5,100.0,0.0,1.0
QP32_QP10,89.67,5.46,0.95,QP32_QP10,90.44,6.22,0.959,QP32_QP10,100.0,0.0,1.0
QP32_QP16,88.98,7.45,0.9029999999999999,QP32_QP16,96.04,2.67,0.9960000000000001,QP32_QP16,99.83,0.53,0.9970000000000001
QP32_QP20,80.96,6.68,0.8789999999999999,QP32_QP20,95.5,4.11,0.999,QP32_QP20,99.5,0.81,1.0
QP32_QP24,74.78,5.93,0.858,QP32_QP24,92.98,2.86,0.992,QP32_QP24,99.33,0.86,0.9970000000000001
QP32_QP27,71.94,10.68,0.787,QP32_QP27,84.67,5.17,0.9970000000000001,QP32_QP27,98.67,1.31,0.99
QP35_QP5,94.56,3.3,0.96,QP35_QP5,93.94,2.56,0.99,QP35_QP5,100.0,0.0,1.0
QP35_QP10,93.74,4.22,0.969,QP35_QP10,92.33,6.32,0.9789999999999999,QP35_QP10,100.0,0.0,1.0
QP35_QP16,91.67,4.99,0.9209999999999999,QP35_QP16,96.37,3.47,0.9960000000000001,QP35_QP16,99.83,0.53,0.999
QP35_QP20,87.33,5.45,0.914,QP35_QP20,95.89,2.93,0.999,QP35_QP20,100.0,0.0,1.0
QP35_QP24,75.61,7.84,0.8560000000000001,QP35_QP24,95.61,2.42,0.998,QP35_QP24,99.83,0.53,0.998
QP35_QP27,73.8,12.26,0.8109999999999999,QP35_QP27,95.2,3.92,0.9970000000000001,QP35_QP27,100.0,0.0,1.0
QP35_QP32,60.98,7.7,0.752,QP35_QP32,55.0,3.33,0.967,QP35_QP32,93.67,2.81,0.95
QP40_QP5,94.83,3.03,0.9629999999999999,QP40_QP5,93.61,3.44,0.9890000000000001,QP40_QP5,100.0,0.0,1.0
QP40_QP10,91.67,4.43,0.945,QP40_QP10,90.02,6.42,0.975,QP40_QP10,100.0,0.0,1.0
QP40_QP16,91.78,4.31,0.923,QP40_QP16,94.28,3.41,0.9949999999999999,QP40_QP16,99.83,0.53,1.0
QP40_QP20,92.33,2.12,0.9390000000000001,QP40_QP20,95.94,2.75,0.9970000000000001,QP40_QP20,100.0,0.0,1.0
QP40_QP24,83.91,6.68,0.8880000000000001,QP40_QP24,97.96,1.3,1.0,QP40_QP24,100.0,0.0,1.0
QP40_QP27,77.28,11.44,0.8390000000000001,QP40_QP27,97.35,2.47,0.9970000000000001,QP40_QP27,100.0,0.0,1.0
QP40_QP32,67.22,11.02,0.7969999999999999,QP40_QP32,91.28,4.45,0.9949999999999999,QP40_QP32,100.0,0.0,1.0
QP40_QP39,67.37,5.07,0.762,QP40_QP39,60.28,4.91,0.9199999999999999,QP40_QP39,76.33,3.32,0.819
QP45_QP5,93.69,2.68,0.954,QP45_QP5,93.3,3.6,0.9800000000000001,QP45_QP5,100.0,0.0,1.0
QP45_QP10,94.7,2.38,0.978,QP45_QP10,90.31,5.36,0.974,QP45_QP10,100.0,0.0,1.0
QP45_QP16,92.63,2.92,0.942,QP45_QP16,94.24,4.93,0.991,QP45_QP16,100.0,0.0,1.0
QP45_QP20,90.89,3.62,0.915,QP45_QP20,95.7,3.07,0.998,QP45_QP20,100.0,0.0,1.0
QP45_QP24,85.96,4.26,0.891,QP45_QP24,96.91,2.24,1.0,QP45_QP24,100.0,0.0,1.0
QP45_QP27,81.05,7.83,0.86,QP45_QP27,96.57,2.86,0.999,QP45_QP27,100.0,0.0,1.0
QP45_QP32,70.05,10.25,0.8210000000000001,QP45_QP32,92.61,2.66,0.9960000000000001,QP45_QP32,100.0,0.0,1.0
QP45_QP39,73.02,11.12,0.837,QP45_QP39,91.17,4.99,1.0,QP45_QP39,100.0,0.0,1.0
QP45_QP42,65.0,7.35,0.767,QP45_QP42,58.2,5.65,0.952,QP45_QP42,88.33,3.93,0.9269999999999999
QP50_QP5,94.85,2.51,0.9629999999999999,QP50_QP5,95.33,2.96,0.9810000000000001,QP50_QP5,100.0,0.0,1.0
QP50_QP10,96.33,1.66,0.983,QP50_QP10,92.46,4.65,0.9629999999999999,QP50_QP10,100.0,0.0,1.0
QP50_QP16,91.76,4.03,0.9390000000000001,QP50_QP16,90.61,5.09,0.99,QP50_QP16,100.0,0.0,1.0
