Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score,Average AUC,AUC STD,Max AUC,Min AUC
RBF1,75.19,10.37,42.78,4.56,48.33,35.0,0.47,0.09,0.58,0.31
RBF2,77.78,32.96,55.37,5.76,68.33,48.33,0.71,0.06,0.79,0.61
RBF3,80.74,13.7,47.22,1.86,50.0,43.33,0.63,0.06,0.73,0.57
RBF4,77.78,48.52,63.15,2.42,66.67,60.0,0.73,0.06,0.81,0.64
RBF5,85.93,51.11,68.52,3.27,71.67,61.67,0.76,0.06,0.84,0.65
RBF6,77.04,11.11,44.07,7.6,51.67,28.33,0.51,0.2,0.81,0.24
RBF7,82.22,64.44,73.33,5.95,85.0,65.0,0.83,0.05,0.91,0.76
RBF8,81.11,51.48,66.3,5.94,73.33,53.33,0.79,0.09,0.91,0.62
RBF9,78.52,38.15,58.33,7.31,66.67,43.33,0.66,0.16,0.88,0.4
RBF10,68.89,60.0,64.44,4.49,70.0,56.67,0.67,0.15,0.83,0.49
RBF11,74.07,38.15,56.11,3.33,60.0,50.0,0.68,0.05,0.77,0.62
RBF12,98.15,97.78,97.96,2.74,100.0,93.33,0.99,0.02,1.0,0.94
RBF13,87.04,79.63,83.33,7.17,91.67,71.67,0.89,0.07,0.98,0.79
RBF14,80.74,83.33,82.04,10.86,95.0,66.67,0.85,0.12,0.99,0.61
RBF15,70.37,59.26,64.81,14.42,81.67,48.33,0.71,0.2,0.92,0.43
RBF16,83.7,63.7,73.7,5.45,83.33,66.67,0.85,0.06,0.93,0.77
RBF17,61.11,80.0,70.56,5.59,78.33,58.33,0.75,0.11,0.85,0.49
RBF18,81.11,98.15,89.63,3.61,95.0,85.0,0.9,0.04,0.96,0.82
RBF19,82.59,88.52,85.56,8.08,95.0,73.33,0.89,0.07,0.98,0.79
RBF20,81.11,92.22,86.67,8.74,96.67,73.33,0.87,0.12,0.99,0.61
RBF21,71.48,75.56,73.52,15.71,93.33,53.33,0.72,0.2,0.95,0.45
RBF22,84.07,55.56,69.81,8.18,81.67,60.0,0.83,0.07,0.93,0.74
RBF23,71.11,84.07,77.59,8.78,90.0,61.67,0.82,0.13,0.94,0.52
RBF24,87.04,99.63,93.33,3.44,98.33,86.67,0.92,0.04,0.97,0.86
RBF25,97.04,98.89,97.96,2.0,100.0,95.0,1.0,0.0,1.0,1.0
RBF26,81.11,92.59,86.85,9.84,96.67,71.67,0.87,0.11,0.99,0.62
RBF27,79.63,89.63,84.63,12.16,98.33,65.0,0.86,0.13,0.97,0.61
RBF28,84.07,67.78,75.93,8.21,88.33,65.0,0.85,0.07,0.95,0.75
RBF29,78.15,88.52,83.33,8.98,91.67,66.67,0.87,0.12,0.98,0.63
RBF30,79.26,57.41,68.33,6.07,76.67,55.0,0.8,0.09,0.86,0.58
RBF31,90.74,99.63,95.19,2.69,98.33,90.0,0.94,0.03,0.97,0.89
RBF32,88.15,95.93,92.04,6.44,98.33,78.33,0.93,0.05,1.0,0.84
RBF33,81.11,97.41,89.26,8.08,96.67,75.0,0.89,0.11,1.0,0.63
RBF34,94.07,98.89,96.48,1.55,98.33,93.33,0.97,0.02,1.0,0.93
RBF35,84.44,87.04,85.74,6.57,95.0,80.0,0.88,0.06,0.97,0.81
RBF36,79.26,82.22,80.74,11.25,91.67,65.0,0.87,0.12,0.99,0.63
RBF37,85.56,65.93,75.74,6.78,81.67,61.67,0.88,0.07,0.96,0.75
RBF38,80.37,66.3,73.33,9.17,86.67,60.0,0.81,0.1,0.95,0.68
RBF39,82.22,99.63,90.93,4.01,95.0,85.0,0.9,0.03,0.96,0.84
RBF40,97.41,98.89,98.15,2.12,100.0,93.33,1.0,0.0,1.0,0.99
RBF41,80.37,95.93,88.15,9.37,96.67,71.67,0.89,0.11,0.99,0.64
RBF42,73.33,91.11,82.22,13.94,96.67,60.0,0.78,0.18,0.97,0.49
RBF43,84.81,85.19,85.0,4.93,91.67,76.67,0.87,0.07,0.96,0.8
RBF44,80.0,87.41,83.7,10.27,95.0,68.33,0.89,0.11,0.99,0.66
RBF45,86.67,66.3,76.48,7.43,85.0,65.0,0.89,0.07,0.97,0.79
RBF46,80.74,47.04,63.89,11.73,75.0,45.0,0.76,0.16,0.89,0.48
RBF47,59.63,77.78,68.7,10.57,78.33,45.0,0.69,0.18,0.79,0.24
RBF48,87.04,100.0,93.52,4.03,98.33,86.67,0.96,0.03,1.0,0.89
RBF49,98.15,99.26,98.7,1.82,100.0,95.0,1.0,0.0,1.0,0.99
RBF50,81.11,94.81,87.96,9.96,96.67,70.0,0.88,0.1,0.99,0.66
RBF51,72.22,92.96,82.59,11.09,95.0,63.33,0.77,0.16,0.96,0.55
RBF52,85.93,95.19,90.56,3.0,95.0,86.67,0.89,0.06,0.96,0.82
RBF53,80.0,91.11,85.56,8.94,95.0,70.0,0.9,0.1,0.99,0.68
RBF54,88.89,80.0,84.44,6.72,93.33,76.67,0.92,0.05,0.97,0.86
RBF55,80.0,40.37,60.19,9.95,73.33,43.33,0.77,0.14,0.92,0.51
RBF56,59.63,53.33,56.48,18.3,81.67,25.0,0.61,0.23,0.95,0.16
RBF57,87.41,52.59,70.0,8.5,76.67,51.67,0.85,0.12,0.94,0.6
RBF58,78.52,21.48,50.0,2.89,55.0,46.67,0.64,0.07,0.75,0.54
RBF59,80.74,18.52,49.63,9.42,65.0,36.67,0.66,0.13,0.77,0.43
RBF60,76.67,20.0,48.33,10.99,65.0,31.67,0.61,0.2,0.87,0.34
RBF61,68.52,28.15,48.33,15.99,71.67,33.33,0.59,0.21,0.82,0.33
RBF62,74.07,34.07,54.07,5.34,61.67,46.67,0.71,0.07,0.82,0.62
RBF63,54.81,87.41,71.11,4.93,76.67,63.33,0.84,0.05,0.89,0.73
RBF64,77.04,50.74,63.89,3.23,71.67,60.0,0.68,0.03,0.73,0.64
RBF65,80.74,62.59,71.67,7.41,81.67,58.33,0.8,0.1,0.92,0.67
RBF66,62.96,52.96,57.96,10.47,71.67,43.33,0.64,0.13,0.8,0.39
RBF67,83.33,58.52,70.93,7.13,80.0,56.67,0.81,0.07,0.88,0.66
RBF68,79.63,14.44,47.04,2.17,50.0,43.33,0.45,0.05,0.52,0.38
RBF69,79.63,19.63,49.63,2.32,51.67,45.0,0.52,0.06,0.59,0.43
RBF70,68.89,20.0,44.44,5.0,51.67,38.33,0.49,0.05,0.57,0.43
RBF71,54.44,45.93,50.19,2.69,55.0,45.0,0.52,0.03,0.54,0.47
RBF72,58.52,44.81,51.67,2.76,56.67,46.67,0.53,0.02,0.56,0.51
RBF73,78.52,27.41,52.96,1.82,56.67,51.67,0.49,0.04,0.56,0.45
RBF74,56.3,37.41,46.85,3.06,51.67,41.67,0.46,0.02,0.51,0.44
RBF75,62.22,54.07,58.15,3.06,63.33,53.33,0.6,0.02,0.66,0.58
RBF76,72.96,7.04,40.0,8.54,50.0,26.67,0.49,0.22,0.78,0.24
RBF77,79.26,25.19,52.22,4.17,58.33,48.33,0.57,0.04,0.64,0.53
RBF78,78.89,22.59,50.74,4.94,56.67,43.33,0.52,0.1,0.66,0.41
RBF79,49.26,38.89,44.07,3.02,46.67,36.67,0.45,0.04,0.51,0.4
RBF80,67.78,41.48,54.63,5.05,61.67,46.67,0.52,0.05,0.63,0.46
RBF81,79.26,24.44,51.85,3.06,56.67,46.67,0.5,0.02,0.54,0.48
RBF82,64.44,42.22,53.33,4.33,60.0,48.33,0.5,0.07,0.58,0.41
RBF83,79.63,16.67,48.15,1.55,50.0,45.0,0.46,0.01,0.49,0.45
RBF84,78.89,17.41,48.15,1.76,50.0,45.0,0.54,0.04,0.6,0.5
RBF85,54.44,43.33,48.89,2.5,51.67,45.0,0.48,0.02,0.51,0.45
RBF86,78.52,30.74,54.63,4.39,61.67,48.33,0.54,0.03,0.58,0.5
RBF87,80.0,25.56,52.78,3.73,58.33,46.67,0.49,0.03,0.54,0.45
RBF88,65.56,28.15,46.85,3.06,51.67,41.67,0.49,0.04,0.54,0.44
RBF89,74.81,36.67,55.74,3.24,61.67,51.67,0.58,0.03,0.63,0.53
RBF90,54.81,50.74,52.78,2.36,56.67,50.0,0.55,0.03,0.6,0.51
RBF91,74.81,24.07,49.44,4.25,56.67,45.0,0.52,0.02,0.56,0.48
RBF92,76.3,27.78,52.04,3.71,56.67,46.67,0.5,0.09,0.66,0.39
RBF93,51.85,42.96,47.41,4.5,51.67,40.0,0.46,0.07,0.57,0.37
RBF94,81.48,22.22,51.85,2.42,55.0,48.33,0.56,0.04,0.62,0.51
RBF95,77.04,33.33,55.19,3.95,63.33,50.0,0.58,0.02,0.61,0.55
RBF96,82.96,21.85,52.41,1.69,55.0,50.0,0.52,0.06,0.61,0.43
RBF97,55.93,39.26,47.59,4.42,55.0,40.0,0.49,0.03,0.55,0.42
RBF98,81.11,24.07,52.59,6.41,63.33,45.0,0.55,0.05,0.61,0.48
RBF99,77.41,24.81,51.11,5.27,56.67,41.67,0.49,0.06,0.58,0.4
RBF100,71.11,17.41,44.26,2.52,46.67,40.0,0.41,0.03,0.47,0.38
