RBF_LQP1 Average TNR,RBF_LQP1 Average TPR,RBF_LQP1 Average Test Score,RBF_LQP1 Average Test Score Std,RBF_LQP1 Model,RBF_SQP Average TNR,RBF_SQP Average TPR,RBF_SQP Average Test Score,RBF_SQP Average Test Score Std,RBF_SQP Model,RBF_LQP2 Average TNR,RBF_LQP2 Average TPR,RBF_LQP2 Average Test Score,RBF_LQP2 Average Test Score Std,RBF_LQP2 Model,LINEAR_LQP1 Average TNR,LINEAR_LQP1 Average TPR,LINEAR_LQP1 Average Test Score,LINEAR_LQP1 Average Test Score Std,LINEAR_LQP1 Model,LINEAR_SQP Average TNR,LINEAR_SQP Average TPR,LINEAR_SQP Average Test Score,LINEAR_SQP Average Test Score Std,LINEAR_SQP Model,LINEAR_LQP2 Average TNR,LINEAR_LQP2 Average TPR,LINEAR_LQP2 Average Test Score,LINEAR_LQP2 Average Test Score Std,LINEAR_LQP2 Model,OLD_LQP1 Average TNR,OLD_LQP1 Average TPR,OLD_LQP1 Average Test Score,OLD_LQP1 Average Test Score Std,OLD_LQP1 Model,OLD_SQP Average TNR,OLD_SQP Average TPR,OLD_SQP Average Test Score,OLD_SQP Average Test Score Std,OLD_SQP Model,OLD_LQP2 Average TNR,OLD_LQP2 Average TPR,OLD_LQP2 Average Test Score,OLD_LQP2 Average Test Score Std,OLD_LQP2 Model
93.52,95.22,94.37,,,93.74,56.93,75.33,,,86.26,36.7,61.48,,,86.56,98.33,92.44,,,92.11,70.37,81.24,,,75.33,60.11,67.72,,,90.67,80.33,85.5,,,39.0,62.0,50.5,,,39.0,76.67,57.83,,
77.85,98.22,88.04,,,92.96,66.67,79.81,,,85.78,46.52,66.15,,,73.15,98.56,85.85,,,96.41,50.07,73.24,,,82.74,50.81,66.78,,,85.33,89.67,87.5,,,0.0,100.0,50.0,,,32.0,80.67,56.33,,
77.37,97.04,87.2,,,81.33,89.81,85.57,,,77.63,56.7,67.17,,,83.67,96.56,90.11,,,91.0,69.85,80.43,,,81.37,55.85,68.61,,,79.67,90.67,85.17,,,0.0,100.0,50.0,,,32.67,79.67,56.17,,
85.93,97.56,91.74,,,95.0,46.07,70.54,,,94.85,18.93,56.89,,,83.41,96.67,90.04,,,95.0,40.04,67.52,,,88.15,35.22,61.69,,,92.0,81.33,86.67,,,40.33,60.67,50.5,,,32.67,84.67,58.67,,
90.3,94.07,92.19,,,91.07,64.85,77.96,,,86.59,40.04,63.31,,,94.41,89.56,91.98,,,92.48,66.78,79.63,,,81.74,48.44,65.09,,,94.0,83.0,88.5,,,42.0,63.0,52.5,,,34.0,82.33,58.17,,
67.52,97.22,82.37,,,83.48,84.3,83.89,,,25.67,84.22,54.94,,,52.11,98.85,75.48,,,85.37,86.3,85.83,,,15.89,90.07,52.98,,,92.33,82.33,87.33,,,0.0,100.0,50.0,,,33.33,79.0,56.17,,
66.7,98.15,82.43,,,75.3,88.22,81.76,,,61.56,59.11,60.33,,,62.44,98.41,80.43,,,78.85,92.04,85.44,,,56.89,54.26,55.57,,,92.0,87.0,89.5,,,46.67,54.33,50.5,,,26.33,81.33,53.83,,
73.85,96.63,85.24,,,87.89,54.41,71.15,,,90.52,35.59,63.06,,,75.15,95.07,85.11,,,91.26,38.15,64.7,,,93.26,26.15,59.7,,,90.67,79.67,85.17,,,0.0,100.0,50.0,,,32.0,81.33,56.67,,
92.3,91.67,91.98,,,94.93,61.41,78.17,,,89.44,28.07,58.76,,,84.48,96.37,90.43,,,88.96,79.04,84.0,,,72.48,53.15,62.81,,,92.67,82.67,87.67,,,57.0,47.33,52.17,,,44.0,75.0,59.5,,
89.0,96.37,92.69,,,88.04,81.78,84.91,,,95.11,24.41,59.76,,,90.44,95.07,92.76,,,85.52,73.07,79.3,,,96.85,21.22,59.04,,,94.67,83.67,89.17,,,46.33,57.0,51.67,,,46.33,66.67,56.5,,
81.43,96.22,88.83,4.4,RBF_LQP1_MEAN,88.37,69.44,78.91,5.36,RBF_SQP_MEAN,79.34,43.03,61.19,3.87,RBF_LQP2_MEAN,78.58,96.34,87.46,5.74,LINEAR_LQP1_MEAN,89.7,66.57,78.13,7.32,LINEAR_SQP_MEAN,74.47,49.53,62.0,5.23,LINEAR_LQP2_MEAN,90.4,84.03,87.22,1.58,OLD_LQP1_MEAN,27.13,74.43,50.78,0.96,OLD_SQP_MEAN,35.23,78.73,56.98,1.61,OLD_LQP2_MEAN
