RBF_LQP1 Average TNR,RBF_LQP1 Average TPR,RBF_LQP1 Average Test Score,RBF_LQP1 Average Test Score Std,RBF_LQP1 Model,RBF_SQP Average TNR,RBF_SQP Average TPR,RBF_SQP Average Test Score,RBF_SQP Average Test Score Std,RBF_SQP Model,RBF_LQP2 Average TNR,RBF_LQP2 Average TPR,RBF_LQP2 Average Test Score,RBF_LQP2 Average Test Score Std,RBF_LQP2 Model,LINEAR_LQP1 Average TNR,LINEAR_LQP1 Average TPR,LINEAR_LQP1 Average Test Score,LINEAR_LQP1 Average Test Score Std,LINEAR_LQP1 Model,LINEAR_SQP Average TNR,LINEAR_SQP Average TPR,LINEAR_SQP Average Test Score,LINEAR_SQP Average Test Score Std,LINEAR_SQP Model,LINEAR_LQP2 Average TNR,LINEAR_LQP2 Average TPR,LINEAR_LQP2 Average Test Score,LINEAR_LQP2 Average Test Score Std,LINEAR_LQP2 Model,OLD_LQP1 Average TNR,OLD_LQP1 Average TPR,OLD_LQP1 Average Test Score,OLD_LQP1 Average Test Score Std,OLD_LQP1 Model,OLD_SQP Average TNR,OLD_SQP Average TPR,OLD_SQP Average Test Score,OLD_SQP Average Test Score Std,OLD_SQP Model,OLD_LQP2 Average TNR,OLD_LQP2 Average TPR,OLD_LQP2 Average Test Score,OLD_LQP2 Average Test Score Std,OLD_LQP2 Model
88.93,93.93,91.43,,,88.44,82.93,85.69,,,65.74,48.81,57.28,,,92.22,86.7,89.46,,,91.22,35.19,63.2,,,72.44,42.19,57.31,,,90.67,80.33,85.5,,,39.0,62.0,50.5,,,39.0,76.67,57.83,,
91.26,90.37,90.81,,,91.04,80.81,85.93,,,75.22,30.41,52.81,,,94.3,87.26,90.78,,,92.74,33.22,62.98,,,77.41,36.0,56.7,,,85.33,89.67,87.5,,,0.0,100.0,50.0,,,32.0,80.67,56.33,,
81.33,94.48,87.91,,,81.0,90.37,85.69,,,79.52,27.07,53.3,,,78.7,88.59,83.65,,,76.81,48.85,62.83,,,75.93,38.04,56.98,,,79.67,90.67,85.17,,,0.0,100.0,50.0,,,32.67,79.67,56.17,,
85.11,94.96,90.04,,,84.56,89.63,87.09,,,83.7,23.07,53.39,,,85.52,87.41,86.46,,,83.37,41.44,62.41,,,83.3,28.96,56.13,,,92.0,81.33,86.67,,,40.33,60.67,50.5,,,32.67,84.67,58.67,,
89.3,90.67,89.98,,,87.96,84.07,86.02,,,80.26,28.0,54.13,,,92.48,87.81,90.15,,,85.19,40.59,62.89,,,78.11,34.56,56.33,,,94.0,83.0,88.5,,,42.0,63.0,52.5,,,34.0,82.33,58.17,,
71.37,96.59,83.98,,,90.04,82.07,86.06,,,42.81,67.19,55.0,,,74.41,89.15,81.78,,,88.81,42.11,65.46,,,57.15,66.22,61.69,,,92.33,82.33,87.33,,,0.0,100.0,50.0,,,33.33,79.0,56.17,,
86.7,92.74,89.72,,,85.19,84.44,84.81,,,83.93,21.96,52.94,,,86.41,88.81,87.61,,,83.0,43.63,63.31,,,82.56,28.0,55.28,,,92.0,87.0,89.5,,,46.67,54.33,50.5,,,26.33,81.33,53.83,,
64.89,95.96,80.43,,,63.19,95.3,79.24,,,58.37,60.04,59.2,,,70.3,87.19,78.74,,,68.74,44.44,56.59,,,66.48,56.96,61.72,,,90.67,79.67,85.17,,,0.0,100.0,50.0,,,32.0,81.33,56.67,,
86.37,92.78,89.57,,,84.33,87.89,86.11,,,81.85,22.63,52.24,,,88.85,89.15,89.0,,,83.52,41.74,62.63,,,81.74,30.22,55.98,,,92.67,82.67,87.67,,,57.0,47.33,52.17,,,44.0,75.0,59.5,,
93.22,94.74,93.98,,,87.56,84.7,86.13,,,87.81,17.0,52.41,,,90.48,90.41,90.44,,,83.85,42.59,63.22,,,82.63,26.52,54.57,,,94.67,83.67,89.17,,,46.33,57.0,51.67,,,46.33,66.67,56.5,,
83.85,93.72,88.78,3.89,RBF_LQP1_MEAN,84.33,86.22,85.28,2.19,RBF_SQP_MEAN,73.92,34.62,54.27,2.29,RBF_LQP2_MEAN,85.37,88.25,86.81,4.12,LINEAR_LQP1_MEAN,83.72,41.38,62.55,2.26,LINEAR_SQP_MEAN,75.78,38.77,57.27,2.47,LINEAR_LQP2_MEAN,90.4,84.03,87.22,1.58,OLD_LQP1_MEAN,27.13,74.43,50.78,0.96,OLD_SQP_MEAN,35.23,78.73,56.98,1.61,OLD_LQP2_MEAN
