RBF_LQP1 Average TNR,RBF_LQP1 Average TPR,RBF_LQP1 Average Test Score,RBF_LQP1 Average Test Score Std,RBF_LQP1 Model,RBF_SQP Average TNR,RBF_SQP Average TPR,RBF_SQP Average Test Score,RBF_SQP Average Test Score Std,RBF_SQP Model,RBF_LQP2 Average TNR,RBF_LQP2 Average TPR,RBF_LQP2 Average Test Score,RBF_LQP2 Average Test Score Std,RBF_LQP2 Model,LINEAR_LQP1 Average TNR,LINEAR_LQP1 Average TPR,LINEAR_LQP1 Average Test Score,LINEAR_LQP1 Average Test Score Std,LINEAR_LQP1 Model,LINEAR_SQP Average TNR,LINEAR_SQP Average TPR,LINEAR_SQP Average Test Score,LINEAR_SQP Average Test Score Std,LINEAR_SQP Model,LINEAR_LQP2 Average TNR,LINEAR_LQP2 Average TPR,LINEAR_LQP2 Average Test Score,LINEAR_LQP2 Average Test Score Std,LINEAR_LQP2 Model,OLD_LQP1 Average TNR,OLD_LQP1 Average TPR,OLD_LQP1 Average Test Score,OLD_LQP1 Average Test Score Std,OLD_LQP1 Model,OLD_SQP Average TNR,OLD_SQP Average TPR,OLD_SQP Average Test Score,OLD_SQP Average Test Score Std,OLD_SQP Model,OLD_LQP2 Average TNR,OLD_LQP2 Average TPR,OLD_LQP2 Average Test Score,OLD_LQP2 Average Test Score Std,OLD_LQP2 Model
83.89,95.63,89.76,,,83.89,89.37,86.63,,,83.89,32.15,58.02,,,74.19,88.04,81.11,,,74.19,46.3,60.24,,,74.19,45.74,59.96,,,93.0,80.33,86.67,,,0.0,100.0,50.0,,,32.33,83.0,57.67,,
87.15,95.48,91.31,,,87.15,93.04,90.09,,,87.15,17.67,52.41,,,86.52,86.7,86.61,,,86.52,37.7,62.11,,,86.52,19.67,53.09,,,88.0,86.0,87.0,,,42.0,60.33,51.17,,,35.67,81.67,58.67,,
83.63,93.63,88.63,,,83.63,88.07,85.85,,,83.63,21.7,52.67,,,78.67,86.96,82.81,,,78.67,43.56,61.11,,,78.67,34.41,56.54,,,81.33,87.0,84.17,,,99.0,1.33,50.17,,,25.33,86.0,55.67,,
83.37,96.26,89.81,,,83.37,89.89,86.63,,,83.37,27.15,55.26,,,73.3,89.0,81.15,,,73.3,49.56,61.43,,,73.3,40.56,56.93,,,86.0,85.33,85.67,,,0.0,100.0,50.0,,,32.33,80.67,56.5,,
87.22,92.41,89.81,,,87.22,92.15,89.69,,,87.22,29.85,58.54,,,79.11,84.7,81.91,,,79.11,51.56,65.33,,,79.11,39.56,59.33,,,85.67,89.0,87.33,,,46.33,57.67,52.0,,,34.33,84.67,59.5,,
88.0,93.78,90.89,,,88.0,86.22,87.11,,,88.0,25.15,56.57,,,79.81,85.52,82.67,,,79.81,43.37,61.59,,,79.81,39.26,59.54,,,92.67,79.33,86.0,,,0.0,100.0,50.0,,,34.0,79.0,56.5,,
82.52,94.0,88.26,,,82.52,88.7,85.61,,,82.52,22.26,52.39,,,77.63,86.44,82.04,,,77.63,46.96,62.3,,,77.63,36.89,57.26,,,94.0,81.0,87.5,,,0.0,100.0,50.0,,,29.67,84.33,57.0,,
77.67,95.7,86.69,,,77.67,93.0,85.33,,,77.67,32.26,54.96,,,78.15,91.67,84.91,,,78.15,39.52,58.83,,,78.15,38.48,58.31,,,85.67,91.67,88.67,,,42.0,58.67,50.33,,,29.0,87.0,58.0,,
83.04,93.41,88.22,,,83.04,89.85,86.44,,,83.04,31.48,57.26,,,77.52,86.67,82.09,,,77.52,49.26,63.39,,,77.52,40.26,58.89,,,92.33,79.33,85.83,,,41.67,59.67,50.67,,,37.0,77.0,57.0,,
83.89,96.7,90.3,,,83.89,87.37,85.63,,,83.89,21.63,52.76,,,76.26,91.15,83.7,,,76.26,47.33,61.8,,,76.26,39.93,58.09,,,92.67,86.33,89.5,,,0.0,100.0,50.0,,,25.67,86.67,56.17,,
84.04,94.7,89.37,1.4,RBF_LQP1_MEAN,84.04,89.77,86.9,1.67,RBF_SQP_MEAN,84.04,26.13,55.08,2.43,RBF_LQP2_MEAN,78.12,87.68,82.9,1.74,LINEAR_LQP1_MEAN,78.12,45.51,61.81,1.74,LINEAR_SQP_MEAN,78.12,37.48,57.79,2.01,LINEAR_LQP2_MEAN,89.13,84.53,86.83,1.54,OLD_LQP1_MEAN,27.1,73.77,50.43,0.67,OLD_SQP_MEAN,31.53,83.0,57.27,1.19,OLD_LQP2_MEAN
