RBF_LQP1 Average TNR,RBF_LQP1 Average TPR,RBF_LQP1 Average Test Score,RBF_LQP1 Average Test Score Std,RBF_LQP1 Model,RBF_SQP Average TNR,RBF_SQP Average TPR,RBF_SQP Average Test Score,RBF_SQP Average Test Score Std,RBF_SQP Model,RBF_LQP2 Average TNR,RBF_LQP2 Average TPR,RBF_LQP2 Average Test Score,RBF_LQP2 Average Test Score Std,RBF_LQP2 Model,LINEAR_LQP1 Average TNR,LINEAR_LQP1 Average TPR,LINEAR_LQP1 Average Test Score,LINEAR_LQP1 Average Test Score Std,LINEAR_LQP1 Model,LINEAR_SQP Average TNR,LINEAR_SQP Average TPR,LINEAR_SQP Average Test Score,LINEAR_SQP Average Test Score Std,LINEAR_SQP Model,LINEAR_LQP2 Average TNR,LINEAR_LQP2 Average TPR,LINEAR_LQP2 Average Test Score,LINEAR_LQP2 Average Test Score Std,LINEAR_LQP2 Model,OLD_LQP1 Average TNR,OLD_LQP1 Average TPR,OLD_LQP1 Average Test Score,OLD_LQP1 Average Test Score Std,OLD_LQP1 Model,OLD_SQP Average TNR,OLD_SQP Average TPR,OLD_SQP Average Test Score,OLD_SQP Average Test Score Std,OLD_SQP Model,OLD_LQP2 Average TNR,OLD_LQP2 Average TPR,OLD_LQP2 Average Test Score,OLD_LQP2 Average Test Score Std,OLD_LQP2 Model
66.15,97.26,81.7,,,69.81,92.33,81.07,,,57.74,68.37,63.06,,,79.07,95.52,87.3,,,81.89,82.22,82.06,,,65.22,64.33,64.78,,,91.33,81.0,86.17,,,51.33,52.0,51.67,,,35.0,80.0,57.5,,
70.07,98.7,84.39,,,75.44,93.3,84.37,,,69.7,49.52,59.61,,,87.33,91.81,89.57,,,76.67,92.63,84.65,,,71.52,56.7,64.11,,,92.0,78.33,85.17,,,0.0,100.0,50.0,,,31.67,84.33,58.0,,
91.11,88.0,89.56,,,85.78,70.44,78.11,,,68.93,52.81,60.87,,,88.11,87.48,87.8,,,82.7,78.22,80.46,,,51.56,71.33,61.44,,,93.67,80.33,87.0,,,0.0,100.0,50.0,,,29.67,85.67,57.67,,
66.41,98.3,82.35,,,94.33,51.22,72.78,,,94.44,23.11,58.78,,,71.3,95.85,83.57,,,94.81,45.37,70.09,,,89.81,29.44,59.63,,,89.33,83.67,86.5,,,36.0,65.67,50.83,,,31.67,79.33,55.5,,
68.74,97.7,83.22,,,87.26,65.59,76.43,,,85.7,42.85,64.28,,,77.48,96.93,87.2,,,87.04,71.96,79.5,,,83.63,42.96,63.3,,,91.67,86.67,89.17,,,0.0,100.0,50.0,,,33.0,83.0,58.0,,
54.78,98.93,76.85,,,93.52,51.11,72.31,,,90.15,34.15,62.15,,,58.3,97.48,77.89,,,93.07,43.07,68.07,,,88.67,40.33,64.5,,,93.0,83.33,88.17,,,0.0,100.0,50.0,,,37.0,78.0,57.5,,
85.59,96.7,91.15,,,89.41,81.41,85.41,,,70.07,64.89,67.48,,,76.33,97.78,87.06,,,80.26,91.26,85.76,,,43.33,76.44,59.89,,,90.33,82.0,86.17,,,0.0,100.0,50.0,,,28.0,87.0,57.5,,
67.67,95.78,81.72,,,71.33,84.19,77.76,,,54.19,71.7,62.94,,,79.44,93.41,86.43,,,73.81,85.0,79.41,,,55.93,68.89,62.41,,,88.0,82.33,85.17,,,0.0,100.0,50.0,,,37.67,73.67,55.67,,
81.89,97.3,89.59,,,92.78,68.37,80.57,,,76.41,49.44,62.93,,,77.15,97.19,87.17,,,89.22,70.11,79.67,,,70.74,62.11,66.43,,,85.67,91.0,88.33,,,47.67,56.33,52.0,,,37.33,79.0,58.17,,
84.11,93.04,88.57,,,87.59,52.22,69.91,,,81.07,50.59,65.83,,,78.0,96.93,87.46,,,91.41,52.89,72.15,,,70.37,61.56,65.96,,,92.0,81.67,86.83,,,0.0,100.0,50.0,,,28.33,86.67,57.5,,
73.65,96.17,84.91,4.61,RBF_LQP1_MEAN,84.72,71.02,77.87,5.15,RBF_SQP_MEAN,74.84,50.74,62.79,2.66,RBF_LQP2_MEAN,77.25,95.04,86.15,3.26,LINEAR_LQP1_MEAN,85.09,71.27,78.18,6.05,LINEAR_SQP_MEAN,69.08,57.41,63.25,2.37,LINEAR_LQP2_MEAN,90.7,83.03,86.87,1.33,OLD_LQP1_MEAN,13.5,87.4,50.45,0.78,OLD_SQP_MEAN,32.93,81.67,57.3,0.94,OLD_LQP2_MEAN
