RBF_LQP1 Average TNR,RBF_LQP1 Average TPR,RBF_LQP1 Average Test Score,RBF_LQP1 Average Test Score Std,RBF_LQP1 Model,RBF_SQP Average TNR,RBF_SQP Average TPR,RBF_SQP Average Test Score,RBF_SQP Average Test Score Std,RBF_SQP Model,RBF_LQP2 Average TNR,RBF_LQP2 Average TPR,RBF_LQP2 Average Test Score,RBF_LQP2 Average Test Score Std,RBF_LQP2 Model,LINEAR_LQP1 Average TNR,LINEAR_LQP1 Average TPR,LINEAR_LQP1 Average Test Score,LINEAR_LQP1 Average Test Score Std,LINEAR_LQP1 Model,LINEAR_SQP Average TNR,LINEAR_SQP Average TPR,LINEAR_SQP Average Test Score,LINEAR_SQP Average Test Score Std,LINEAR_SQP Model,LINEAR_LQP2 Average TNR,LINEAR_LQP2 Average TPR,LINEAR_LQP2 Average Test Score,LINEAR_LQP2 Average Test Score Std,LINEAR_LQP2 Model,OLD_LQP1 Average TNR,OLD_LQP1 Average TPR,OLD_LQP1 Average Test Score,OLD_LQP1 Average Test Score Std,OLD_LQP1 Model,OLD_SQP Average TNR,OLD_SQP Average TPR,OLD_SQP Average Test Score,OLD_SQP Average Test Score Std,OLD_SQP Model,OLD_LQP2 Average TNR,OLD_LQP2 Average TPR,OLD_LQP2 Average Test Score,OLD_LQP2 Average Test Score Std,OLD_LQP2 Model
79.11,91.33,85.22,,,89.0,72.26,80.63,,,86.67,14.41,50.54,,,84.41,86.07,85.24,,,92.81,30.67,61.74,,,89.11,13.0,51.06,,,93.67,84.0,88.83,,,0.0,100.0,50.0,,,28.33,85.67,57.0,,
89.22,92.59,90.91,,,88.81,81.07,84.94,,,84.04,20.48,52.26,,,92.3,88.04,90.17,,,90.81,34.93,62.87,,,85.85,26.15,56.0,,,86.33,90.33,88.33,,,48.0,56.33,52.17,,,30.67,83.33,57.0,,
88.26,93.48,90.87,,,81.63,89.59,85.61,,,81.89,28.48,55.19,,,88.93,86.37,87.65,,,81.3,41.7,61.5,,,83.0,26.22,54.61,,,92.33,76.67,84.5,,,42.67,62.0,52.33,,,28.0,83.33,55.67,,
89.74,93.81,91.78,,,92.04,79.41,85.72,,,89.56,17.11,53.33,,,87.44,87.07,87.26,,,89.93,34.63,62.28,,,87.48,20.41,53.94,,,84.33,90.67,87.5,,,45.67,59.33,52.5,,,34.33,78.0,56.17,,
88.41,92.63,90.52,,,88.26,81.96,85.11,,,63.85,46.85,55.35,,,94.0,88.19,91.09,,,92.93,32.59,62.76,,,76.59,39.59,58.09,,,92.67,82.33,87.5,,,0.0,100.0,50.0,,,30.0,83.67,56.83,,
91.22,92.04,91.63,,,87.89,83.93,85.91,,,78.96,34.56,56.76,,,94.0,90.74,92.37,,,86.44,41.96,64.2,,,72.11,45.22,58.67,,,95.0,83.0,89.0,,,39.67,62.0,50.83,,,33.0,78.67,55.83,,
88.89,91.7,90.3,,,87.48,83.11,85.3,,,80.81,30.26,55.54,,,91.78,86.85,89.31,,,84.0,41.56,62.78,,,78.81,37.0,57.91,,,92.0,78.0,85.0,,,38.67,61.67,50.17,,,24.67,86.33,55.5,,
86.89,88.78,87.83,,,81.48,90.07,85.78,,,71.81,37.89,54.85,,,88.3,83.59,85.94,,,81.78,43.19,62.48,,,74.85,43.41,59.13,,,85.33,85.0,85.17,,,51.0,52.0,51.5,,,38.67,76.0,57.33,,
90.3,90.81,90.56,,,89.74,84.26,87.0,,,87.81,25.3,56.56,,,93.41,85.07,89.24,,,91.44,37.3,64.37,,,87.22,24.89,56.06,,,91.33,79.0,85.17,,,42.0,59.33,50.67,,,31.0,82.33,56.67,,
69.41,95.52,82.46,,,75.59,89.63,82.61,,,67.85,51.37,59.61,,,77.44,88.74,83.09,,,79.22,44.0,61.61,,,75.48,43.56,59.52,,,85.33,84.67,85.0,,,0.0,100.0,50.0,,,28.67,82.33,55.5,,
86.14,92.27,89.21,3.1,RBF_LQP1_MEAN,86.19,83.53,84.86,1.86,RBF_SQP_MEAN,79.32,30.67,55.0,2.53,RBF_LQP2_MEAN,89.2,87.07,88.14,2.85,LINEAR_LQP1_MEAN,87.07,38.25,62.66,0.99,LINEAR_SQP_MEAN,81.05,31.95,56.5,2.7,LINEAR_LQP2_MEAN,89.83,83.37,86.6,1.79,OLD_LQP1_MEAN,30.77,71.27,51.02,1.03,OLD_SQP_MEAN,30.73,81.97,56.35,0.7,OLD_LQP2_MEAN
