Model,Average Test Score Mean,Average Test Score Std,Average AUC,Model,Average Test Score Mean,Average Test Score Std,Average AUC,Model,Average Test Score Mean,Average Test Score Std,Average AUC
QP4_QP2_GG,63.75,7.47,0.694,QP4_QP2_GG,65.55,7.39,0.759,QP4_QP2_GG,53.0,2.58,0.292
QP12_QP2_GG,72.0,7.76,0.833,QP12_QP2_GG,69.7,7.17,0.961,QP12_QP2_GG,57.5,2.64,0.52
QP12_QP4_GG,73.2,8.93,0.875,QP12_QP4_GG,73.25,4.87,0.974,QP12_QP4_GG,62.5,7.17,0.45199999999999996
QP4_QP2_LG,57.7,7.28,0.621,QP4_QP2_LG,64.7,7.17,0.806,QP4_QP2_LG,51.0,2.11,0.28500000000000003
QP12_QP2_LG,74.25,8.72,0.869,QP12_QP2_LG,69.7,7.17,0.967,QP12_QP2_LG,75.0,4.71,0.746
QP12_QP4_LG,78.75,7.18,0.9480000000000001,QP12_QP4_LG,73.2,4.84,0.925,QP12_QP4_LG,70.5,4.97,0.6719999999999999
QP4_QP2_GL,70.9,4.46,0.75,QP4_QP2_GL,54.9,3.28,0.6799999999999999,QP4_QP2_GL,50.0,0.0,0.159
QP12_QP2_GL,84.7,5.56,0.943,QP12_QP2_GL,58.55,3.72,0.978,QP12_QP2_GL,51.0,2.11,0.328
QP12_QP4_GL,88.9,6.35,0.986,QP12_QP4_GL,94.35,1.11,0.9970000000000001,QP12_QP4_GL,55.5,4.38,0.41500000000000004
QP2_QP2_GG,67.5,5.48,0.772,QP2_QP2_GG,69.3,7.06,0.908,QP2_QP2_GG,53.0,2.58,0.263
QP4_QP4_GG,74.45,6.75,0.867,QP4_QP4_GG,68.65,5.13,0.906,QP4_QP4_GG,52.0,2.58,0.3
QP12_QP12_GG,76.3,6.98,0.8630000000000001,QP12_QP12_GG,74.75,5.17,0.959,QP12_QP12_GG,54.5,1.58,0.385
QP2_QP2_LG,57.8,7.06,0.601,QP2_QP2_LG,58.25,7.36,0.599,QP2_QP2_LG,50.0,0.0,0.23700000000000002
QP4_QP4_LG,58.25,7.77,0.6060000000000001,QP4_QP4_LG,47.9,4.58,0.5439999999999999,QP4_QP4_LG,50.5,1.58,0.238
QP12_QP12_LG,78.4,7.68,0.877,QP12_QP12_LG,74.75,5.17,0.877,QP12_QP12_LG,57.5,2.64,0.35300000000000004
QP2_QP2_GL,61.8,5.25,0.682,QP2_QP2_GL,56.4,3.66,0.618,QP2_QP2_GL,51.5,2.42,0.179
QP4_QP4_GL,59.4,4.93,0.8160000000000001,QP4_QP4_GL,49.65,0.94,0.874,QP4_QP4_GL,55.0,0.0,0.266
QP12_QP12_GL,80.9,7.26,0.901,QP12_QP12_GL,83.1,5.48,0.893,QP12_QP12_GL,51.5,2.42,0.327
QP2_QP4_GG,63.2,6.44,0.679,QP2_QP4_GG,54.5,5.63,0.587,QP2_QP4_GG,53.0,4.22,0.30700000000000005
QP2_QP12_GG,56.95,8.41,0.634,QP2_QP12_GG,57.8,7.3,0.6020000000000001,QP2_QP12_GG,55.5,2.84,0.403
QP4_QP12_GG,60.25,10.68,0.643,QP4_QP12_GG,49.45,7.33,0.5349999999999999,QP4_QP12_GG,55.5,2.84,0.394
QP2_QP4_LG,57.55,6.81,0.595,QP2_QP4_LG,48.8,4.98,0.532,QP2_QP4_LG,54.5,1.58,0.33399999999999996
QP2_QP12_LG,62.65,8.37,0.688,QP2_QP12_LG,62.95,9.5,0.631,QP2_QP12_LG,56.0,4.59,0.41900000000000004
QP4_QP12_LG,63.1,8.9,0.692,QP4_QP12_LG,65.85,8.51,0.67,QP4_QP12_LG,55.5,2.84,0.41500000000000004
QP2_QP4_GL,54.9,2.01,0.7,QP2_QP4_GL,49.65,0.94,0.743,QP2_QP4_GL,50.0,0.0,0.215
QP2_QP12_GL,46.4,5.75,0.554,QP2_QP12_GL,43.15,8.24,0.472,QP2_QP12_GL,54.5,2.84,0.365
QP4_QP12_GL,54.25,8.21,0.634,QP4_QP12_GL,44.5,6.38,0.563,QP4_QP12_GL,53.5,2.42,0.358
