Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score,Average AUC,AUC STD,Max AUC,Min AUC
RBF1,66.0,67.0,66.5,3.37,75.0,65.0,0.76,0.02,0.79,0.73
RBF2,66.0,80.0,73.0,4.22,80.0,70.0,0.86,0.03,0.9,0.81
RBF3,67.0,90.0,78.5,4.74,85.0,70.0,0.9,0.03,0.94,0.86
RBF4,66.0,48.0,57.0,4.83,65.0,50.0,0.68,0.03,0.74,0.64
RBF5,66.0,96.0,81.0,3.94,85.0,75.0,0.92,0.04,0.98,0.86
RBF6,67.0,100.0,83.5,4.74,90.0,75.0,0.98,0.02,1.0,0.93
RBF7,89.0,48.0,68.5,6.26,80.0,60.0,0.77,0.05,0.86,0.71
RBF8,89.0,84.0,86.5,4.12,95.0,80.0,0.95,0.02,0.98,0.93
RBF9,100.0,82.0,91.0,3.94,95.0,85.0,1.0,0.0,1.0,1.0
RBF10,66.0,73.0,69.5,2.84,75.0,65.0,0.82,0.03,0.88,0.77
RBF11,67.0,86.0,76.5,4.12,80.0,70.0,0.86,0.03,0.89,0.81
RBF12,79.0,89.0,84.0,3.94,90.0,80.0,0.9,0.02,0.94,0.89
RBF13,66.0,54.0,60.0,4.08,65.0,55.0,0.69,0.03,0.74,0.65
RBF14,67.0,53.0,60.0,4.71,65.0,50.0,0.67,0.05,0.73,0.59
RBF15,79.0,97.0,88.0,5.37,95.0,80.0,0.92,0.01,0.94,0.9
RBF16,89.0,31.0,60.0,5.77,70.0,50.0,0.71,0.06,0.81,0.63
RBF17,100.0,21.0,60.5,6.85,70.0,50.0,0.86,0.04,0.93,0.83
RBF18,78.0,69.0,73.5,7.84,85.0,60.0,0.81,0.08,0.93,0.66
RBF19,67.0,64.0,65.5,2.84,70.0,60.0,0.74,0.02,0.76,0.71
RBF20,79.0,48.0,63.5,4.74,70.0,55.0,0.75,0.03,0.79,0.71
RBF21,79.0,51.0,65.0,5.27,75.0,60.0,0.76,0.03,0.8,0.7
RBF22,67.0,55.0,61.0,3.94,65.0,55.0,0.65,0.04,0.69,0.58
RBF23,79.0,58.0,68.5,4.12,75.0,65.0,0.78,0.02,0.82,0.75
RBF24,79.0,52.0,65.5,5.5,75.0,55.0,0.78,0.03,0.83,0.72
RBF25,100.0,10.0,55.0,0.0,55.0,55.0,0.72,0.02,0.75,0.69
RBF26,78.0,4.0,41.0,5.16,50.0,30.0,0.38,0.1,0.54,0.25
RBF27,78.0,11.0,44.5,4.97,50.0,35.0,0.44,0.07,0.56,0.33
LINEAR1,67.0,92.0,79.5,3.69,85.0,75.0,0.87,0.02,0.9,0.85
LINEAR2,67.0,100.0,83.5,6.26,90.0,75.0,0.99,0.01,0.99,0.98
LINEAR3,63.0,100.0,81.5,7.47,95.0,70.0,1.0,0.0,1.0,1.0
LINEAR4,67.0,90.0,78.5,6.26,85.0,70.0,0.88,0.01,0.9,0.86
LINEAR5,67.0,100.0,83.5,6.26,90.0,75.0,0.98,0.01,0.99,0.96
LINEAR6,63.0,100.0,81.5,7.47,95.0,70.0,0.99,0.01,0.99,0.98
LINEAR7,13.0,90.0,51.5,2.42,55.0,50.0,0.7,0.03,0.75,0.66
LINEAR8,13.0,100.0,56.5,2.42,60.0,55.0,1.0,0.0,1.0,0.99
LINEAR9,100.0,90.0,95.0,0.0,95.0,95.0,1.0,0.0,1.0,1.0
LINEAR10,67.0,100.0,83.5,6.26,90.0,75.0,0.97,0.01,0.98,0.94
LINEAR11,63.0,94.0,78.5,7.84,90.0,65.0,0.95,0.04,1.0,0.91
LINEAR12,62.0,100.0,81.0,4.59,85.0,70.0,0.99,0.01,1.0,0.97
LINEAR13,67.0,77.0,72.0,4.83,75.0,65.0,0.76,0.01,0.77,0.75
LINEAR14,63.0,50.0,56.5,5.8,65.0,50.0,0.64,0.04,0.68,0.57
LINEAR15,62.0,100.0,81.0,4.59,85.0,70.0,0.94,0.02,0.96,0.91
LINEAR16,13.0,93.0,53.0,2.58,55.0,50.0,0.64,0.03,0.67,0.6
LINEAR17,100.0,0.0,50.0,0.0,50.0,50.0,0.92,0.01,0.94,0.91
LINEAR18,61.0,88.0,74.5,3.69,80.0,70.0,0.82,0.02,0.84,0.79
