Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score,Average AUC,AUC STD,Max AUC,Min AUC
RBF1,38.0,75.0,56.5,6.26,70.0,50.0,0.69,0.03,0.73,0.63
RBF2,38.0,93.0,65.5,8.32,85.0,55.0,0.82,0.11,0.95,0.56
RBF3,54.0,88.0,71.0,5.68,80.0,60.0,0.86,0.03,0.91,0.82
RBF4,38.0,69.0,53.5,6.26,60.0,40.0,0.6,0.09,0.71,0.47
RBF5,38.0,99.0,68.5,9.44,90.0,55.0,0.89,0.11,0.98,0.63
RBF6,54.0,100.0,77.0,5.37,85.0,65.0,0.94,0.04,0.98,0.87
RBF7,78.0,52.0,65.0,5.77,75.0,55.0,0.69,0.06,0.79,0.59
RBF8,78.0,83.0,80.5,4.97,90.0,75.0,0.92,0.03,0.98,0.89
RBF9,99.0,79.0,89.0,2.11,90.0,85.0,0.98,0.01,0.99,0.97
RBF10,38.0,96.0,67.0,7.53,80.0,55.0,0.87,0.04,0.94,0.8
RBF11,54.0,100.0,77.0,5.37,85.0,65.0,0.93,0.03,0.96,0.85
RBF12,47.0,88.0,67.5,2.64,70.0,65.0,0.82,0.03,0.87,0.77
RBF13,38.0,62.0,50.0,6.24,65.0,45.0,0.49,0.06,0.58,0.39
RBF14,54.0,51.0,52.5,5.89,60.0,45.0,0.55,0.05,0.62,0.48
RBF15,47.0,91.0,69.0,3.16,75.0,65.0,0.81,0.04,0.88,0.76
RBF16,78.0,43.0,60.5,4.97,70.0,55.0,0.66,0.07,0.8,0.56
RBF17,99.0,34.0,66.5,6.26,75.0,55.0,0.86,0.04,0.9,0.78
RBF18,69.0,65.0,67.0,4.22,75.0,60.0,0.79,0.04,0.83,0.69
RBF19,54.0,62.0,58.0,4.83,65.0,50.0,0.63,0.04,0.68,0.58
RBF20,47.0,43.0,45.0,5.77,60.0,40.0,0.5,0.04,0.59,0.45
RBF21,47.0,40.0,43.5,5.3,55.0,40.0,0.51,0.04,0.59,0.47
RBF22,54.0,52.0,53.0,6.75,60.0,40.0,0.54,0.04,0.59,0.48
RBF23,47.0,52.0,49.5,5.5,60.0,40.0,0.55,0.06,0.69,0.49
RBF24,47.0,52.0,49.5,5.5,60.0,45.0,0.55,0.04,0.62,0.5
RBF25,99.0,10.0,54.5,4.38,65.0,50.0,0.72,0.03,0.77,0.67
RBF26,69.0,11.0,40.0,0.0,40.0,40.0,0.44,0.02,0.48,0.42
RBF27,69.0,17.0,43.0,3.5,50.0,40.0,0.52,0.03,0.56,0.49
LINEAR1,24.0,88.0,56.0,3.16,60.0,50.0,0.67,0.03,0.71,0.64
LINEAR2,24.0,100.0,62.0,4.83,70.0,55.0,0.95,0.02,0.98,0.93
LINEAR3,52.0,100.0,76.0,4.59,80.0,70.0,0.96,0.02,0.99,0.93
LINEAR4,24.0,90.0,57.0,4.83,65.0,50.0,0.74,0.03,0.79,0.7
LINEAR5,24.0,100.0,62.0,4.83,70.0,55.0,0.96,0.03,1.0,0.93
LINEAR6,52.0,99.0,75.5,4.38,80.0,70.0,0.93,0.02,0.94,0.89
LINEAR7,10.0,92.0,51.0,2.11,55.0,50.0,0.61,0.01,0.63,0.59
LINEAR8,10.0,100.0,55.0,0.0,55.0,55.0,0.96,0.02,0.99,0.93
LINEAR9,100.0,88.0,94.0,2.11,95.0,90.0,1.0,0.0,1.0,0.99
LINEAR10,24.0,100.0,62.0,4.83,70.0,55.0,0.89,0.05,0.94,0.81
LINEAR11,52.0,91.0,71.5,4.74,75.0,65.0,0.9,0.03,0.94,0.83
LINEAR12,52.0,100.0,76.0,3.16,80.0,70.0,0.95,0.02,0.97,0.93
LINEAR13,24.0,74.0,49.0,3.16,55.0,45.0,0.5,0.02,0.54,0.47
LINEAR14,52.0,42.0,47.0,2.58,50.0,45.0,0.52,0.02,0.55,0.49
LINEAR15,52.0,100.0,76.0,3.16,80.0,70.0,0.85,0.02,0.87,0.82
LINEAR16,10.0,94.0,52.0,3.5,55.0,45.0,0.58,0.04,0.62,0.52
LINEAR17,100.0,0.0,50.0,0.0,50.0,50.0,0.86,0.03,0.89,0.8
LINEAR18,63.0,90.0,76.5,3.37,80.0,70.0,0.8,0.01,0.82,0.79
LINEAR19,52.0,53.0,52.5,5.89,60.0,45.0,0.55,0.02,0.59,0.52
LINEAR20,52.0,57.0,54.5,2.84,60.0,50.0,0.51,0.01,0.52,0.5
LINEAR21,52.0,35.0,43.5,3.37,50.0,40.0,0.45,0.03,0.49,0.42
LINEAR22,52.0,44.0,48.0,4.22,55.0,45.0,0.5,0.01,0.51,0.47
LINEAR23,52.0,46.0,49.0,3.16,55.0,45.0,0.54,0.02,0.56,0.5
LINEAR24,52.0,62.0,57.0,2.58,60.0,55.0,0.58,0.01,0.61,0.57
LINEAR25,100.0,0.0,50.0,0.0,50.0,50.0,0.7,0.03,0.74,0.66
LINEAR26,63.0,8.0,35.5,3.69,40.0,30.0,0.39,0.02,0.41,0.36
LINEAR27,63.0,10.0,36.5,2.42,40.0,35.0,0.46,0.04,0.51,0.41
OLD1,0.0,0.0,55.0,0.0,55.0,55.0,0.41,0.0,0.41,0.41
OLD2,0.0,0.0,60.0,0.0,60.0,60.0,0.61,0.0,0.61,0.61
OLD3,0.0,0.0,65.0,0.0,65.0,65.0,0.45,0.0,0.46,0.46
OLD4,0.0,0.0,55.0,0.0,55.0,55.0,0.4,0.0,0.4,0.4
OLD5,0.0,0.0,80.0,0.0,80.0,80.0,0.83,0.0,0.83,0.83
OLD6,0.0,0.0,70.0,0.0,70.0,70.0,0.62,0.0,0.62,0.62
OLD7,0.0,0.0,50.0,0.0,50.0,50.0,0.16,0.0,0.17,0.17
OLD8,0.0,0.0,50.0,0.0,50.0,50.0,0.34,0.0,0.34,0.34
OLD9,0.0,0.0,55.0,0.0,55.0,55.0,0.41,0.0,0.41,0.41
OLD10,0.0,0.0,55.0,0.0,55.0,55.0,0.38,0.0,0.38,0.38
OLD11,0.0,0.0,50.0,0.0,50.0,50.0,0.28,0.0,0.28,0.28
OLD12,0.0,0.0,55.0,0.0,55.0,55.0,0.4,0.0,0.4,0.4
OLD13,0.0,0.0,50.0,0.0,50.0,50.0,0.31,0.0,0.31,0.31
OLD14,0.0,0.0,50.0,0.0,50.0,50.0,0.2,0.0,0.2,0.2
OLD15,0.0,0.0,55.0,0.0,55.0,55.0,0.39,0.0,0.39,0.39
OLD16,0.0,0.0,55.0,0.0,55.0,55.0,0.19,0.0,0.19,0.19
OLD17,0.0,0.0,55.0,0.0,55.0,55.0,0.29,0.0,0.29,0.29
OLD18,0.0,0.0,55.0,0.0,55.0,55.0,0.32,0.0,0.32,0.32
OLD19,0.0,0.0,50.0,0.0,50.0,50.0,0.28,0.0,0.28,0.28
OLD20,0.0,0.0,60.0,0.0,60.0,60.0,0.42,0.0,0.43,0.43
OLD21,0.0,0.0,60.0,0.0,60.0,60.0,0.42,0.0,0.43,0.43
OLD22,0.0,0.0,55.0,0.0,55.0,55.0,0.31,0.0,0.31,0.31
OLD23,0.0,0.0,60.0,0.0,60.0,60.0,0.43,0.0,0.43,0.43
OLD24,0.0,0.0,60.0,0.0,60.0,60.0,0.43,0.0,0.43,0.43
OLD25,0.0,0.0,50.0,0.0,50.0,50.0,0.21,0.0,0.21,0.21
OLD26,0.0,0.0,60.0,0.0,60.0,60.0,0.37,0.0,0.36,0.36
OLD27,0.0,0.0,55.0,0.0,55.0,55.0,0.36,0.0,0.36,0.36
